MD,AT10,AT20,AT30,AT60,AT90,BFV,BS,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CMFF,CMRP_3MS,DSOZ,DTCO,DTSM,DWAL_WALK2,DWCA_WALK2,DWFE_WALK2,DWGD_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,FACIES,GR,GTEM,HCAL,KSDR,KTIM,MPERMC,PEFZ,PHIE,PR,RACHM,RACLM,RHOZ,RMFA,RPCHM,RPCLM,RWA,SP,SSVE,SVEL,SW,T2_DIST[0],T2_DIST[1],T2_DIST[2],T2_DIST[3],T2_DIST[4],T2_DIST[5],T2_DIST[6],T2_DIST[7],T2_DIST[8],T2_DIST[9],T2_DIST[10],T2_DIST[11],T2_DIST[12],T2_DIST[13],T2_DIST[14],T2_DIST[15],T2_DIST[16],T2_DIST[17],T2_DIST[18],T2_DIST[19],T2_DIST[20],T2_DIST[21],T2_DIST[22],T2_DIST[23],T2_DIST[24],T2_DIST[25],T2_DIST[26],T2_DIST[27],T2_DIST[28],T2_DIST[29],T2LM,TCMR,TENS,TNPH,TVD,TVDSS,UZ,VCL,VPVS,WANH,WCAR,WCLA,WCOA,WEVA,WPYR,WQFM,WSID,DENSITY_MUDLOG,TCMR_FILT,DTCO_FILT,GR_FILT,TNPH_FILT,RHOZ_FILT,UZ_FILT,PEFZ_FILT,TCMR_FILT_DPK,DTCO_FILT_DPK,GR_FILT_DPK,TNPH_FILT_DPK,RHOZ_FILT_DPK,UZ_FILT_DPK,PEFZ_FILT_DPK,ANHYDRITE,BIOTITE,CALCITE,DOLOMITE,HALITE,K-FELDSPAR,MUSCOVITE,OIL,QUARTZ,WATER,FACIES_EXT,FACIES_XGB,FACIES_SVM,FACIES_KM,FACIES_SC,FACIES_HW
5200.0404,1950.0,1950.0,1667.994,72.41123,83.93858,0.03798,8.5,0.0,1e-05,0.0,9e-05,0.03026,0.05763,0.04426,0.00563,0.10752,0.10347,0.03665,64.94289,113.4694,0.0,0.36552,0.0,0.0,0.0379,0.00555,0.0,,8.02306,65.88217,8.66663,12.92094,42.28578,210.4358,4.86175,0.15666,0.25643,6174.933,2190.316,2.46356,0.00245,1963.028,11920.81,0.00672,2047.938,0.0,4718.294,1.0,0.0003,0.0005,0.00058,0.00046,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,0.00477,0.00783,0.0079,0.00553,0.0032,0.0029,0.00433,0.00593,0.00685,0.0072,0.00731,0.0073,0.00706,0.0066,0.00588,0.00499,0.004,0.00304,212.589,0.10536,8312.055,0.15672,5199.826,-5172.826,12.04474,0.0,1.74722,0.02357,0.88958,0.0,0.0,0.0,0.0,0.08686,0.0,,0.06454,39.06899,4.43789,0.09958,1.47484,7.20414,2.91391,0.06454,62.37918,4.43789,0.001,2.52598,11.70505,4.6132,0.0,0.0,0.74984,0.0,0.10777,0.0,0.0,0.0,0.07785,0.06454,2.0,1.0,1.0,6.0,6.0,2.0
5200.1928,1950.0,1950.0,1555.979,68.68209,75.65557,0.03995,8.5,0.0,1e-05,1e-05,3e-05,0.02528,0.067,0.03363,0.00894,0.10957,0.1021,0.03291,65.0647,113.8432,0.0,0.36175,0.0,0.0,0.04153,0.00702,0.0,,7.06859,65.88217,8.66661,61.47217,61.99722,236.0698,4.86104,0.16507,0.25745,6174.933,2190.316,2.45617,0.00272,1963.028,11920.81,0.00672,2047.938,0.0,4700.763,1.0,0.0005,0.0009,0.00121,0.00129,0.00103,0.00072,0.0002,0.0,0.0,0.0,0.0,0.00115,0.00452,0.00684,0.0069,0.00509,0.00332,0.00314,0.00436,0.00586,0.0069,0.00747,0.00772,0.00769,0.00734,0.00669,0.00582,0.0048,0.00374,0.00275,215.4189,0.10795,8440.939,0.16581,5199.9784,-5172.9784,12.0094,0.0,1.74969,0.02981,0.87449,0.0,0.0,0.0,0.0,0.0957,0.0,,0.08685,52.14532,5.9735,0.13533,1.96476,9.59705,3.8849,0.08685,52.14532,5.9735,0.00135,2.52598,9.59705,3.8849,0.0,0.0,0.39722,0.30731,0.1254,0.0,0.0,0.0,0.08322,0.08685,2.0,1.0,1.0,3.0,2.0,6.0
5200.3452,1950.0,1950.0,1490.662,71.27379,73.40244,0.03967,8.5,0.0,1e-05,1e-05,3e-05,0.02528,0.067,0.03363,0.00894,0.10957,0.09979,0.02053,65.33736,114.1541,0.0,0.36153,0.0,0.0,0.04137,0.00779,0.0,,7.09779,65.88217,8.66664,9.64992,61.98827,247.5741,4.84677,0.17311,0.2564,6174.933,2190.316,2.45449,0.003,2034.547,11920.81,0.00672,2047.938,0.0,4676.039,1.0,0.00035,0.00085,0.00142,0.00183,0.00197,0.00172,0.00107,0.00061,0.00034,0.00023,0.0004,0.00155,0.00372,0.00515,0.00505,0.00374,0.00269,0.00319,0.00525,0.0076,0.00888,0.00862,0.00733,0.00591,0.00496,0.00465,0.00481,0.00511,0.00529,0.00512,215.4202,0.10941,8314.013,0.17539,5200.1308,-5173.1308,11.96655,0.0,1.74715,0.03309,0.87131,0.0,0.0,0.0,0.0,0.0956,0.0,,0.11061,65.29545,7.95776,0.16796,2.45509,12.00481,4.86117,0.11061,65.29545,7.95776,0.00168,2.45509,12.00481,4.86117,0.0,0.0,0.77147,0.0,0.10495,0.0,0.0,0.0,0.01298,0.11061,2.0,1.0,1.0,6.0,6.0,2.0
5200.4976,1950.0,1950.0,1490.671,82.78748,79.74566,0.03688,8.5,0.0,0.0,0.00094,0.00324,0.02075,0.07111,0.03225,0.01052,0.11388,0.09781,0.02954,65.38166,115.5222,0.00037,0.36376,0.00031,0.0,0.03795,0.00794,0.0,,7.67806,65.88217,8.66664,9.171,89.47393,411.4164,4.85494,0.17633,0.26436,6174.933,2190.316,2.4496,0.00311,1833.76,11920.81,0.00672,2047.938,0.0,4679.199,1.0,0.00024,0.00084,0.00163,0.0023,0.0027,0.0027,0.00227,0.00155,0.00089,0.00072,0.00121,0.00226,0.00316,0.00304,0.00254,0.00148,0.00102,0.00227,0.00563,0.01166,0.01405,0.01136,0.00564,0.00224,0.00084,0.0011,0.00261,0.00479,0.00828,0.01051,208.502,0.11155,8219.973,0.17872,5200.2832,-5173.2832,11.96455,0.0,1.76689,0.03372,0.8768,0.00187,0.0,0.0,0.0,0.08744,0.00017,,0.1175,65.44572,8.8491,0.16774,2.455,12.03489,4.87347,0.1175,65.44572,8.8491,0.00168,2.455,12.03489,4.87347,0.0,0.0,0.7989,0.0,0.06497,0.0,0.0,0.0,0.01863,0.1175,2.0,1.0,1.0,6.0,6.0,2.0
5200.65,1950.0,1950.0,1555.997,109.5636,99.44193,0.03369,8.5,1e-05,0.00064,0.00617,0.00379,0.01807,0.07084,0.03595,0.01142,0.11821,0.09728,0.02822,65.75065,116.6231,0.00192,0.36505,0.0015,0.0,0.03301,0.00874,7e-05,,9.92131,65.88217,8.65908,7.28686,12.68096,981.2104,4.88136,0.16359,0.26702,6174.933,2190.316,2.45161,0.00268,1962.895,11920.81,0.00672,2047.938,0.0,4660.097,1.0,0.00119,0.0022,0.00313,0.00374,0.00387,0.0035,0.0027,0.0017,0.00104,0.00126,0.00208,0.00309,0.00279,3e-05,0.0,0.0,0.0,0.0,0.0019,0.01633,0.02202,0.01586,0.00268,0.0,4e-05,0.0,0.0,0.001,0.00999,0.01662,190.1473,0.11876,8119.955,0.16317,5200.4356,-5173.4356,12.0388,0.0,1.77372,0.03713,0.87759,0.00963,0.0,0.0,0.0,0.07496,0.00068,,0.12952,65.59119,10.39765,0.16589,2.45913,12.1023,4.89302,0.12952,65.59119,10.39765,0.00166,2.45913,12.1023,4.89302,0.0,0.0,0.84397,0.0,0.00048,0.00426,0.0,0.0,0.02177,0.12952,2.0,1.0,1.0,6.0,6.0,2.0
5200.8024,1950.0,1950.0,1668.015,166.3707,143.9124,0.05141,8.5,2e-05,0.00278,0.01263,0.00187,0.0189,0.06348,0.04585,0.01082,0.12016,0.09723,0.03233,65.69421,117.4761,0.00234,0.36728,0.00169,0.0,0.02974,0.00869,0.00032,,12.47976,65.88217,8.65146,2.26902,69.84578,1438.318,4.92326,0.15616,0.27249,6174.933,2190.316,2.46314,0.00244,1896.229,11920.81,0.00672,2047.938,0.0,4664.52,1.0,0.00661,0.0075,0.00765,0.00719,0.0062,0.00466,0.00254,0.00034,0.00021,0.00025,0.00041,0.00062,0.0027,0.0033,0.00081,0.0,0.0,0.0,0.00059,0.01546,0.02389,0.0206,0.0088,0.0,1e-05,0.0,0.0,0.0002,0.00615,0.01312,166.4778,0.13981,8048.957,0.15559,5200.588,-5173.588,12.19517,0.0,1.78823,0.03691,0.88374,0.01177,0.0,0.0,0.0,0.06703,0.00056,,0.14442,65.72273,11.99736,0.1631,2.46572,12.20337,4.92151,0.14442,65.72273,11.99736,0.00163,2.46572,12.20337,4.92151,0.0,0.01093,0.84465,0.0,0.0,0.0,0.0,0.0,0.0,0.14442,2.0,1.0,1.0,6.0,6.0,2.0
5200.9548,1950.0,1950.0,1792.203,288.2313,239.0925,0.08376,8.5,3e-05,0.00746,0.01093,0.00375,0.02023,0.05213,0.05775,0.00926,0.11913,0.10124,0.02732,65.79208,118.3155,0.00078,0.37337,0.00055,0.0,0.02591,0.00811,0.00018,,14.81131,65.88217,8.65896,1.6154,53.75923,888.8661,4.95876,0.15533,0.27618,6174.933,2190.316,2.47681,0.00241,2034.476,11920.81,0.00672,2047.938,0.0,4656.723,1.0,0.00652,0.00733,0.00861,0.01043,0.01189,0.01165,0.0086,0.0027,0.0,0.0,0.0,0.0,0.00107,0.00164,0.00172,0.0046,0.0041,0.00177,0.00158,0.01091,0.01907,0.02023,0.01436,0.00685,0.00333,0.00095,0.0,1e-05,0.00238,0.00579,154.1817,0.16809,8006.055,0.15658,5200.7404,-5173.7404,12.34644,0.0,1.79832,0.03444,0.90208,0.00393,0.0,0.0,0.0,0.0594,0.00016,,0.15749,65.87152,13.39757,0.16015,2.47501,12.32711,4.95406,0.15749,65.87152,13.39757,0.0016,2.47501,12.32711,4.95406,0.04458,0.03791,0.76002,0.0,0.0,0.0,0.0,0.0,0.0,0.15749,2.0,1.0,1.0,6.0,6.0,2.0
5201.1072,1950.0,1950.0,1892.943,535.0267,437.6206,0.10673,8.5,1e-05,0.00422,0.01044,0.00838,0.01769,0.04404,0.06077,0.00851,0.11333,0.10597,0.02996,65.99507,118.8279,0.0,0.37911,0.0,0.0,0.02148,0.00659,0.0,,15.09636,65.88217,8.64386,60.61517,41.29425,338.8618,4.98923,0.15827,0.27699,6174.933,2190.316,2.48744,0.0025,2034.619,11920.81,0.00672,2047.938,0.0,4681.361,1.0,0.00334,0.0038,0.0051,0.00998,0.0165,0.01948,0.016,0.00552,0.0,0.0,0.0,0.0,0.0,0.0,0.00206,0.00998,0.00972,0.00418,0.00147,0.00482,0.01207,0.01824,0.01887,0.01415,0.00644,0.00095,0.0,1e-05,0.00031,0.0009,165.2791,0.18391,8045.942,0.16145,5200.8928,-5173.8928,12.47187,0.0,1.80056,0.02799,0.92265,1e-05,0.0,0.0,0.0,0.04936,0.0,,0.16283,65.90122,14.13827,0.1606,2.486,12.47186,4.99164,0.16283,65.90122,14.13827,0.00161,2.486,12.47186,4.99164,0.1041,0.04788,0.68519,0.0,0.0,0.0,0.0,0.0,0.0,0.16283,0.0,1.0,1.0,6.0,6.0,2.0
5201.2596,1950.0,1950.0,1949.954,968.7826,815.9334,0.10818,8.5,0.0,0.00155,0.00927,0.01292,0.01638,0.03723,0.06013,0.00749,0.10485,0.10888,0.03271,66.12557,119.3161,0.0,0.38318,0.0,0.0,0.01794,0.00428,0.0,,14.67912,65.88217,8.64385,2.44401,4.61085,1083.195,5.01769,0.1593,0.27835,6174.933,2190.316,2.49603,0.00254,2034.619,11920.81,0.00672,2047.938,0.0,4639.32,1.0,0.0,0.0,0.0,0.00557,0.01468,0.02215,0.02025,0.00792,0.0,0.0,0.0,0.0,0.0,0.0,0.00299,0.01391,0.01436,0.00635,0.0,0.0,0.00547,0.01415,0.01947,0.0176,0.00912,0.00205,0.00085,0.0,0.0,0.0,170.3456,0.17689,7975.077,0.16395,5201.0452,-5174.0452,12.58326,0.0,1.80439,0.01816,0.94138,0.0,0.0,0.0,0.0,0.04046,0.0,,0.15771,65.82623,14.26728,0.16259,2.49612,12.6218,5.0326,0.15771,65.82623,14.26728,0.00163,2.49612,12.6218,5.0326,0.10884,0.04875,0.68469,0.0,0.0,0.0,0.0,0.0,0.0,0.15771,0.0,1.0,1.0,6.0,6.0,2.0
5201.412,1950.0,1950.0,1950.0,1522.943,1352.861,0.08734,8.5,0.0,0.00019,0.0084,0.01599,0.0162,0.0309,0.06085,0.00625,0.098,0.1081,0.03976,65.89917,119.52,0.00075,0.38452,0.00053,0.0,0.01518,0.00386,0.00015,,13.62479,65.88217,8.6666,4.22399,24.18483,1829.476,5.06924,0.1592,0.28161,6174.933,2190.316,2.50659,0.00253,2034.619,11920.81,0.00672,2047.938,0.0,4713.995,1.0,0.0,0.0,0.0,0.0,1e-05,0.01253,0.01713,0.01137,0.0,0.0,0.0,0.0,0.0,0.0,0.00745,0.01572,0.01549,0.00764,0.0,0.0,0.0,0.00346,0.01085,0.01484,0.01439,0.01029,0.00429,0.0,0.0,0.0,171.4513,0.14546,8193.843,0.16544,5201.1976,-5174.1976,12.76257,0.0,1.81368,0.01637,0.9464,0.00379,0.0,0.0,0.0,0.03329,0.00015,,0.1453,65.88374,13.88567,0.16378,2.50219,12.7545,5.07413,0.1453,65.88374,13.88567,0.00164,2.50219,12.7545,5.07413,0.06458,0.042,0.74812,0.0,0.0,0.0,0.0,0.0,0.0,0.1453,0.0,1.0,1.0,6.0,6.0,2.0
