sample_id,ct_depth_m,ar_mean_plots,phi_ultrapore_ambient_pct,phi_ct_image_pct,phi_macro_meso_frac,phi_micro_frac,orientation,diameter_mm,phi_meso_macropores_vv,ar_meso_macropores,phi_micropores_vv,original_phi_ct_pct,original_solid1_pct,original_solid2_pct,corrected_phi_ct_pct,corrected_solid1_pct,corrected_solid2_pct,ct_pixel_resolution_um,ct_mean_pore_diameter_um,ct_porosity_pct,ct_phi_micro_pct,ct_phi_macro_meso_pct,ct_mean_gamma,ct_specific_pore_surface,ct_k_kozeny_md,ct_k_kozeny_carman_md,ct_ar_mean,ct_ar_median,phi_ultrapore_pu
F2829V,5206.0,0.6777519986811255,6.7234,0.01,0.003550779517414303,0.006449220482585699,V,2.5,0.35507795174143025,0.6777519986811255,0.6449220482585699,0.01,38.84,39.69,0.012732365673542146,49.45250827603769,50.53475935828876,1.27,15.7785200888328,0.006295088323430435,0.004059841255515363,0.002235247067915073,0.4477111425016509,0.1694804327020825,1.110045435169266,0.4440181740677062,0.6777519986811255,0.7145885241952454,0.067234
F2830H,5206.05,0.551935868739981,3.7824,4.9,2.836610918120462,2.0633890818794005,H,2.5,0.5789001873715228,0.551935868739981,0.42109981262844903,4.9,68.36,4.11,6.33320408427039,88.35465942871915,5.31213648701047,1.27,16.62000413362787,4.802596959616438,2.022372679824441,2.780224279791862,0.4080965966465434,0.1528772307937014,1040.803113022908,416.3212452091632,0.551935868739981,0.5480117431643835,0.037823999999999997
F2852H,5211.4,0.5818085061968419,1.3284,2.4,1.67346964507238,0.7265303549275529,H,2.5,0.6972790187801584,0.5818085061968419,0.3027209812198137,2.4,13.83,62.31,3.055767761650115,17.608861726508785,79.3353705118411,1.27,19.52711682013382,2.357054610253395,0.7135298844045934,1.643524725848736,0.4195340853887037,0.1378961268756451,627.8321683360339,251.1328673344136,0.5818085061968419,0.5792004494453964,0.013284
F2854H,5212.05,0.5377841081739754,8.0284,3.1,3.037732201516995,0.062267798482997926,H,2.5,0.9799136133925791,0.5377841081739754,0.020086386607418686,3.1,73.66,1.78,3.9470333587980653,93.78660555131144,2.2663610898905024,1.27,35.09125905271389,2.930550266302032,0.05886416562141641,2.871686100680609,0.4034269902791939,0.09483081859632464,1650.548277424174,660.2193109696693,0.5377841081739754,0.5327098047105796,0.080284
F2859H,5212.9,0.5372709297840296,6.37,3.93,3.833723162065429,0.09627683793456264,H,2.5,0.9755020768614323,0.5372709297840296,0.024497923138565556,3.93,21.03,53.58,5.0038197097020625,26.77616501145913,68.2200152788388,1.27,35.00915821357629,3.79959994916904,0.09308230751204073,3.706517641656991,0.4019630927633789,0.09287256113447127,2231.21327107865,892.4853084314598,0.5372709297840296,0.5306444304630298,0.0637
F2870H,5215.55,0.5512538688337799,4.461,0.38,0.377961577125267,0.0020384228747337137,H,6.0,0.9946357292770184,0.5512538688337799,0.005364270722983457,0.38,74.89,3.28,0.483768300445576,95.34054742202419,4.175684277530236,3.33,51.21753748385012,0.3704927861865923,0.001987423606017307,0.3685053625805757,0.4095717279821632,0.05269378039567427,675.8325388115115,270.3330155246047,0.5512538688337799,0.5473605859870174,0.044610000000000004
F2880H,5218.25,0.5602939833086511,13.7158,9.3,8.408782755121207,0.8912172448787676,H,2.5,0.9041701887227104,0.5602939833086511,0.09582981127728683,9.3,23.32,45.92,11.841100076394197,29.69187675070028,58.46702317290553,1.27,24.65890617767782,9.1346952871669,0.8753761254447255,8.25931916172215,0.4084905671396117,0.1187011647466964,3283.690069243891,1313.476027697556,0.5602939833086511,0.5552948214023581,0.137158
F2910H,5225.7,0.5692422063822652,14.6312,9.37,8.730647205539986,0.6393527944599876,H,2.5,0.9317659771120584,0.5692422063822652,0.06823402288793892,9.37,10.67,58.2,11.975971370143148,13.637525562372188,74.38650306748467,1.27,24.78915052893852,8.693105590871102,0.5931655658547687,8.099940025016311,0.4089054822872047,0.1258407007756339,2780.422243531068,1112.168897412427,0.5692422063822652,0.5645294288542124,0.146312
F2911V,5225.75,0.5471504850336397,23.7334,11.7,10.845706005336357,0.85429399466336,V,2.5,0.9269834192595178,0.5471504850336397,0.07301658074045812,11.7,63.57,3.27,14.896867838044308,80.93964858670742,4.163483575248281,1.27,25.00733135291642,11.31863152157543,0.8264477723666067,10.49218374920855,0.4057204739666062,0.1196210288412813,4006.424015897449,1602.56960635898,0.5471504850336397,0.5425729509750274,0.237334
F2935H,5232.25,0.5572641493233501,12.8634,14.11,13.098934954991288,1.0110650450086007,H,2.5,0.9283440790213529,0.5572641493233501,0.07165592097863932,14.11,58.77,5.66,17.965367965367964,74.82811306340717,7.206518971224854,1.27,24.753809787417,13.70361966724229,0.9819454879972411,12.72167417924494,0.4070037073391415,0.122776020071235,4604.539999607159,1841.815999842863,0.5572641493233501,0.5525501175336701,0.128634
