group_id,model,joint_rel_sq,beats_m0
0,M0,0.013328,0
0,M1,0.011551,1
0,M2,0.016991,0
0,M3,0.013821,0
1,M0,0.009258,0
1,M1,0.007373,1
1,M2,0.019426,0
1,M3,0.009487,0
2,M0,0.025909,0
2,M1,0.012507,1
2,M2,0.001131,1
2,M3,0.000975,1
3,M0,0.009132,0
3,M1,0.011322,0
3,M2,0.004526,1
3,M3,0.006926,1
4,M0,0.072294,0
4,M1,0.075842,0
4,M2,0.078788,0
4,M3,0.075907,0
5,M0,0.009796,0
5,M1,0.011629,0
5,M2,0.002007,1
5,M3,0.001021,1
6,M0,0.017226,0
6,M1,0.024301,0
6,M2,0.026700,0
6,M3,0.036475,0
7,M0,0.022769,0
7,M1,0.032882,0
7,M2,0.014771,1
7,M3,0.019515,1
