Depth(m),HFU,hfu_source,phi_input,phi_input_source,Phi_Sonic (pu),Phi_lab (pu),alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,n_ct_plugs_calib,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,status,error
5205.910000,3,lab,0.126000,Phi_ND,0.118000,0.110000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,30.891786,18.828174,46.143119,22.287863,2.407238,4823.019831,2796.691613,1.724545,4.823020,2.796692,5613.680216,3042.809014,1.844901,5.613680,3.042809,0.163935,0.069790,ok,
5206.290000,3,lab,0.110000,Phi_ND,0.104000,0.130000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,2,0.168006,34.731436,20.275703,48.747093,23.197578,2.451307,5019.666865,2876.001786,1.745363,5.019667,2.876002,5701.225432,3076.256267,1.853300,5.701225,3.076256,0.135778,0.061842,ok,
5206.480000,2,lab,0.099000,Phi_ND,0.096000,0.090000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,37.510830,21.582022,51.501040,24.482638,2.492480,5157.008397,2942.592901,1.752539,5.157008,2.942593,5810.280990,3134.102739,1.853890,5.810281,3.134103,0.126677,0.057831,ok,
5206.860000,1,lab,0.065000,Phi_ND,0.085000,0.070000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,45.452672,24.411385,57.977734,26.899040,2.593530,5484.094815,3067.966168,1.787534,5.484095,3.067966,6015.276174,3220.495829,1.867811,6.015276,3.220496,0.096859,0.044909,ok,
5207.240000,1,lab,0.072000,Phi_ND,0.090000,0.092000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,44.121921,23.992669,56.746780,26.486139,2.574113,5437.673805,3052.990457,1.781098,5.437674,3.052990,5980.334887,3207.712933,1.864361,5.980335,3.207713,0.099797,0.046748,ok,
5207.430000,1,lab,0.083000,Phi_ND,0.094000,0.081000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,41.587457,23.167936,54.831561,25.836349,2.543601,5338.001679,3017.999483,1.768722,5.338002,3.017999,5924.512830,3187.065999,1.858924,5.924513,3.187066,0.109875,0.050998,ok,
5207.810000,2,lab,0.094000,Phi_ND,0.092000,0.110000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,4,0.167236,38.634079,21.973796,52.346455,24.773949,2.506312,5206.203383,2960.976488,1.758272,5.206203,2.960976,5836.552412,3143.981895,1.856420,5.836552,3.143982,0.121077,0.055821,ok,
5208.000000,1,lab,0.090000,Phi_ND,0.093000,0.085000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,40.380340,22.761932,53.624976,25.422234,2.524184,5293.464572,3002.921799,1.762771,5.293465,3.002922,5888.386532,3173.557092,1.855453,5.888387,3.173557,0.112388,0.052577,ok,
5208.190000,1,lab,0.085000,Phi_ND,0.091000,0.077000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,41.587457,23.167936,54.485855,25.718079,2.538054,5343.832377,3021.296043,1.768722,5.343832,3.021296,5914.239809,3183.236264,1.857933,5.914240,3.183236,0.106741,0.050438,ok,
5208.770000,1,lab,0.090000,Phi_ND,0.089000,0.097000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,40.380340,22.761932,53.624976,25.422234,2.524184,5293.464572,3002.921799,1.762771,5.293465,3.002922,5888.386532,3173.557092,1.855453,5.888387,3.173557,0.112388,0.052577,ok,
5208.960000,1,lab,0.094000,Phi_ND,0.089000,0.087000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,4,0.168170,39.211178,22.360176,52.939759,25.185380,2.513089,5240.810632,2982.865496,1.756972,5.240811,2.982865,5867.525443,3165.704061,1.853466,5.867525,3.165704,0.119584,0.054921,ok,
