Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5205.910000,3,0.126000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,0.168006,30.891786,18.828174,46.143119,22.287863,2.407238,4891.085238,2724.220906,1.795407,4.891085,2.724221,5613.680216,3042.809014,1.844901,5.613680,3.042809,0.163935,0.069790,2.200000,1.030000,1.000000,35.588128,18.828174,2.537018,4.823020,2.796692,1.724545,ok,
5206.290000,3,0.110000,0.168006,68.022153,29.385677,2.754277,m3_hier_joint_vp_vs,0.168006,34.731436,20.275703,48.747093,23.197578,2.451307,5075.858102,2811.755742,1.805227,5.075858,2.811756,5701.225432,3076.256267,1.853300,5.701225,3.076256,0.135778,0.061842,2.200000,1.030000,1.000000,39.041112,20.275703,2.564607,5.019667,2.876002,1.745363,ok,
5206.480000,2,0.099000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,37.510830,21.582022,51.501040,24.482638,2.492480,5211.252075,2884.186720,1.806836,5.211252,2.884187,5810.280990,3134.102739,1.853890,5.810281,3.134103,0.126677,0.057831,2.200000,1.030000,1.000000,41.681846,21.582022,2.594450,5.157008,2.942593,1.752539,ok,
5206.860000,1,0.065000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,45.452672,24.411385,57.977734,26.899040,2.593530,5539.243126,3029.118094,1.828665,5.539243,3.029118,6015.276174,3220.495829,1.867811,6.015276,3.220496,0.096859,0.044909,2.200000,1.030000,1.000000,49.083568,24.411385,2.660480,5.484095,3.067966,1.787534,ok,
5207.240000,1,0.072000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,44.121921,23.992669,56.746780,26.486139,2.574113,5488.769689,3009.940254,1.823548,5.488770,3.009940,5980.334887,3207.712933,1.864361,5.980335,3.207713,0.099797,0.046748,2.200000,1.030000,1.000000,47.793227,23.992669,2.648273,5.437674,3.052990,1.781098,ok,
5207.430000,1,0.083000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,41.587457,23.167936,54.831561,25.836349,2.543601,5388.810217,2968.525924,1.815315,5.388810,2.968526,5924.512830,3187.065999,1.858924,5.924513,3.187066,0.109875,0.050998,2.200000,1.030000,1.000000,45.456322,23.167936,2.629091,5.338002,3.017999,1.768722,ok,
5207.810000,2,0.094000,0.167236,69.146581,30.207057,2.766349,m3_hier_joint_vp_vs,0.167236,38.634079,21.973796,52.346455,24.773949,2.506312,5259.562965,2905.389955,1.810278,5.259563,2.905390,5836.552412,3143.981895,1.856420,5.836552,3.143982,0.121077,0.055821,2.200000,1.030000,1.000000,42.712058,21.973796,2.603132,5.206203,2.960976,1.758272,ok,
5208.000000,1,0.090000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,40.380340,22.761932,53.624976,25.422234,2.524184,5340.257219,2949.254784,1.810714,5.340257,2.949255,5888.386532,3173.557092,1.855453,5.888387,3.173557,0.112388,0.052577,2.200000,1.030000,1.000000,44.279975,22.761932,2.616884,5.293465,3.002922,1.762771,ok,
5208.190000,1,0.085000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,41.587457,23.167936,54.485855,25.718079,2.538054,5389.603528,2970.496855,1.814378,5.389604,2.970497,5914.239809,3183.236264,1.857933,5.914240,3.183236,0.106741,0.050438,2.200000,1.030000,1.000000,45.377494,23.167936,2.625604,5.343832,3.021296,1.768722,ok,
5208.770000,1,0.090000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,40.380340,22.761932,53.624976,25.422234,2.524184,5340.257219,2949.254784,1.810714,5.340257,2.949255,5888.386532,3173.557092,1.855453,5.888387,3.173557,0.112388,0.052577,2.200000,1.030000,1.000000,44.279975,22.761932,2.616884,5.293465,3.002922,1.762771,ok,
5208.960000,1,0.094000,0.168170,69.858997,30.711901,2.773829,m3_hier_joint_vp_vs,0.168170,39.211178,22.360176,52.939759,25.185380,2.513089,5290.976558,2927.014831,1.807636,5.290977,2.927015,5867.525443,3165.704061,1.853466,5.867525,3.165704,0.119584,0.054921,2.200000,1.030000,1.000000,43.249356,22.360176,2.609909,5.240811,2.982865,1.756972,ok,
