Depth(m),HFU,hfu_source,phi_input,phi_input_source,Phi_Sonic (pu),Phi_lab (pu),alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,n_ct_plugs_calib,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,status,error
5205.910000,3,lab,0.126000,Phi_ND,0.118000,0.110000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,32.319202,19.358439,46.728896,22.570803,2.407238,4914.081257,2835.800298,1.732873,4.914081,2.835800,5649.200064,3062.062001,1.844901,5.649200,3.062062,0.149594,0.064649,ok,
5206.290000,3,lab,0.110000,Phi_ND,0.104000,0.130000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,2,0.177836,36.180379,20.792386,49.365927,23.492066,2.451307,5105.799043,2912.415664,1.753115,5.105799,2.912416,5737.299212,3095.720888,1.853300,5.737299,3.095721,0.123683,0.057147,ok,
5206.480000,2,lab,0.099000,Phi_ND,0.096000,0.090000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,35.405839,20.987513,51.295506,24.384932,2.492480,5043.031977,2901.780851,1.737909,5.043032,2.901781,5798.675384,3127.842601,1.853890,5.798675,3.127843,0.149839,0.066736,ok,
5206.860000,1,lab,0.065000,Phi_ND,0.085000,0.070000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,47.058834,24.928815,58.656209,27.213821,2.593530,5564.225190,3100.310331,1.794732,5.564225,3.100310,6050.370205,3239.284689,1.867811,6.050370,3.239285,0.087370,0.040719,ok,
5207.240000,1,lab,0.072000,Phi_ND,0.090000,0.092000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,45.747704,24.518964,57.410850,26.796089,2.574113,5520.189785,3086.293501,1.788615,5.520190,3.086294,6015.225066,3226.427216,1.864361,6.015225,3.226427,0.089677,0.042349,ok,
5207.430000,1,lab,0.083000,Phi_ND,0.094000,0.081000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,43.243333,23.710982,55.473219,26.138694,2.543601,5424.934902,3053.164920,1.776823,5.424935,3.053165,5959.077334,3205.659824,1.858924,5.959077,3.205660,0.098461,0.046206,ok,
5207.810000,2,lab,0.094000,Phi_ND,0.092000,0.110000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,4,0.150000,36.550130,21.396858,52.137548,24.675080,2.506312,5095.698964,2921.846628,1.743999,5.095699,2.921847,5824.894331,3137.702024,1.856420,5.824894,3.137702,0.143100,0.064462,ok,
5208.000000,1,lab,0.090000,Phi_ND,0.093000,0.085000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,42.047127,23.312865,54.252514,25.719733,2.524184,5382.574627,3039.046059,1.771140,5.382575,3.039046,5922.740270,3192.072105,1.855453,5.922740,3.192072,0.100355,0.047604,ok,
5208.190000,1,lab,0.085000,Phi_ND,0.091000,0.077000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,43.243333,23.710982,55.123467,26.019041,2.538054,5430.860556,3056.499891,1.776823,5.430861,3.056500,5948.744379,3201.807746,1.857933,5.948744,3.201808,0.095359,0.045649,ok,
5208.770000,1,lab,0.090000,Phi_ND,0.089000,0.097000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,42.047127,23.312865,54.252514,25.719733,2.524184,5382.574627,3039.046059,1.771140,5.382575,3.039046,5922.740270,3192.072105,1.855453,5.922740,3.192072,0.100355,0.047604,ok,
5208.960000,1,lab,0.094000,Phi_ND,0.089000,0.087000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,40.886386,22.918669,53.559278,25.480108,2.513089,5331.885311,3019.887437,1.765591,5.331885,3.019887,5901.757474,3184.173258,1.853466,5.901757,3.184173,0.106880,0.049771,ok,
5209.150000,1,lab,0.098000,Phi_ND,0.090000,0.078000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,39.759803,22.528400,52.869180,25.240321,2.501994,5281.744036,3000.696447,1.760173,5.281744,3.000696,5880.612016,3176.174316,1.851476,5.880612,3.176174,0.113385,0.051872,ok,
5209.530000,1,lab,0.095000,Phi_ND,0.091000,0.088000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,4,0.180363,40.886386,22.918669,53.386459,25.420176,2.510315,5334.830291,3021.555422,1.765591,5.334830,3.021555,5896.486473,3182.182980,1.852969,5.896486,3.182183,0.105281,0.049490,ok,
