Depth(m),HFU,phi_input,alpha_hfu,matrix_k_gpa,matrix_g_gpa,matrix_rho_gcc,param_source,alpha,dem_k_gpa,dem_g_gpa,sc_k_gpa,sc_g_gpa,rho_gcc,vp_dem_m_s,vs_dem_m_s,vpvs_dem,vp_dem_km_s,vs_dem_km_s,vp_sc_m_s,vs_sc_m_s,vpvs_sc,vp_sc_km_s,vs_sc_km_s,vp_rel_diff_dem_sc,vpvs_rel_diff_dem_sc,kf_gpa,rho_fluid_gcc,sw,k_sat_gpa,g_sat_gpa,rho_sat_gcc,vp_dem_dry_km_s,vs_dem_dry_km_s,vpvs_dem_dry,status,error
5205.910000,3,0.126000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,0.177836,32.319202,19.358439,46.728896,22.570803,2.407238,4967.061219,2762.316167,1.798151,4.967061,2.762316,5649.200064,3062.062001,1.844901,5.649200,3.062062,0.149594,0.064649,2.200000,1.030000,1.000000,36.781290,19.358439,2.537018,4.914081,2.835800,1.732873,ok,
5206.290000,3,0.110000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,0.177836,36.180379,20.792386,49.365927,23.492066,2.451307,5148.496986,2847.356182,1.808168,5.148497,2.847356,5737.299212,3095.720888,1.853300,5.737299,3.095721,0.123683,0.057147,2.200000,1.030000,1.000000,40.256898,20.792386,2.564607,5.105799,2.912416,1.753115,ok,
5206.480000,2,0.099000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,35.405839,20.987513,51.295506,24.384932,2.492480,5121.569985,2844.184730,1.800716,5.121570,2.844185,5798.675384,3127.842601,1.853890,5.798675,3.127843,0.149839,0.066736,2.200000,1.030000,1.000000,40.070327,20.987513,2.594450,5.043032,2.901781,1.737909,ok,
5206.860000,1,0.065000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,47.058834,24.928815,58.656209,27.213821,2.593530,5607.128260,3061.052699,1.831765,5.607128,3.061053,6050.370205,3239.284689,1.867811,6.050370,3.239285,0.087370,0.040719,2.200000,1.030000,1.000000,50.406775,24.928815,2.660480,5.564225,3.100310,1.794732,ok,
5207.240000,1,0.072000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,45.747704,24.518964,57.410850,26.796089,2.574113,5558.708553,3042.773692,1.826856,5.558709,3.042774,6015.225066,3226.427216,1.864361,6.015225,3.226427,0.089677,0.042349,2.200000,1.030000,1.000000,49.137683,24.518964,2.648273,5.520190,3.086294,1.788615,ok,
5207.430000,1,0.083000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,43.243333,23.710982,55.473219,26.138694,2.543601,5462.225669,3003.114900,1.818853,5.462226,3.003115,5959.077334,3205.659824,1.858924,5.959077,3.205660,0.098461,0.046206,2.200000,1.030000,1.000000,46.826683,23.710982,2.629091,5.424935,3.053165,1.776823,ok,
5207.810000,2,0.094000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,36.550130,21.396858,52.137548,24.675080,2.506312,5172.668632,2866.994682,1.804213,5.172669,2.866995,5824.894331,3137.702024,1.856420,5.824894,3.137702,0.143100,0.064462,2.200000,1.030000,1.000000,41.121565,21.396858,2.603132,5.095699,2.921847,1.743999,ok,
5208.000000,1,0.090000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,42.047127,23.312865,54.252514,25.719733,2.524184,5415.527237,2984.733446,1.814409,5.415527,2.984733,5922.740270,3192.072105,1.855453,5.922740,3.192072,0.100355,0.047604,2.200000,1.030000,1.000000,45.663997,23.312865,2.616884,5.382575,3.039046,1.771140,ok,
5208.190000,1,0.085000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,43.243333,23.710982,55.123467,26.019041,2.538054,5463.289967,3005.108796,1.818001,5.463290,3.005109,5948.744379,3201.807746,1.857933,5.948744,3.201808,0.095359,0.045649,2.200000,1.030000,1.000000,46.753156,23.710982,2.625604,5.430861,3.056500,1.776823,ok,
5208.770000,1,0.090000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,42.047127,23.312865,54.252514,25.719733,2.524184,5415.527237,2984.733446,1.814409,5.415527,2.984733,5922.740270,3192.072105,1.855453,5.922740,3.192072,0.100355,0.047604,2.200000,1.030000,1.000000,45.663997,23.312865,2.616884,5.382575,3.039046,1.771140,ok,
5208.960000,1,0.094000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,40.886386,22.918669,53.559278,25.480108,2.513089,5367.650225,2963.343579,1.811349,5.367650,2.963344,5901.757474,3184.173258,1.853466,5.901757,3.184173,0.106880,0.049771,2.200000,1.030000,1.000000,44.637611,22.918669,2.609909,5.331885,3.019887,1.765591,ok,
5209.150000,1,0.098000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,39.759803,22.528400,52.869180,25.240321,2.501994,5320.217239,2941.938685,1.808405,5.320217,2.941939,5880.612016,3176.174316,1.851476,5.880612,3.176174,0.113385,0.051872,2.200000,1.030000,1.000000,43.637422,22.528400,2.602934,5.281744,3.000696,1.760173,ok,
5209.530000,1,0.095000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,40.886386,22.918669,53.386459,25.420176,2.510315,5368.210295,2964.334064,1.810933,5.368210,2.964334,5896.486473,3182.182980,1.852969,5.896486,3.182183,0.105281,0.049490,2.200000,1.030000,1.000000,44.603051,22.918669,2.608165,5.334830,3.021555,1.765591,ok,
5209.720000,2,0.097000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,35.405839,20.987513,51.631739,24.501021,2.498013,5121.248375,2842.283154,1.801808,5.121248,2.842283,5809.193280,3131.805102,1.854903,5.809193,3.131805,0.153203,0.067318,2.200000,1.030000,1.000000,40.152860,20.987513,2.597923,5.037444,2.898566,1.737909,ok,
5209.910000,1,0.109000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,37.604189,21.759656,50.987597,24.580068,2.471482,5228.245275,2902.021525,1.801587,5.228245,2.902022,5821.598986,3153.645274,1.845990,5.821599,3.153645,0.121317,0.055025,2.200000,1.030000,1.000000,41.612810,21.759656,2.583752,5.191753,2.967203,1.749713,ok,
5210.100000,2,0.116000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,31.202636,19.398616,48.468965,23.396552,2.445453,4922.028405,2750.093140,1.789768,4.922028,2.750093,5707.585643,3093.116715,1.845254,5.707586,3.093117,0.181511,0.075839,2.200000,1.030000,1.000000,36.274166,19.398616,2.564933,4.830751,2.816474,1.715177,ok,
5210.480000,2,0.116000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,31.202636,19.398616,48.468965,23.396552,2.445453,4922.028405,2750.093140,1.789768,4.922028,2.750093,5707.585643,3093.116715,1.845254,5.707586,3.093117,0.181511,0.075839,2.200000,1.030000,1.000000,36.274166,19.398616,2.564933,4.830751,2.816474,1.715177,ok,
5210.670000,2,0.123000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,30.237704,19.013502,47.321462,22.988712,2.426088,4873.957178,2729.131901,1.785900,4.873957,2.729132,5669.164473,3078.251068,1.841684,5.669164,3.078251,0.184344,0.077089,2.200000,1.030000,1.000000,35.291078,19.013502,2.552778,4.786756,2.799483,1.709872,ok,
5210.860000,1,0.142000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,30.970209,19.193052,45.485629,22.591663,2.379945,4915.511219,2756.371201,1.783327,4.915511,2.756371,5636.375855,3080.992295,1.829403,5.636376,3.080992,0.156179,0.065671,2.200000,1.030000,1.000000,35.448069,19.193052,2.526205,4.875003,2.839805,1.716668,ok,
5211.240000,1,0.134000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,32.732580,19.906682,46.799738,23.074779,2.402136,5003.858692,2799.427701,1.787458,5.003859,2.799428,5682.470865,3099.345460,1.833442,5.682471,3.099345,0.143934,0.062506,2.200000,1.030000,1.000000,37.059709,19.906682,2.540156,4.967482,2.878728,1.725582,ok,
5211.620000,2,0.086000,0.150000,68.870627,30.086505,2.766349,m3_hier_joint_vp_vs,0.150000,37.735177,21.811050,53.494926,25.138805,2.528443,5224.003014,2886.918474,1.809543,5.224003,2.886918,5866.327675,3153.157987,1.860461,5.866328,3.153158,0.141171,0.062960,2.200000,1.030000,1.000000,42.337700,21.811050,2.617023,5.140620,2.937052,1.750265,ok,
5212.960000,1,0.079000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,44.476377,24.113017,56.175073,26.377883,2.554697,5510.972519,3024.458274,1.822135,5.510973,3.024458,5979.627367,3213.292897,1.860903,5.979627,3.213293,0.091824,0.043899,2.200000,1.030000,1.000000,47.908807,24.113017,2.636067,5.476731,3.072247,1.782647,ok,
5213.150000,3,0.070000,0.177836,68.885679,29.758722,2.754277,m3_hier_joint_vp_vs,0.177836,44.168961,23.448457,56.183307,25.783906,2.561478,5477.273070,2983.898711,1.835610,5.477273,2.983899,5946.033570,3172.700453,1.874124,5.946034,3.172700,0.095697,0.044896,2.200000,1.030000,1.000000,47.744089,23.448457,2.633578,5.426715,3.025602,1.793598,ok,
5213.340000,1,0.061000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,48.411367,25.342563,59.372141,27.452316,2.604625,5657.232280,3082.312624,1.835386,5.657232,3.082313,6070.255076,3246.510852,1.869778,6.070255,3.246511,0.080537,0.038187,2.200000,1.030000,1.000000,51.579898,25.342563,2.667455,5.617811,3.119268,1.801003,ok,
5213.530000,1,0.066000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,47.058834,24.928815,58.477714,27.154174,2.590756,5607.503769,3062.056386,1.831287,5.607504,3.062056,6045.376670,3237.464526,1.867318,6.045377,3.237465,0.085891,0.040444,2.200000,1.030000,1.000000,50.363146,24.928815,2.658736,5.567203,3.101970,1.794732,ok,
5213.720000,1,0.073000,0.180363,70.676511,31.071302,2.773829,m3_hier_joint_vp_vs,0.180363,45.747704,24.518964,57.233724,26.736374,2.571339,5559.173652,3043.775986,1.826407,5.559174,3.043776,6010.167704,3224.568040,1.863868,6.010168,3.224568,0.088174,0.042073,2.200000,1.030000,1.000000,49.097485,24.518964,2.646529,5.523166,3.087958,1.788615,ok,
