group_id,model,joint_rel_sq,beats_m0
0,M0,0.013074,0
0,M1,0.011101,1
0,M2,0.019957,0
0,M3,0.012235,1
1,M0,0.009258,0
1,M1,0.007373,1
1,M2,0.015459,0
1,M3,0.005240,1
2,M0,0.008984,0
2,M1,0.001329,1
2,M2,0.006451,1
2,M3,0.001711,1
3,M0,0.009132,0
3,M1,0.011322,0
3,M2,0.002160,1
3,M3,0.011708,0
4,M0,0.072294,0
4,M1,0.075842,0
4,M2,0.069682,1
4,M3,0.068354,1
5,M0,0.002280,0
5,M1,0.002107,1
5,M2,0.003621,0
5,M3,0.001955,1
6,M0,0.000365,0
6,M1,0.000981,0
6,M2,0.002056,0
6,M3,0.003705,0
7,M0,0.022769,0
7,M1,0.032882,0
7,M2,0.008504,1
7,M3,0.019115,1
