group_id,model,joint_rel_sq,beats_m0
0,M0,0.013328,0
0,M1,0.011551,1
0,M2,0.025376,0
0,M3,0.014698,0
1,M0,0.009258,0
1,M1,0.007373,1
1,M2,0.019700,0
1,M3,0.006428,1
2,M0,0.025909,0
2,M1,0.012507,1
2,M2,0.012933,1
2,M3,0.000975,1
3,M0,0.009132,0
3,M1,0.011322,0
3,M2,0.004526,1
3,M3,0.007281,1
4,M0,0.072294,0
4,M1,0.075842,0
4,M2,0.075932,0
4,M3,0.073435,0
5,M0,0.009796,0
5,M1,0.011629,0
5,M2,0.002322,1
5,M3,0.003455,1
6,M0,0.017226,0
6,M1,0.024301,0
6,M2,0.024598,0
6,M3,0.033866,0
7,M0,0.022769,0
7,M1,0.032882,0
7,M2,0.010718,1
7,M3,0.013366,1
