group_id,model,mape_vp_pct,beats_p0_vp
0,G_huber,9.319937,1
0,G_huber_orient,9.363303,1
0,P0,9.994000,0
0,P1,9.446448,1
0,P2,9.602719,1
0,P3_w0p5,9.472402,1
1,G_huber,11.024350,0
1,G_huber_orient,11.550300,0
1,P0,5.061045,0
1,P1,11.551464,0
1,P2,11.538399,0
1,P3_w0p5,9.264053,0
2,G_huber,0.167569,1
2,G_huber_orient,2.666061,1
2,P0,10.604914,0
2,P1,5.012503,1
2,P2,2.959109,1
2,P3_w0p5,1.933859,1
3,G_huber,5.055550,1
3,G_huber_orient,2.329887,1
3,P0,12.843754,0
3,P1,2.338498,1
3,P2,2.364437,1
3,P3_w0p5,7.187274,1
4,G_huber,27.663626,0
4,G_huber_orient,27.678047,0
4,P0,26.021007,0
4,P1,27.687554,0
4,P2,27.684353,0
4,P3_w0p5,27.202276,0
5,G_huber,0.887605,1
5,G_huber_orient,4.410425,1
5,P0,9.575115,0
5,P1,4.390532,1
5,P2,4.407160,1
5,P3_w0p5,7.112526,1
6,G_huber,16.449727,0
6,G_huber_orient,16.353896,0
6,P0,11.309869,0
6,P1,16.281610,0
6,P2,16.268938,0
6,P3_w0p5,16.472342,0
7,G_huber,7.778004,1
7,G_huber_orient,7.905924,1
7,P0,19.138824,0
7,P1,7.886508,1
7,P2,13.535560,1
7,P3_w0p5,8.398608,1
