model,orientation,n,mape_vp_pct,mape_vs_pct,mae_vpvs
G_huber,H,8,9.688919,10.618192,0.086647
G_huber,V,2,13.302339,11.312824,0.132976
G_huber_orient,H,8,10.176901,11.557127,0.122196
G_huber_orient,V,2,13.279915,11.403769,0.129922
P0,H,8,12.100265,13.039409,0.111347
P0,V,2,14.525139,8.808760,0.121378
P1,H,8,10.363347,11.589010,0.118871
P1,V,2,13.708201,10.437196,0.118394
P2,H,8,10.928050,12.956428,0.120982
P2,V,2,13.403967,12.996411,0.154106
P3_w0p5,H,8,10.711966,9.962490,0.056850
P3_w0p5,V,2,13.646177,11.834941,0.061143
