model,orientation,n,mape_vp_pct,mape_vs_pct,mae_vpvs
G_huber,H,8,10.219427,10.295828,0.137761
G_huber,V,1,2.648920,6.699818,0.167058
G_huber_orient,H,8,10.136342,10.290681,0.136945
G_huber_orient,V,1,2.638029,6.708545,0.167035
P0,H,8,10.448314,11.546475,0.111798
P0,V,1,8.678905,1.477911,0.171878
P1,H,8,10.312183,10.380490,0.134429
P1,V,1,2.646164,6.721125,0.167427
P2,H,8,9.801865,10.703920,0.149773
P2,V,1,2.649465,6.714746,0.167361
P3_w0p05,H,8,10.001981,10.362216,0.141204
P3_w0p05,V,1,3.089772,5.578291,0.153055
P3_w0p1,H,8,10.325374,10.061392,0.133161
P3_w0p1,V,1,3.394875,6.036243,0.167340
P3_w0p25,H,8,10.967121,10.246540,0.109164
P3_w0p25,V,1,4.116114,2.924820,0.120926
P3_w0p5,H,8,11.383682,9.953006,0.086885
P3_w0p5,V,1,4.725507,1.605571,0.107276
P3_w1,H,8,10.766645,9.552457,0.061794
P3_w1,V,1,5.409651,0.491825,0.098878
