model,n,mape_vp_pct,rmse_vp_km_s,bias_vp_km_s,mape_vs_pct,rmse_vs_km_s,mae_vpvs,joint_rel_sq,frac_alpha_at_bound,alpha_std,scale_std,d_mape_vp_vs_p0,d_joint_vs_p0
G_huber,9,9.378260,0.653270,-0.138863,9.896271,0.468094,0.141016,0.016040,0.000000,0.194444,0.036904,-0.873453,-0.000764
G_huber_orient,9,9.303196,0.652389,-0.143361,9.892666,0.468978,0.140289,0.016043,0.000000,0.158884,0.037796,-0.948517,-0.000761
P0,9,10.251713,0.694034,-0.090000,10.427746,0.444065,0.118474,0.016803,0.333333,0.317363,0.050103,0.000000,0.000000
P1,9,9.460404,0.662415,-0.140765,9.973894,0.467887,0.138096,0.016229,0.000000,0.193018,0.044821,-0.791310,-0.000574
P2,9,9.007154,0.619783,-0.129310,10.260679,0.479825,0.151728,0.015878,0.000000,0.128593,0.014114,-1.244559,-0.000925
P3_w0p05,9,9.233958,0.618496,-0.106997,9.830668,0.468684,0.142521,0.015411,0.000000,0.089415,0.031609,-1.017755,-0.001393
P3_w0p1,9,9.555318,0.659454,-0.123214,9.614153,0.454104,0.136959,0.015647,0.000000,0.107273,0.045744,-0.696395,-0.001156
P3_w0p25,9,10.205898,0.676618,-0.080894,9.433016,0.434327,0.110471,0.015421,0.000000,0.151182,0.065546,-0.045815,-0.001382
P3_w0p5,9,10.643885,0.682176,-0.043873,9.025513,0.419195,0.089150,0.015082,0.000000,0.135821,0.063595,0.392172,-0.001721
P3_w1,9,10.171424,0.667177,-0.046991,8.545720,0.400407,0.065914,0.014136,0.000000,0.019966,0.035233,-0.080289,-0.002667
