model,orientation,n,mape_vp_pct,mape_vs_pct,mae_vpvs
G_huber,H,8,9.688919,10.618192,0.086647
G_huber,V,2,13.302339,11.312824,0.132976
G_huber_orient,H,8,10.176901,11.557127,0.122196
G_huber_orient,V,2,13.279915,11.403769,0.129922
P0,H,8,12.100265,13.039409,0.111347
P0,V,2,14.525139,8.808760,0.121378
P1,H,8,10.816687,11.195893,0.062144
P1,V,2,13.253136,10.718072,0.118640
P2,H,8,10.977017,12.251154,0.095913
P2,V,2,13.171247,10.695421,0.116603
P3_w0p05,H,8,10.663328,11.986172,0.109324
P3_w0p05,V,2,13.414955,13.007306,0.154484
P3_w0p1,H,8,10.719091,10.108883,0.097598
P3_w0p1,V,2,13.809273,10.823847,0.114962
P3_w0p25,H,8,10.796570,10.779014,0.066277
P3_w0p25,V,2,14.573055,13.104989,0.154802
P3_w0p5,H,8,10.535624,10.437125,0.043741
P3_w0p5,V,2,13.702819,12.088613,0.068067
P3_w1,H,8,10.667618,10.376376,0.041187
P3_w1,V,2,14.022897,12.459168,0.059953
