model,n,mape_vp_pct,rmse_vp_km_s,bias_vp_km_s,mape_vs_pct,rmse_vs_km_s,mae_vpvs,joint_rel_sq,frac_alpha_at_bound,alpha_std,scale_std,d_mape_vp_vs_p0,d_joint_vs_p0
G_huber,10,10.411603,0.747926,-0.147540,10.757118,0.462664,0.095913,0.020160,0.000000,0.168648,0.049598,-2.173637,-0.000866
G_huber_orient,10,10.797504,0.750499,-0.153510,11.526455,0.481939,0.123741,0.021128,0.100000,0.147590,0.057305,-1.787736,0.000101
P0,10,12.585240,0.734047,-0.067812,12.193279,0.466962,0.113353,0.021027,0.500000,0.337990,0.074243,0.000000,0.000000
P1,10,11.303976,0.751672,-0.141612,11.100328,0.452608,0.073443,0.020081,0.100000,0.137836,0.065938,-1.281263,-0.000946
P2,10,11.415863,0.759051,-0.120736,11.940008,0.477353,0.100051,0.021290,0.100000,0.166411,0.088060,-1.169377,0.000263
P3_w0p05,10,11.213653,0.755115,-0.125313,12.190399,0.496400,0.118356,0.022113,0.100000,0.152677,0.082805,-1.371586,0.001086
P3_w0p1,10,11.337128,0.756602,-0.086441,10.251875,0.454999,0.101071,0.020242,0.100000,0.170462,0.077716,-1.248112,-0.000785
P3_w0p25,10,11.551867,0.753444,-0.098334,11.244209,0.461910,0.083982,0.021000,0.100000,0.173776,0.090872,-1.033373,-0.000027
P3_w0p5,10,11.169063,0.734778,-0.104162,10.767423,0.436855,0.048606,0.019595,0.000000,0.026324,0.027141,-1.416177,-0.001432
P3_w1,10,11.338674,0.735305,-0.078463,10.792934,0.433877,0.044940,0.019776,0.200000,0.018932,0.021200,-1.246566,-0.001251
