group_id,model,mape_vp_pct,beats_p0_vp
0,G_huber,9.322788,1
0,P0,9.994000,0
0,P1,9.375433,1
0,P2,9.317986,1
0,P3,9.471683,1
1,G_huber,11.012140,0
1,P0,5.061045,0
1,P1,10.414046,0
1,P2,10.407592,0
1,P3,8.760098,0
2,G_huber,0.128680,1
2,P0,10.604914,0
2,P1,0.733597,1
2,P2,2.959109,1
2,P3,1.951832,1
3,G_huber,5.042865,1
3,P0,12.843754,0
3,P1,7.536893,1
3,P2,7.531130,1
3,P3,8.253079,1
4,G_huber,27.690709,0
4,P0,26.021007,0
4,P1,27.261117,0
4,P2,27.660164,0
4,P3,26.968439,0
5,G_huber,0.416315,1
5,P0,9.575115,0
5,P1,6.396461,1
5,P2,4.123863,1
5,P3,4.303621,1
6,G_huber,16.500590,0
6,P0,11.309869,0
6,P1,16.243140,0
6,P2,16.223279,0
6,P3,16.201786,0
7,G_huber,7.772038,1
7,P0,19.138824,0
7,P1,9.663427,1
7,P2,9.636151,1
7,P3,10.328049,1
