ct_sample_id,HFU,held_out,status,n_train_hfu,f_meso_median_loo,f_micro_median_loo,ar_meso_median_loo,ar_micro_fit_loo,vp_lab_z_km_s,vp_m1_loo_km_s,vp_m2b_loo_km_s,vp_rel_error_m1_loo_pct,vp_rel_error_m2b_loo_pct,vp_abs_rel_error_m1_loo_pct,vp_abs_rel_error_m2b_loo_pct
F2829V,3,F2829V,ok,1,0.578900,0.421100,0.551936,0.124000,4.955000,6.078045,4.953288,22.664884,-0.034546,22.664884,0.034546
F2830H,3,F2830H,ok,1,0.355078,0.644922,0.677752,1.000000,5.787000,4.718248,5.389990,-18.468153,-6.860369,18.468153,6.860369
F2852H,1,F2852H,ok,3,0.975502,0.024498,0.551254,1.000000,5.811000,5.516903,5.525746,-5.061039,-4.908861,5.061039,4.908861
F2854H,2,F2854H,ok,3,0.926983,0.073017,0.560294,0.076000,5.033000,4.499255,5.032139,-10.604908,-0.017111,10.604908,0.017111
F2859H,1,F2859H,ok,3,0.928344,0.071656,0.557264,0.039000,5.127000,5.785499,5.130824,12.843749,0.074584,12.843749,0.074584
F2870H,1,F2870H,ok,3,0.928344,0.071656,0.557264,1.000000,5.941000,4.395092,4.906702,-26.021007,-17.409502,26.021007,17.409502
F2880H,2,F2880H,ok,3,0.931766,0.068234,0.547150,0.038000,4.610000,4.168587,4.612162,-9.575119,0.046893,9.575119,0.046893
F2910H,2,F2910H,ok,3,0.926983,0.073017,0.547150,0.030000,4.963000,4.779404,4.961512,-3.699295,-0.029973,3.699295,0.029973
F2911V,2,F2911V,ok,3,0.931766,0.068234,0.560294,0.011000,3.818000,4.579120,3.835981,19.935045,0.470964,19.935045,0.470964
F2935H,1,F2935H,ok,3,0.975502,0.024498,0.551254,0.013000,4.483000,5.340993,4.476589,19.138813,-0.143015,19.138813,0.143015
