ct_sample_id,HFU,held_out,status,n_train_hfu,f_meso_median_loo,f_micro_median_loo,ar_meso_median_loo,ar_micro_hfu_median_loo,vp_lab_z_km_s,vp_m1_loo_km_s,vp_m2b_forward_loo_km_s,vp_rel_error_m1_loo_pct,vp_rel_error_m2b_forward_loo_pct,vp_abs_rel_error_m1_loo_pct,vp_abs_rel_error_m2b_forward_loo_pct
F2829V,3,F2829V,ok,1,0.578900,0.421100,0.551936,1.000000,4.955000,6.078045,5.584612,22.664884,12.706589,22.664884,12.706589
F2830H,3,F2830H,ok,1,0.355078,0.644922,0.677752,0.148000,5.787000,4.718248,4.705492,-18.468153,-18.688572,18.468153,18.688572
F2852H,1,F2852H,ok,3,0.975502,0.024498,0.551254,0.010000,5.811000,5.530941,5.137481,-4.819463,-11.590408,4.819463,11.590408
F2854H,2,F2854H,ok,3,0.926983,0.073017,0.560294,0.027000,5.033000,4.475243,4.934867,-11.081999,-1.949790,11.081999,1.949790
F2859H,1,F2859H,ok,3,0.928344,0.071656,0.557264,1.000000,5.127000,5.779933,5.577826,12.735186,8.793168,12.735186,8.793168
F2870H,1,F2870H,ok,3,0.928344,0.071656,0.557264,0.024000,5.941000,4.347752,4.268764,-26.817842,-28.147388,26.817842,28.147388
F2880H,2,F2880H,ok,3,0.931766,0.068234,0.547150,0.025000,4.610000,4.184437,4.507452,-9.231302,-2.224473,9.231302,2.224473
F2910H,2,F2910H,ok,3,0.926983,0.073017,0.547150,0.032000,4.963000,4.793631,5.050663,-3.412633,1.766333,3.412633,1.766333
F2911V,2,F2911V,ok,3,0.931766,0.068234,0.560294,0.029000,3.818000,4.589226,4.593299,20.199738,20.306427,20.199738,20.306427
F2935H,1,F2935H,ok,3,0.975502,0.024498,0.551254,1.000000,4.483000,5.336079,5.091981,19.029199,13.584231,19.029199,13.584231
