ct_sample_id,HFU,phi_lab_pu,f_meso_m2a,f_micro_m2a,ar_meso_m2a,vp_lab_z_km_s,vp_m1_calib_km_s,vp_abs_rel_error_m1_pct,ar_micro_m2a_oracle,vp_m2a_oracle_km_s,vp_abs_err_m2a_oracle_pct,ar_micro_m2b_oracle,vp_m2b_oracle_km_s,vp_abs_err_m2b_oracle_pct,ar_micro_m2b_forward,vp_m2b_forward_km_s,vp_abs_err_m2b_forward_pct
F2829V,3,0.110000,0.355078,0.644922,0.677752,4.955000,5.487576,10.748254,0.148000,4.955503,0.010156,0.129000,4.952421,0.052051,0.564500,5.467432,10.341712
F2830H,3,0.110000,0.578900,0.421100,0.551936,5.787000,5.227992,9.659720,1.000000,5.316894,8.123476,1.000000,5.375524,7.110344,0.564500,5.207688,10.010570
F2852H,1,0.103000,0.697279,0.302721,0.581809,5.811000,5.608413,3.486267,1.000000,5.668318,2.455373,1.000000,5.575361,4.055053,0.508500,5.561461,4.294250
F2854H,2,0.075000,0.979914,0.020086,0.537784,5.033000,4.859831,3.440672,0.012000,5.041073,0.160393,0.037000,5.034078,0.021423,0.028500,4.961037,1.429822
F2859H,1,0.090000,0.975502,0.024498,0.537271,5.127000,5.599983,9.225336,0.010000,5.175213,0.940383,0.017000,5.135400,0.163836,0.508500,5.558079,8.408009
F2870H,1,0.155000,0.994636,0.005364,0.551254,5.941000,4.956767,16.566790,1.000000,4.888696,17.712578,1.000000,4.912323,17.314875,0.508500,4.894035,17.622710
F2880H,2,0.181000,0.904170,0.095830,0.560294,4.610000,4.344067,5.768612,0.040000,4.613422,0.074235,0.031000,4.618847,0.191909,0.028500,4.570938,0.847340
F2910H,2,0.131000,0.931766,0.068234,0.569242,4.963000,4.840278,2.472738,0.025000,4.967046,0.081531,0.026000,4.966214,0.064758,0.028500,5.012556,0.998511
F2911V,2,0.131000,0.926983,0.073017,0.547150,3.818000,4.406013,15.401074,0.010000,3.812846,0.134981,0.010000,3.845377,0.717054,0.028500,4.569162,19.674231
F2935H,1,0.115000,0.928344,0.071656,0.557264,4.483000,5.138157,14.614254,0.020000,4.481591,0.031438,0.014000,4.492567,0.213405,0.508500,5.087668,13.488025
