Depth(m),HFU,status,phi_nd,phi_nmr,vp_sonic,vp_m1_nd,vp_m1_nmr
5205.91,3,ok,0.126,0.128616,4.796785,5.216837,5.20465
5206.29,3,ok,0.11,0.113512,4.89001,5.291445,5.275058
5206.48,2,ok,0.099,0.09731,4.980062,4.895344,4.909473
5206.86,1,ok,0.065,0.074375,5.121586,5.483926,5.440549
5207.24,1,ok,0.072,0.075174,5.07334,5.451533,5.436855
5207.43,1,ok,0.083,0.077316,4.981068,5.400685,5.426952
5207.81,2,ok,0.094,0.084374,5.042808,4.937269,5.019055
5208.0,1,ok,0.09,0.082581,4.999328,5.36836,5.402621
5208.19,1,ok,0.085,0.078823,5.052174,5.391447,5.419986
5208.77,1,ok,0.09,0.084021,5.085107,5.36836,5.395969
5208.96,1,ok,0.094,0.085224,5.083536,5.349898,5.390412
5209.15,1,ok,0.098,0.087101,5.040045,5.331444,5.381744
5209.53,1,ok,0.095,0.101625,5.056809,5.345284,5.314726
5209.72,2,ok,0.097,0.113487,4.951357,4.912069,4.775917
5209.91,1,ok,0.109,0.120405,4.916022,5.280729,5.228194
5210.1,2,ok,0.116,0.120603,4.904359,4.7555,4.718325
5210.48,2,ok,0.116,0.106174,4.772181,4.7555,4.83583
5210.67,2,ok,0.123,0.094122,4.745749,4.699078,4.936242
5210.86,1,ok,0.142,0.081085,4.702177,5.128825,5.409533
5211.24,1,ok,0.134,0.071744,4.695187,5.165623,5.452717
5211.62,2,ok,0.086,0.064924,5.146074,5.005139,5.188865
5212.96,1,ok,0.079,0.079967,5.460004,5.419168,5.414699
5213.15,3,ok,0.07,0.07253,5.425303,5.478592,5.466723
5213.34,1,ok,0.061,0.069636,5.442419,5.502449,5.462469
5213.53,1,ok,0.066,0.076639,5.424507,5.479296,5.430081
5213.72,1,ok,0.073,0.082332,5.385414,5.446908,5.403771
5214.1,4,ok,0.084,0.094085,5.291709,6.349861,6.288579
5214.29,2,ok,0.087,0.099882,5.177112,4.996601,4.887986
5214.48,4,ok,0.091,0.101655,5.144491,6.307306,6.2427
5214.67,4,ok,0.095,0.089568,5.121179,6.283028,6.316004
5214.86,1,ok,0.087,0.064944,5.114607,5.382211,5.484185
5215.43,1,ok,0.062,0.091758,5.113459,5.497817,5.360245
5215.62,1,ok,0.096,0.117386,5.046288,5.34067,5.242096
5216.0,1,ok,0.141,0.116233,4.716853,5.133424,5.247406
5216.39,1,ok,0.116,0.09036,4.745883,5.248479,5.366698
5216.77,1,ok,0.105,0.074449,4.959894,5.299165,5.440207
5216.96,2,ok,0.108,0.066648,4.993388,4.8208,5.173555
5217.34,1,ok,0.107,0.083188,4.835394,5.289946,5.399817
5217.53,1,ok,0.115,0.092431,4.809859,5.253085,5.357139
5217.91,2,ok,0.141,0.114114,4.610797,4.556918,4.770815
5218.29,2,ok,0.181,0.137081,4.409978,4.254814,4.587521
5218.48,3,ok,0.183,0.133042,4.470671,4.95179,5.184037
5218.67,4,ok,0.158,0.118995,4.439472,5.904038,6.137974
5218.86,2,ok,0.137,0.113664,4.619478,4.588156,4.774476
5219.05,1,ok,0.127,0.124737,4.776456,5.197834,5.20825
5219.24,2,ok,0.124,0.15556,4.80808,4.691071,4.44484
5219.62,2,ok,0.17,0.220329,4.612612,4.336106,3.974311
5219.81,1,ok,0.196,0.228476,4.382418,4.880658,4.731388
5220.2,1,ok,0.193,0.22859,4.212831,4.894442,4.730863
5220.58,1,ok,0.165,0.143649,4.510434,5.023094,5.121241
5220.77,1,ok,0.118,0.108707,4.697837,5.239268,5.282079
5221.15,1,ok,0.074,0.07968,5.189557,5.442283,5.416025
5221.72,1,ok,0.036,0.058856,5.611885,5.618457,5.512381
5222.1,1,ok,0.043,0.056371,5.597079,5.58593,5.523897
5222.86,2,ok,0.088,0.077531,5.127192,4.988079,5.078084
5223.05,1,ok,0.094,0.07143,5.096258,5.349898,5.45417
5223.43,1,ok,0.08,0.061193,5.155464,5.414547,5.501555
5223.63,1,ok,0.075,0.064081,5.312252,5.437659,5.48818
5224.39,2,ok,0.071,0.091915,5.217744,5.135137,4.954863
5224.77,2,ok,0.081,0.105697,5.107089,5.048065,4.839764
5224.96,1,ok,0.084,0.105722,5.113689,5.396066,5.295837
5225.15,1,ok,0.084,0.098689,5.100946,5.396066,5.328266
5225.34,2,ok,0.088,0.1035,5.099522,4.988079,4.857926
5225.53,2,ok,0.1,0.116219,5.081782,4.887003,4.753725
5226.1,2,ok,0.125,0.133703,4.775747,4.683078,4.614053
5226.48,1,ok,0.153,0.174646,4.546285,5.078248,4.97877
5227.63,1,ok,0.053,0.072428,4.989506,5.539525,5.449553
5227.82,1,ok,0.069,0.081384,5.123282,5.465412,5.408151
5228.01,2,ok,0.088,0.090381,5.046369,4.988079,4.96785
5228.2,2,ok,0.095,0.124643,4.932321,4.928854,4.68593
5228.58,1,ok,0.112,0.17309,5.008938,5.266906,4.98592
5228.96,2,ok,0.089,0.120532,4.976067,4.979572,4.718896
5229.34,2,ok,0.129,0.159572,4.837701,4.651233,4.414393
5229.53,3,ok,0.151,0.176282,4.489622,5.100474,4.982987
5229.72,2,ok,0.161,0.183305,4.401654,4.4036,4.237944
5230.29,3,ok,0.172,0.178207,4.28689,5.002876,4.974047
5230.48,4,ok,0.17,0.165479,4.264201,5.832461,5.859408
5230.86,3,ok,0.182,0.155676,4.300251,4.956434,5.078732
5231.05,4,ok,0.179,0.152054,4.331136,5.778885,5.939568
5231.24,3,ok,0.17,0.159878,4.293632,5.012167,5.0592
5231.44,3,ok,0.17,0.171383,4.207156,5.012167,5.005742
5232.2,1,ok,0.139,0.104145,4.679668,5.142622,5.303107
5232.77,2,ok,0.094,0.143191,5.024264,4.937269,4.53989
5232.96,3,ok,0.131,0.144063,4.955069,5.193546,5.13274
5233.15,2,ok,0.148,0.144065,4.869428,4.50272,4.533114
5233.34,2,ok,0.132,0.137461,4.678256,4.627484,4.584546
5233.72,2,ok,0.143,0.165892,4.684132,4.541372,4.366801
