Depth(m),HFU,has_cmr,vp_m3_dry_km_s,vs_m3_dry_km_s,vp_m3_km_s,vs_m3_km_s,vpvs_m3,k_dry_gpa,g_dry_gpa,k_sat_gpa,g_sat_gpa,rho_sat_gcc,phi_input,f_macro_nmr,f_micro_nmr,ar_meso_hfu,ar_micro_hfu,vp_m1_km_s,vp_sonic_km_s,vp_m1_rel_error_pct,vp_m3_rel_error_pct,vp_m1_abs_rel_error_pct,vp_m3_abs_rel_error_pct,status
5205.910000,3,True,5.274136,2.857633,5.197793,2.783583,1.867303,40.750750,19.657660,42.332547,19.657660,2.537018,0.126000,0.799431,0.200569,0.614844,0.569000,5.216837,4.796785,8.756949,8.359940,8.756949,8.359940,ok
5206.290000,3,True,5.335657,2.879662,5.270192,2.815334,1.871959,42.683686,20.327348,44.128619,20.327348,2.564607,0.110000,0.859895,0.140105,0.614844,0.569000,5.291445,4.890010,8.209288,7.774667,8.209288,7.774667,ok
5206.480000,2,True,4.638701,2.684389,4.744402,2.631108,1.803196,29.684487,17.960679,34.451832,17.960679,2.594450,0.099000,0.827463,0.172537,0.553722,0.034000,4.895344,4.980062,-1.701143,-4.732061,1.701143,4.732061,ok
5206.860000,1,True,5.495078,2.948481,5.459489,2.911146,1.875374,48.251311,22.546959,49.235702,22.546959,2.660480,0.065000,0.573089,0.426911,0.554259,0.512500,5.483926,5.121586,7.074762,6.597617,7.074762,6.597617,ok
5207.240000,1,True,5.464871,2.938007,5.425209,2.896578,1.872972,47.249494,22.219449,48.320412,22.219449,2.648273,0.072000,0.525776,0.474224,0.554259,0.512500,5.451533,5.073340,7.454517,6.935648,7.454517,6.935648,ok
5207.430000,1,True,5.418638,2.921737,5.372348,2.873841,1.869396,45.732872,21.713570,46.929730,21.713570,2.629091,0.083000,0.535370,0.464630,0.554259,0.512500,5.400685,4.981068,8.424238,7.855346,8.424238,7.855346,ok
5207.810000,2,True,3.878477,2.387176,4.229443,2.342361,1.805632,18.658079,14.282492,27.521986,14.282492,2.603132,0.094000,0.556169,0.443831,0.553722,0.034000,4.937269,5.042808,-2.092862,-16.129217,2.092862,16.129217,ok
5208.000000,1,True,5.389836,2.911449,5.339210,2.859416,1.867238,44.799963,21.396334,46.071497,21.396334,2.616884,0.090000,0.577242,0.422758,0.554259,0.512500,5.368360,4.999328,7.381632,6.798547,7.381632,6.798547,ok
5208.190000,1,True,5.410609,2.918827,5.363044,2.869751,1.868819,45.469954,21.623080,46.687479,21.623080,2.625604,0.085000,0.577605,0.422395,0.554259,0.512500,5.391447,5.052174,6.715386,6.153200,6.715386,6.153200,ok
5208.770000,1,True,5.389561,2.911417,5.338985,2.859385,1.867179,44.793091,21.395866,46.065837,21.395866,2.616884,0.090000,0.539531,0.460469,0.554259,0.512500,5.368360,5.085107,5.570247,4.992575,5.570247,4.992575,ok
5208.960000,1,True,5.373336,2.905555,5.320236,2.851152,1.865995,44.271593,21.216127,45.585067,21.216127,2.609909,0.094000,0.580726,0.419274,0.554259,0.512500,5.349898,5.083536,5.239699,4.656202,5.239699,4.656202,ok
5209.150000,1,True,5.356954,2.899649,5.301354,2.842870,1.864789,43.750696,21.036675,45.104871,21.036675,2.602934,0.098000,0.598030,0.401970,0.554259,0.512500,5.331444,5.040045,5.781675,5.184655,5.781675,5.184655,ok
5209.530000,1,True,5.369279,2.904004,5.315537,2.849009,1.865749,44.143479,21.170095,45.466751,21.170095,2.608165,0.095000,0.623534,0.376466,0.554259,0.512500,5.345284,5.056809,5.704685,5.116434,5.704685,5.116434,ok
5209.720000,2,True,4.159372,2.505977,4.409561,2.457318,1.794461,22.300136,15.687329,29.598176,15.687329,2.597923,0.097000,0.673249,0.326751,0.553722,0.034000,4.912069,4.951357,-0.793479,-10.942370,0.793479,10.942370,ok
5209.910000,1,True,5.310604,2.882438,5.248265,2.819118,1.861669,42.323085,20.534181,43.788693,20.534181,2.583752,0.109000,0.731146,0.268854,0.554259,0.512500,5.280729,4.916022,7.418742,6.758378,7.418742,6.758378,ok
5210.100000,2,True,4.123933,2.487182,4.333938,2.428562,1.784569,21.419043,15.127754,28.006840,15.127754,2.564933,0.116000,0.731678,0.268322,0.553722,0.034000,4.755500,4.904359,-3.035239,-11.630894,3.035239,11.630894,ok
5210.480000,2,True,3.559861,2.236167,3.942752,2.183463,1.805733,14.685810,12.228348,23.568175,12.228348,2.564933,0.116000,0.550901,0.449099,0.553722,0.034000,4.755500,4.772181,-0.349547,-17.380491,0.349547,17.380491,ok
