depth_m,tdep,cmrp_3ms,cmff,bfv
5205.156210,2049270.000000,0.121001,0.094843,0.029470
5205.346711,2049345.000000,0.128828,0.100837,0.031192
5205.537211,2049420.000000,0.131308,0.101737,0.030216
5205.727711,2049495.000000,0.131316,0.101743,0.030218
5205.918212,2049570.000000,0.128616,0.102822,0.025797
5206.108712,2049645.000000,0.124952,0.104091,0.020864
5206.299213,2049720.000000,0.113512,0.097611,0.015904
5206.489713,2049795.000000,0.097310,0.080532,0.016792
5206.680213,2049870.000000,0.082035,0.058951,0.023086
5206.870714,2049945.000000,0.074375,0.044474,0.033130
5207.061214,2050020.000000,0.075112,0.041084,0.037547
5207.251715,2050095.000000,0.075174,0.040419,0.036456
5207.442215,2050170.000000,0.077316,0.041398,0.035928
5207.632715,2050245.000000,0.081368,0.045062,0.036854
5207.823216,2050320.000000,0.084374,0.048281,0.038529
5208.013716,2050395.000000,0.082581,0.050556,0.037026
5208.204216,2050470.000000,0.078823,0.047828,0.034976
5208.394717,2050545.000000,0.078457,0.046422,0.034509
5208.585217,2050620.000000,0.079968,0.045059,0.042166
5208.775718,2050695.000000,0.084021,0.047694,0.040705
5208.966218,2050770.000000,0.085224,0.050468,0.036437
5209.156718,2050845.000000,0.087101,0.054325,0.036515
5209.347219,2050920.000000,0.091613,0.056775,0.038260
5209.537719,2050995.000000,0.101625,0.064156,0.038735
5209.728219,2051070.000000,0.113487,0.077631,0.037677
5209.918720,2051145.000000,0.120405,0.088990,0.032723
5210.109220,2051220.000000,0.120603,0.088244,0.032361
5210.299721,2051295.000000,0.116151,0.074480,0.041685
5210.490221,2051370.000000,0.106174,0.058493,0.047684
5210.680721,2051445.000000,0.094122,0.047905,0.046390
5210.871222,2051520.000000,0.081085,0.046174,0.042056
5211.061722,2051595.000000,0.075425,0.048170,0.036736
5211.252223,2051670.000000,0.071744,0.046514,0.035941
5211.442723,2051745.000000,0.064932,0.039253,0.029968
5211.633223,2051820.000000,0.064924,0.039249,0.029964
5211.823724,2051895.000000,0.051626,0.028134,0.026747
5212.014224,2051970.000000,0.039287,0.017531,0.027053
5212.204724,2052045.000000,0.031460,0.010918,0.028997
5212.395225,2052120.000000,0.038881,0.010663,0.036638
5212.585725,2052195.000000,0.062190,0.023652,0.045867
5212.776226,2052270.000000,0.078665,0.041775,0.041236
5212.966726,2052345.000000,0.079967,0.050424,0.030675
5213.157226,2052420.000000,0.072530,0.047986,0.024558
5213.347727,2052495.000000,0.069636,0.043639,0.026480
5213.538227,2052570.000000,0.076639,0.050533,0.027693
5213.728727,2052645.000000,0.082332,0.059753,0.024028
5213.919228,2052720.000000,0.088616,0.065840,0.022797
5214.109728,2052795.000000,0.094085,0.068186,0.025902
5214.300229,2052870.000000,0.099882,0.066703,0.033181
5214.490729,2052945.000000,0.101655,0.065342,0.041772
5214.681229,2053020.000000,0.089568,0.055325,0.046854
5214.871730,2053095.000000,0.064944,0.036521,0.040228
5215.062230,2053170.000000,0.044685,0.025188,0.031119
5215.252731,2053245.000000,0.056231,0.042269,0.025057
5215.443231,2053320.000000,0.091758,0.073601,0.024872
5215.633731,2053395.000000,0.117386,0.082620,0.037021
5215.824232,2053470.000000,0.117387,0.082621,0.037021
5216.014732,2053545.000000,0.116233,0.063448,0.055078
5216.205232,2053620.000000,0.100187,0.043232,0.065603
5216.395733,2053695.000000,0.090360,0.039360,0.061790
5216.586233,2053770.000000,0.084930,0.041642,0.053461
5216.776734,2053845.000000,0.074449,0.035308,0.046200
5216.967234,2053920.000000,0.066648,0.030092,0.043631
5217.157734,2053995.000000,0.072822,0.034463,0.047862
5217.348235,2054070.000000,0.083188,0.041567,0.054524
5217.538735,2054145.000000,0.092431,0.044594,0.059644
5217.729235,2054220.000000,0.099875,0.046724,0.061069
5217.919736,2054295.000000,0.114114,0.064199,0.055087
5218.110236,2054370.000000,0.132674,0.087151,0.052819
5218.300737,2054445.000000,0.137081,0.100039,0.044103
5218.491237,2054520.000000,0.133042,0.097977,0.039889
