depth_m,tdep,dtco_usft,dtsm_usft,vp_sonic_km_s,vs_sonic_km_s,vpvs_sonic_calc,vpvs_sonic_dlis,sphi,itt
5205.984000,2049600.000000,63.542557,110.704201,4.796785,2.753283,1.742206,1.742206,0.074188,0.107382
5206.136400,2049660.000000,63.354431,110.229042,4.811029,2.765151,1.739879,1.739879,0.072552,0.107350
5206.288800,2049720.000000,62.331161,109.701706,4.890010,2.778444,1.759982,1.759982,0.063483,0.107318
5206.441200,2049780.000000,61.204063,108.624550,4.980062,2.805996,1.774793,1.774793,0.053143,0.107287
5206.593600,2049840.000000,60.456955,106.971214,5.041604,2.849365,1.769378,1.769378,0.046076,0.107256
5206.746000,2049900.000000,59.794636,105.192619,5.097447,2.897542,1.759232,1.759232,0.039663,0.107226
5206.898400,2049960.000000,59.512810,104.691460,5.121586,2.911412,1.759142,1.759142,0.036891,0.107196
5207.050800,2050020.000000,58.938560,104.002327,5.171487,2.930704,1.764589,1.764589,0.031161,0.107167
5207.203200,2050080.000000,60.078762,102.949249,5.073340,2.960682,1.713571,1.713571,0.042431,0.107137
5207.355600,2050140.000000,61.191696,103.247833,4.981068,2.952120,1.687285,1.687285,0.053027,0.107107
5207.508000,2050200.000000,60.423744,104.158302,5.044375,2.926315,1.723798,1.723798,0.045758,0.107077
5207.660400,2050260.000000,60.304111,105.497185,5.054382,2.889177,1.749419,1.749419,0.044608,0.107046
5207.812800,2050320.000000,60.442520,106.024879,5.042808,2.874797,1.754144,1.754144,0.045937,0.107016
5207.965200,2050380.000000,60.968189,107.017479,4.999328,2.848133,1.755300,1.755300,0.050930,0.106986
5208.117600,2050440.000000,60.330463,106.974777,5.052174,2.849270,1.773147,1.773147,0.044862,0.106955
5208.270000,2050500.000000,60.253006,107.032036,5.058669,2.847746,1.776377,1.776377,0.044116,0.106925
5208.422400,2050560.000000,60.229603,106.990051,5.060634,2.848863,1.776370,1.776370,0.043890,0.106895
