sample_id,depth_m,well,Mineral Bulk Modulus (GPa),Mineral Shear Modulus (GPa),Mineral Bulk Density (g/cm³),Calcite (%),Quartz (%),Dolomite (%),Aragonite (%),K Feldspar (%),Albite (%),Dawsonite (%),Hematite(%),Pyrite (%),Kaolinite (%),Illite (%),Montmorillinite (%),Vermiculite (%),Fluorite (%),Magnesite (%),Clay Minerals (%),Observation
F2829V,5206.000000,BR 3-BRSA-861-SPS,67.390000,34.137000,2.725000,78.000000,9.000000,13.000000,,,,,,,,,,,,,,Perforation data
F2830H,5206.050000,BR 3-BRSA-861-SPS,59.534000,36.616000,2.714000,59.000000,28.000000,13.000000,,,,,,,,,,,,,,Perforation data
F2846H,5210.050000,BR 3-BRSA-861-SPS,69.373000,35.727000,2.746000,69.000000,6.000000,25.000000,,,,,,,,,,,,,,Perforation data
F2852H,5211.400000,BR 3-BRSA-861-SPS,62.011000,41.654000,2.764000,32.000000,25.000000,43.000000,,,,,,,,,,,,,TR,Perforation data
F2853H,5211.800000,BR 3-BRSA-861-SPS,69.280000,45.920000,2.800000,2.000000,34.000000,56.000000,,,,,,,,,,,,C,,Perforation data
F2854H,5212.050000,BR 3-BRSA-861-SPS,69.373000,35.727000,2.746000,69.000000,6.000000,25.000000,,,,,,,,,,,,,,Perforation data
F2855V,5212.150000,BR 3-BRSA-861-SPS,67.024000,36.219000,2.742000,65.000000,11.000000,24.000000,,,,,,,,,,,,,,Perforation data
F2857H,5212.700000,BR 3-BRSA-861-SPS,65.891000,37.310000,2.746000,58.000000,14.000000,28.000000,,,,,,,,,,,,,,Perforation data
F2858V,5212.750000,BR 3-BRSA-861-SPS,68.921000,34.243000,2.732000,78.000000,6.000000,16.000000,,,,TR,,,,,,,,,,Perforation data
F2859H,5212.900000,BR 3-BRSA-861-SPS,63.816000,36.472000,2.731000,62.000000,18.000000,20.000000,,,,,,,,,,,,,,Perforation data
F2868H,5215.200000,BR 3-BRSA-861-SPS,67.864000,37.460000,2.755000,58.000000,10.000000,32.000000,,,,,,,,,,,,,,Perforation data
F2870H,5215.550000,BR 3-BRSA-861-SPS,69.222000,35.227000,2.742000,72.000000,6.000000,22.000000,,,,,,,,,,,,,,Perforation data
F2880H,5218.250000,BR 3-BRSA-861-SPS,66.867000,37.385000,2.751000,58.000000,12.000000,30.000000,,,,,,,,,,,,,,Perforation data
F2889H,5220.200000,BR 3-BRSA-861-SPS,65.076000,37.760000,2.747000,55.000000,16.000000,29.000000,,,,,,,,,,,,,,Perforation data
F2900V,5220.600000,BR 3-BRSA-861-SPS,68.045000,39.939000,2.775000,44.000000,11.000000,45.000000,,,,,,,,,,,,,,Perforation data
F2901H,5223.500000,BR 3-BRSA-861-SPS,67.192000,40.419000,2.776000,41.000000,13.000000,46.000000,,,,,,,,,,,,,,Perforation data
F2908H,5225.250000,BR 3-BRSA-861-SPS,65.162000,43.683000,2.791000,23.000000,18.000000,58.000000,,1.000000,,,,,,,,,,,,Perforation data
F2909V,5225.350000,BR 3-BRSA-861-SPS,68.441000,44.375000,2.808000,21.000000,10.000000,66.500000,,2.500000,,,,,,,,,,,,Perforation data
F2910H,5225.700000,BR 3-BRSA-861-SPS,69.325000,37.072000,2.758000,60.000000,5.000000,33.000000,,2.000000,,,,,,,,,,,,Perforation data
F2911V,5225.750000,BR 3-BRSA-861-SPS,67.070000,38.017000,2.757000,54.000000,11.000000,34.000000,,1.000000,,,,,,,,,,,,Perforation data
F2913H,5226.700000,BR 3-BRSA-861-SPS,71.496193,36.348916,2.752244,48.000000,13.000000,36.000000,,2.000000,,1,,TR,,,,,,,,Perforation data
F2914H,5227.000000,BR 3-BRSA-861-SPS,73.100000,37.700000,2.760000,36.000000,13.000000,46.000000,,3.000000,,2,,TR,,,,,,,,Perforation data
F2916H,5227.350000,BR 3-BRSA-861-SPS,70.310000,37.690000,2.760000,41.000000,18.000000,40.000000,,,,1,,,,,,,,,,Perforation data
F2919V,5228.200000,BR 3-BRSA-861-SPS,68.702000,34.048000,2.729000,78.000000,6.000000,15.000000,,1.000000,,,,,,,,,,,,Perforation data
F2928V,5230.500000,BR 3-BRSA-861-SPS,69.621000,34.850000,2.740000,74.500000,5.000000,20.500000,,,,,,,,,,,,,,Perforation data
F2930H,5231.300000,BR 3-BRSA-861-SPS,65.672000,39.674000,2.768000,44.000000,16.000000,39.000000,,,,,,,,,,,1.000000,,,Perforation data
F2934V,5232.050000,BR 3-BRSA-861-SPS,83.550000,44.690000,2.840000,1.000000,12.000000,86.000000,,,,,,,,,,,,1,,Perforation data
F2935H,5232.250000,BR 3-BRSA-861-SPS,72.760000,43.770000,2.800000,12.000000,25.000000,57.000000,,,,,,,,,,,,6,,Perforation data
F2936H,5232.550000,BR 3-BRSA-861-SPS,70.960000,41.970000,2.790000,19.000000,25.000000,53.000000,,,,,,,,,,,,3,,Perforation data
