sample_id,depth_m,well,porosity_pct,bulk_density_dry_gcc,grain_density_gcc,observation,porosity_pu
F2829V,5206.000000,BR 3-BRSA-861-SPS,6.723000,2.499436,2.680000,Ultrapore 300 - Gas Porosity,0.067230
F2830H,5206.050000,BR 3-BRSA-861-SPS,3.782000,2.570735,2.672000,Ultrapore 300 - Gas Porosity,0.037820
F2846H,5210.050000,BR 3-BRSA-861-SPS,9.320000,2.377759,2.622000,Ultrapore 300 - Gas Porosity,0.093200
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.328000,2.666331,2.702000,Ultrapore 300 - Gas Porosity,0.013280
F2853H,5211.800000,BR 3-BRSA-861-SPS,2.761000,2.626752,2.701000,Ultrapore 300 - Gas Porosity,0.027610
F2854H,5212.050000,BR 3-BRSA-861-SPS,8.028000,2.492503,2.710000,Ultrapore 300 - Gas Porosity,0.080280
F2855V,5212.150000,BR 3-BRSA-861-SPS,9.930000,2.442664,2.712000,Ultrapore 300 - Gas Porosity,0.099300
F2857H,5212.700000,BR 3-BRSA-861-SPS,5.584000,2.573061,2.725000,Ultrapore 300 - Gas Porosity,0.055840
F2858V,5212.750000,BR 3-BRSA-861-SPS,7.280000,2.515614,2.713000,Ultrapore 300 - Gas Porosity,0.072800
F2859H,5212.900000,BR 3-BRSA-861-SPS,6.370000,2.530028,2.702000,Ultrapore 300 - Gas Porosity,0.063700
F2868H,5215.200000,BR 3-BRSA-861-SPS,8.860000,2.397906,2.631000,Ultrapore 300 - Gas Porosity,0.088600
F2870H,5215.550000,BR 3-BRSA-861-SPS,4.461000,2.555322,2.675000,Ultrapore 300 - Gas Porosity,0.044610
F2880H,5218.250000,BR 3-BRSA-861-SPS,13.716000,2.351529,2.725000,Ultrapore 300 - Gas Porosity,0.137160
F2889H,5220.200000,BR 3-BRSA-861-SPS,6.411000,2.543729,2.718000,Ultrapore 300 - Gas Porosity,0.064110
F2900V,5220.600000,BR 3-BRSA-861-SPS,6.856000,2.563999,2.753000,Ultrapore 300 - Gas Porosity,0.068560
F2901H,5223.500000,BR 3-BRSA-861-SPS,6.660000,2.564159,2.747000,Ultrapore 300 - Gas Porosity,0.066600
F2908H,5225.250000,BR 3-BRSA-861-SPS,12.889000,2.409660,2.766000,Ultrapore 300 - Gas Porosity,0.128890
F2909V,5225.350000,BR 3-BRSA-861-SPS,11.653000,2.408628,2.726000,Ultrapore 300 - Gas Porosity,0.116530
F2910H,5225.700000,BR 3-BRSA-861-SPS,14.631000,2.355796,2.759000,Ultrapore 300 - Gas Porosity,0.146310
F2911V,5225.750000,BR 3-BRSA-861-SPS,23.733000,2.081071,2.728800,Ultrapore 300 - Gas Porosity,0.237330
F2913H,5226.700000,BR 3-BRSA-861-SPS,6.454000,2.553848,2.730000,Ultrapore 300 - Gas Porosity,0.064540
F2914H,5227.000000,BR 3-BRSA-861-SPS,10.938000,2.430166,2.729000,Ultrapore 300 - Gas Porosity,0.109380
F2916H,5227.350000,BR 3-BRSA-861-SPS,7.982000,2.506480,2.724000,Ultrapore 300 - Gas Porosity,0.079820
F2919V,5228.200000,BR 3-BRSA-861-SPS,11.661000,2.394549,2.711000,Ultrapore 300 - Gas Porosity,0.116610
F2928V,5230.500000,BR 3-BRSA-861-SPS,19.657000,2.180043,2.713000,Ultrapore 300 - Gas Porosity,0.196570
F2930H,5231.300000,BR 3-BRSA-861-SPS,12.307000,2.403627,2.741000,Ultrapore 300 - Gas Porosity,0.123070
F2934V,5232.050000,BR 3-BRSA-861-SPS,14.671000,2.308894,2.706000,Ultrapore 300 - Gas Porosity,0.146710
F2935H,5232.250000,BR 3-BRSA-861-SPS,12.863000,2.372508,2.723000,Ultrapore 300 - Gas Porosity,0.128630
F2936H,5232.550000,BR 3-BRSA-861-SPS,3.846000,2.619116,2.724000,Ultrapore 300 - Gas Porosity,0.038460
