sample_id,Thin Section,depth_m,Geological Age,Location,well,Classification,Main Pore Types,Sample Type,Source Table,Dry Weight (g),Caliper Bulk Volume (cm³),Observation
F2829V,,5206.000000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,172.696000,69.094000,
F2830H,,5206.050000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,182.260000,70.898000,
F2846H,,5210.050000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,171.805000,72.255000,
F2852H,,5211.400000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,206.630000,77.496000,
F2853H,,5211.800000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,142.651000,54.307000,
F2854H,,5212.050000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,191.347000,76.769000,
F2855V,,5212.150000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,189.453000,77.560000,
F2857H,,5212.700000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,200.884000,78.072000,
F2858V,,5212.750000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,139.365000,55.400000,
F2859H,,5212.900000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,195.012000,77.079000,
F2868H,,5215.200000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,183.718000,76.616000,
F2870H,,5215.550000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,181.088000,70.867000,
F2880H,,5218.250000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,167.530000,71.243000,
F2889H,,5220.200000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,195.160000,76.722000,
F2900V,,5220.600000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,179.703000,70.087000,
F2901H,,5223.500000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,124.213000,48.442000,
F2908H,,5225.250000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,124.671000,51.738000,
F2909V,,5225.350000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,110.096000,45.709000,
F2910H,,5225.700000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,175.700000,74.582000,
F2911V,,5225.750000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,148.345000,71.283000,
F2913H,,5226.700000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,194.593000,76.196000,
F2914H,,5227.000000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,183.740000,75.608000,
F2916H,,5227.350000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,177.925000,70.986000,
F2919V,,5228.200000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,166.062000,69.350000,
F2928V,,5230.500000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,152.579000,69.989000,
F2930H,,5231.300000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,179.212000,74.559000,
F2934V,,5232.050000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,164.735000,71.348000,
F2935H,,5232.250000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,155.888000,65.706000,
F2936H,,5232.550000,Aptian,"Santos Basin, Barra Velha Fm.",BR 3-BRSA-861-SPS,,,Well plug,LENEP - UENF,173.540000,66.259000,
