sample_id,depth_m,well,p_freq_mhz,s_freq_mhz,test_type,load_pressure_mpa,vp_z_km_s,vs_z_km_s,vp_x_km_s,vs_x_km_s,vp_y_km_s,vs_y_km_s,bulk_density_gcc,e_gpa,poisson,g_gpa,k_gpa,cb_1_gpa,load_pressure_mpa_sat_section,vp_z_km_s_sat,vs_z_km_s_sat,vp_x_km_s_sat,vs_x_km_s_sat,vp_y_km_s_sat,vs_y_km_s_sat,bulk_density_gcc_sat,e_gpa_sat,poisson_sat,g_gpa_sat,k_gpa_sat,cb_1_gpa_sat,notes,vp_mean_axes_km_s,vs_mean_axes_km_s,vpvs_z
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,5.500000,3.910000,2.358000,3.993000,2.380000,4.369000,2.603000,2.456315,33.166356,0.214217,13.657511,19.342366,0.051700,,,,,,,,,,,,,,,4.090667,2.447000,1.658185
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,8.300000,4.284000,2.573000,,,,,,0.000000,0.217860,0.000000,0.000000,,,,,,,,,,,,,,,,4.284000,2.573000,1.664983
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,11.000000,4.465000,2.705000,4.410000,2.598000,4.636000,2.769000,,0.000000,0.210084,0.000000,0.000000,,,,,,,,,,,,,,,,4.503667,2.690667,1.650647
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,13.800000,4.597000,2.789000,,,,,,0.000000,0.208754,0.000000,0.000000,,,,,,,,,,,,,,,,4.597000,2.789000,1.648261
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,16.500000,4.807000,2.857000,4.608000,2.731000,4.957000,2.977000,,0.000000,0.226913,0.000000,0.000000,,,,,,,,,,,,,,,,4.790667,2.855000,1.682534
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,19.300000,4.891000,2.918000,,,,,,0.000000,0.223676,0.000000,0.000000,,,,,,,,,,,,,,,,4.891000,2.918000,1.676148
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,4.955000,2.972000,4.758000,2.820000,5.090000,3.043000,,0.000000,0.219045,0.000000,0.000000,,,,,,,,,,,,,,,,4.934333,2.945000,1.667227
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,5.500000,4.817000,2.772000,5.013000,2.857000,4.435000,2.587000,,0.000000,0.252441,0.000000,0.000000,,,,,,,,,,,,,,,,4.755000,2.738667,1.737734
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,8.300000,5.023000,2.862000,,,,,,0.000000,0.259645,0.000000,0.000000,,,,,,,,,,,,,,,,5.023000,2.862000,1.755066
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,11.000000,5.300000,3.045000,5.367000,3.043000,4.810000,2.759000,,0.000000,0.253639,0.000000,0.000000,,,,,,,,,,,,,,,,5.159000,2.949000,1.740558
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,13.800000,5.410000,3.113000,,,,,,0.000000,0.252500,0.000000,0.000000,,,,,,,,,,,,,,,,5.410000,3.113000,1.737873
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,16.500000,5.580000,3.246000,5.756000,3.270000,5.053000,2.843000,,0.000000,0.244258,0.000000,0.000000,,,,,,,,,,,,,,,,5.463000,3.119667,1.719039
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,19.300000,5.625000,3.291000,,,,,,0.000000,0.239772,0.000000,0.000000,,,,,,,,,,,,,,,,5.625000,3.291000,1.709207
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,5.787000,3.344000,5.992000,3.386000,5.292000,2.930000,,0.000000,0.249354,0.000000,0.000000,,,,,,,,,,,,,,,,5.690333,3.220000,1.730562
F2846H,5210.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,5.500000,2.851000,1.874000,3.014000,1.768000,3.195000,1.898000,,0.000000,0.119624,0.000000,0.000000,,,,,,,,,,,,,,,,3.020000,1.846667,1.521345
F2846H,5210.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,8.300000,3.323000,1.952000,,,,,,0.000000,0.236567,0.000000,0.000000,,,,,,,,,,,,,,,,3.323000,1.952000,1.702357
F2846H,5210.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,11.000000,3.618000,2.131000,3.438000,2.043000,3.594000,2.086000,,0.000000,0.234397,0.000000,0.000000,,,,,,,,,,,,,,,,3.550000,2.086667,1.697794
F2846H,5210.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,13.800000,3.817000,2.216000,,,,,,0.000000,0.245795,0.000000,0.000000,,,,,,,,,,,,,,,,3.817000,2.216000,1.722473
F2846H,5210.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,16.500000,3.946000,2.273000,3.830000,2.228000,3.834000,2.215000,,0.000000,0.251714,0.000000,0.000000,,,,,,,,,,,,,,,,3.870000,2.238667,1.736032
F2846H,5210.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,19.300000,4.011000,2.335000,,,,,,0.000000,0.243688,0.000000,0.000000,,,,,,,,,,,,,,,,4.011000,2.335000,1.717773
F2846H,5210.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,4.080000,2.379000,3.909000,2.318000,4.004000,2.322000,,0.000000,0.242434,0.000000,0.000000,,,,,,,,,,,,,,,,3.997667,2.339667,1.715006
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,5.500000,5.653000,3.408000,5.907000,3.389000,5.737000,3.497000,,0.000000,0.214519,0.000000,0.000000,,,,,,,,,,,,,,,,5.765667,3.431333,1.658744
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,8.300000,5.695000,3.413000,,,,,,0.000000,0.219777,0.000000,0.000000,,,,,,,,,,,,,,,,5.695000,3.413000,1.668620
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,11.000000,5.719000,3.420000,5.934000,3.414000,5.852000,3.516000,,0.000000,0.221654,0.000000,0.000000,,,,,,,,,,,,,,,,5.835000,3.450000,1.672222
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,13.800000,5.728000,3.423000,,,,,,0.000000,0.222256,0.000000,0.000000,,,,,,,,,,,,,,,,5.728000,3.423000,1.673386
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,16.500000,5.762000,3.432000,6.010000,3.440000,5.972000,3.537000,,0.000000,0.225081,0.000000,0.000000,,,,,,,,,,,,,,,,5.914667,3.469667,1.678904
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,19.300000,5.777000,3.443000,,,,,,0.000000,0.224569,0.000000,0.000000,,,,,,,,,,,,,,,,5.777000,3.443000,1.677897
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,5.811000,3.452000,6.029000,3.470000,5.981000,3.555000,,0.000000,0.227333,0.000000,0.000000,,,,,,,,,,,,,,,,5.940333,3.492333,1.683372
F2853H,5211.800000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,5.500000,5.795000,3.271000,5.830000,3.185000,5.803000,3.232000,,0.000000,0.266210,0.000000,0.000000,,,,,,,,,,,,,,,,5.809333,3.229333,1.771629
F2853H,5211.800000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,8.300000,5.859000,3.351000,,,,,,0.000000,0.256930,0.000000,0.000000,,,,,,,,,,,,,,,,5.859000,3.351000,1.748433
F2853H,5211.800000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,11.000000,5.931000,3.371000,5.830000,3.221000,5.857000,3.266000,,0.000000,0.261400,0.000000,0.000000,,,,,,,,,,,,,,,,5.872667,3.286000,1.759419
F2853H,5211.800000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,13.800000,5.998000,3.403000,,,,,,0.000000,0.262654,0.000000,0.000000,,,,,,,,,,,,,,,,5.998000,3.403000,1.762562
F2853H,5211.800000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,16.500000,6.028000,3.422000,5.866000,3.280000,5.893000,3.315000,,0.000000,0.262248,0.000000,0.000000,,,,,,,,,,,,,,,,5.929000,3.339000,1.761543
F2853H,5211.800000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,19.300000,6.074000,3.437000,,,,,,0.000000,0.264499,0.000000,0.000000,,,,,,,,,,,,,,,,6.074000,3.437000,1.767239
