sample_id,depth_m,well,p_freq_mhz,s_freq_mhz,test_type,load_pressure_mpa,vp_z_km_s,vs_z_km_s,vp_x_km_s,vs_x_km_s,vp_y_km_s,vs_y_km_s,bulk_density_gcc,e_gpa,poisson,g_gpa,k_gpa,cb_1_gpa,load_pressure_mpa_sat_section,vp_z_km_s_sat,vs_z_km_s_sat,vp_x_km_s_sat,vs_x_km_s_sat,vp_y_km_s_sat,vs_y_km_s_sat,bulk_density_gcc_sat,e_gpa_sat,poisson_sat,g_gpa_sat,k_gpa_sat,cb_1_gpa_sat,notes,vp_mean_axes_km_s,vs_mean_axes_km_s,vpvs_z,pressure_target_mpa,pressure_used_mpa,ct_sample_id,lab_sample_id,sample_alias,status
F2829V,5206.000000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,4.955000,2.972000,4.758000,2.820000,5.090000,3.043000,,0.000000,0.219045,0.000000,0.000000,,,,,,,,,,,,,,,,4.934333,2.945000,1.667227,22.100000,22.100000,F2829V,F2829V,False,ok
F2830H,5206.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,5.787000,3.344000,5.992000,3.386000,5.292000,2.930000,,0.000000,0.249354,0.000000,0.000000,,,,,,,,,,,,,,,,5.690333,3.220000,1.730562,22.100000,22.100000,F2830H,F2830H,False,ok
F2852H,5211.400000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,5.811000,3.452000,6.029000,3.470000,5.981000,3.555000,,0.000000,0.227333,0.000000,0.000000,,,,,,,,,,,,,,,,5.940333,3.492333,1.683372,22.100000,22.100000,F2852H,F2852H,False,ok
F2854H,5212.050000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,5.033000,2.978000,5.031000,2.846000,5.064000,2.949000,,0.000000,0.230648,0.000000,0.000000,,,,,,,,,,,,,,,,5.042667,2.924333,1.690060,22.100000,22.100000,F2854H,F2854H,False,ok
F2859H,5212.900000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,5.127000,3.016000,5.148000,3.026000,5.099000,3.113000,,0.000000,0.235418,0.000000,0.000000,,,,,,,,,,,,,,,,5.124667,3.051667,1.699934,22.100000,22.100000,F2859H,F2859H,False,ok
F2870H,5215.550000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,5.941000,3.563000,5.584000,3.300000,5.447000,3.172000,,0.000000,0.219144,0.000000,0.000000,,,,,,,,,,,,,,,,5.657333,3.345000,1.667415,22.100000,22.100000,F2870H,F2870H,False,ok
F2880H,5218.250000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,4.610000,2.814000,4.358000,2.604000,4.333000,2.639000,,0.000000,0.203056,0.000000,0.000000,,,,,,,,,,,,,,,,4.433667,2.685667,1.638237,22.100000,22.100000,F2880H,F2880H,False,ok
F2910H,5225.700000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,4.963000,2.957000,4.560000,2.682000,4.656000,2.801000,,0.000000,0.224820,0.000000,0.000000,,,,,,,,,,,,,,,,4.726333,2.813333,1.678390,22.100000,22.100000,F2910H,F2910H,False,ok
F2911H,5225.750000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,3.818000,2.241000,4.025000,2.335000,4.047000,2.422000,,0.000000,0.237203,0.000000,0.000000,,,,,,,,,,,,,,,,3.963333,2.332667,1.703704,22.100000,22.100000,F2911V,F2911H,True,ok
F2935H,5232.250000,BR 3-BRSA-861-SPS,1.200000,0.900000,Transmission,22.100000,4.483000,2.612000,4.685000,2.745000,4.691000,2.791000,,0.000000,0.243025,0.000000,0.000000,,,,,,,,,,,,,,,,4.619667,2.716000,1.716309,22.100000,22.100000,F2935H,F2935H,False,ok
