seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m,val_score,ae_recon_train_rmse
7,0.3,ml_only,0,0.47913727840430803,0.37994872712363936,0.6894095057567137,,,none,38,,
7,0.3,mlp_concat_ub,0,0.3054801763177456,0.2234664932596327,0.4395419577350864,,,direct_ub,38,,
7,0.3,pca_regression_ub,0,0.3059703048744749,0.25379126156393517,0.44024718210664304,,48.0,pca_mlp,38,,
7,0.3,ml_only,1,0.3659714288317463,0.2887386032503486,0.5348507303723019,,,none,38,,
7,0.3,mlp_concat_ub,1,0.27961221632797695,0.2170805921552014,0.4086406378810293,,,direct_ub,38,,
7,0.3,pca_regression_ub,1,0.2914857569076778,0.22683276962367993,0.42599328169650547,,48.0,pca_mlp,38,,
7,0.3,ml_only,2,0.5380048065404691,0.43682790264737664,0.7375021289547002,,,none,38,,
7,0.3,mlp_concat_ub,2,0.2855602706215151,0.2199855364263472,0.39144874723792294,,,direct_ub,38,,
7,0.3,pca_regression_ub,2,0.2664877646807723,0.20440141090487662,0.36530397387381935,,48.0,pca_mlp,38,,
7,0.3,ml_only,3,0.471259541822074,0.39368654421641974,0.6417160313028085,,,none,38,,
7,0.3,mlp_concat_ub,3,0.25699688411804206,0.1828208112217019,0.349953700450873,,,direct_ub,38,,
7,0.3,pca_regression_ub,3,0.27529872005643097,0.2105438303607885,0.37487538474935717,,48.0,pca_mlp,38,,
7,0.3,ml_only,4,0.45722552659088617,0.3497300864606077,0.6570154042750957,,,none,38,,
7,0.3,mlp_concat_ub,4,0.2886435070130949,0.22524469314617446,0.4147695599272127,,,direct_ub,38,,
7,0.3,pca_regression_ub,4,0.2610451434800113,0.1988404326647482,0.37511177854913036,,48.0,pca_mlp,38,,
7,0.3,ml_only,5,0.4789781000921938,0.3805200611005346,0.6619976506807811,,,none,38,,
7,0.3,mlp_concat_ub,5,0.3278468951776981,0.23407998131742602,0.45311857546065193,,,direct_ub,38,,
7,0.3,pca_regression_ub,5,0.2737571786566829,0.18143709990202245,0.3783609503082509,,48.0,pca_mlp,38,,
7,0.3,ml_only,6,0.5237646862782891,0.42942452860874875,0.6964344649908676,,,none,38,,
7,0.3,mlp_concat_ub,6,0.2691771026475598,0.19272265350603263,0.35791685919531574,,,direct_ub,38,,
7,0.3,pca_regression_ub,6,0.2931046888097803,0.22798984877568537,0.3897326652318359,,48.0,pca_mlp,38,,
7,0.3,ml_only,7,0.3317189524758182,0.25199230172513554,0.5189123520925014,,,none,38,,
7,0.3,mlp_concat_ub,7,0.283839187526228,0.2194042516118769,0.44401340145313717,,,direct_ub,38,,
7,0.3,pca_regression_ub,7,0.2438068814254955,0.17274731522023862,0.38139033465705935,,48.0,pca_mlp,38,,
7,0.3,ml_only,8,0.507859961460438,0.4231980291927424,0.615149297912155,,,none,38,,
7,0.3,mlp_concat_ub,8,0.23699401951946905,0.18828564122602506,0.28706083523014175,,,direct_ub,38,,
7,0.3,pca_regression_ub,8,0.197107917271066,0.13791651756151768,0.23874848604632276,,48.0,pca_mlp,38,,
7,0.3,ml_only,9,0.38529741634203823,0.3109857389847124,0.6517060913123206,,,none,38,,
7,0.3,mlp_concat_ub,9,0.2370412872689172,0.18383455683191027,0.40094027173161745,,,direct_ub,38,,
7,0.3,pca_regression_ub,9,0.30445518926000725,0.23965173809523885,0.5149666023097695,,48.0,pca_mlp,38,,
7,0.3,ml_only,10,0.3556416198839044,0.28865863186319807,0.4697805362117613,,,none,38,,
7,0.3,mlp_concat_ub,10,0.23522698785244378,0.18202196112568975,0.31072027093137117,,,direct_ub,38,,
7,0.3,pca_regression_ub,10,0.22504475554452977,0.16810378153726147,0.29727017317564153,,48.0,pca_mlp,38,,
7,0.3,ml_only,11,0.42638432657603254,0.3318612040978857,0.6599614006363698,,,none,38,,
7,0.3,mlp_concat_ub,11,0.31656360549137114,0.22660895244714135,0.4899799252666247,,,direct_ub,38,,
7,0.3,pca_regression_ub,11,0.3199455628227567,0.24140177173002458,0.49521454848844154,,48.0,pca_mlp,38,,
7,0.3,ml_only,12,0.587969886192795,0.4561109317371613,0.8086066517946139,,,none,38,,
7,0.3,mlp_concat_ub,12,0.30685825089535995,0.2218317300557206,0.4220073657831648,,,direct_ub,38,,
7,0.3,pca_regression_ub,12,0.31175143594340055,0.23157857280641075,0.4287367273903172,,48.0,pca_mlp,38,,
7,0.3,ml_only,13,0.32810787368910477,0.2586649184346997,0.4775106428189737,,,none,38,,
7,0.3,mlp_concat_ub,13,0.2564782361653924,0.18904084766322732,0.3732647011588002,,,direct_ub,38,,
7,0.3,pca_regression_ub,13,0.27132329885336987,0.20509000886971568,0.3948694110583892,,48.0,pca_mlp,38,,
7,0.3,ml_only,14,0.4523398042552007,0.36433770754925343,0.6286768287022938,,,none,38,,
7,0.3,mlp_concat_ub,14,0.2519774642954965,0.18985754761441037,0.3502066182713499,,,direct_ub,38,,
7,0.3,pca_regression_ub,14,0.26815871361893384,0.19752469728299304,0.37269585404809014,,48.0,pca_mlp,38,,
7,0.3,ml_only,15,0.4564267225504067,0.3638131985351024,0.6803697898584652,,,none,38,,
7,0.3,mlp_concat_ub,15,0.2459107429423271,0.2012869925993018,0.36656539206275934,,,direct_ub,38,,
7,0.3,pca_regression_ub,15,0.26722086508091925,0.21944952381394078,0.398331199376311,,48.0,pca_mlp,38,,
7,0.3,ml_only,16,0.3980563803880544,0.3005883353775594,0.5538501429479052,,,none,38,,
7,0.3,mlp_concat_ub,16,0.23575998367738263,0.18832294193420504,0.3280331809625045,,,direct_ub,38,,
7,0.3,pca_regression_ub,16,0.19826466785270438,0.15921259555035305,0.27586271704699106,,48.0,pca_mlp,38,,
7,0.3,ml_only,17,0.39598976698469496,0.3253356576411065,0.6476898396739479,,,none,38,,
7,0.3,mlp_concat_ub,17,0.20226410689305677,0.15540663900375495,0.3308277584112963,,,direct_ub,38,,
7,0.3,pca_regression_ub,17,0.2267618385328923,0.1788430948934589,0.3708968036267848,,48.0,pca_mlp,38,,
7,0.3,ml_only,18,0.5689524419588834,0.4581700008365599,0.6545947418990343,,,none,38,,
7,0.3,mlp_concat_ub,18,0.3057064288108115,0.2293467794546455,0.35172328318919555,,,direct_ub,38,,
7,0.3,pca_regression_ub,18,0.31228510643253443,0.23434702689895934,0.3592922247425563,,48.0,pca_mlp,38,,
7,0.3,ml_only,19,0.38456343241808105,0.3052014377166369,0.555243633562131,,,none,38,,
7,0.3,mlp_concat_ub,19,0.24704478325529516,0.18733562895545908,0.35669029227436716,,,direct_ub,38,,
7,0.3,pca_regression_ub,19,0.26876184039230494,0.21039741336094342,0.3880459977277148,,48.0,pca_mlp,38,,
7,0.3,ml_only,20,0.6714798559606375,0.5668097344638252,0.8394365273346269,,,none,38,,
7,0.3,mlp_concat_ub,20,0.34301231768252705,0.26075633660846353,0.4288096898699837,,,direct_ub,38,,
7,0.3,pca_regression_ub,20,0.313685345574367,0.24697059806345067,0.3921471877782509,,48.0,pca_mlp,38,,
7,0.3,ml_only,21,0.453409352528967,0.3514329991101371,0.7428889223484516,,,none,38,,
7,0.3,mlp_concat_ub,21,0.2469444670982528,0.18992321229017473,0.4046063629241381,,,direct_ub,38,,
7,0.3,pca_regression_ub,21,0.24171878620262022,0.18110625583489687,0.3960443418113394,,48.0,pca_mlp,38,,
7,0.3,ml_only,22,0.4587927018558927,0.3526799367215797,0.6951887150541445,,,none,38,,
7,0.3,mlp_concat_ub,22,0.3144234356149982,0.25239230231144216,0.4764322172168238,,,direct_ub,38,,
7,0.3,pca_regression_ub,22,0.29597369610344865,0.23044314728671048,0.448476125822531,,48.0,pca_mlp,38,,
7,0.3,ml_only,23,0.40768072772701486,0.339990523830657,0.6639342735780364,,,none,38,,
7,0.3,mlp_concat_ub,23,0.21930628369553423,0.1699707152851499,0.3571543814894069,,,direct_ub,38,,
7,0.3,pca_regression_ub,23,0.21484430238748667,0.1677119619502287,0.3498877580829136,,48.0,pca_mlp,38,,
7,0.3,ml_only,24,0.4276708776935034,0.344185319549819,0.6678766404147229,,,none,38,,
7,0.3,mlp_concat_ub,24,0.2944523211732622,0.2342513756427812,0.4598345065909609,,,direct_ub,38,,
7,0.3,pca_regression_ub,24,0.30886933958042384,0.24223237961669553,0.48234899219377286,,48.0,pca_mlp,38,,
7,0.3,ml_only,25,0.3646677377197245,0.2942373134895447,0.5029859645523305,,,none,38,,
7,0.3,mlp_concat_ub,25,0.274487831991637,0.206724633068127,0.37860088143663573,,,direct_ub,38,,
7,0.3,pca_regression_ub,25,0.2725263144123837,0.19801296713020827,0.3758953615632397,,48.0,pca_mlp,38,,
7,0.3,ml_only,26,0.3947877435463958,0.30077176043100506,0.6749749180501514,,,none,38,,
7,0.3,mlp_concat_ub,26,0.2567550020680404,0.19726187339689483,0.4389781327126619,,,direct_ub,38,,
7,0.3,pca_regression_ub,26,0.2512080983028506,0.19109561418940696,0.4294945026467729,,48.0,pca_mlp,38,,
7,0.3,ml_only,27,0.38189760842097353,0.2965428695029827,0.5424655960355149,,,none,38,,
7,0.3,mlp_concat_ub,27,0.24779921115177622,0.16374340520638594,0.35198583026056024,,,direct_ub,38,,
7,0.3,pca_regression_ub,27,0.24147847223728677,0.17029857171149132,0.3430075509337785,,48.0,pca_mlp,38,,
7,0.3,ml_only,28,0.4381974081946226,0.33693083390860995,0.5841120007819308,,,none,38,,
7,0.3,mlp_concat_ub,28,0.3225816529628433,0.2520482602303858,0.4299975563615876,,,direct_ub,38,,
7,0.3,pca_regression_ub,28,0.2936122903102588,0.2323248600459409,0.3913817360396587,,48.0,pca_mlp,38,,
7,0.3,ml_only,29,0.4013118758191937,0.3257913378010758,0.5553384150310678,,,none,38,,
7,0.3,mlp_concat_ub,29,0.29647775193335263,0.22867201169665838,0.41026815993061017,,,direct_ub,38,,
7,0.3,pca_regression_ub,29,0.2697148893689636,0.203926790282209,0.37323350789629506,,48.0,pca_mlp,38,,
7,0.3,ml_only,30,0.560408662479019,0.4606246357077942,0.702972706675828,,,none,38,,
7,0.3,mlp_concat_ub,30,0.26847650284313795,0.2011862443268237,0.3367750474227675,,,direct_ub,38,,
7,0.3,pca_regression_ub,30,0.26642526664669003,0.20648744977962863,0.33420199108443444,,48.0,pca_mlp,38,,
7,0.3,ml_only,31,0.37115481738608763,0.2952027348585518,0.5815364599723706,,,none,38,,
7,0.3,mlp_concat_ub,31,0.2807888285887795,0.21687532140615345,0.4399483281054897,,,direct_ub,38,,
7,0.3,pca_regression_ub,31,0.2728379825305608,0.21164240859070532,0.4274907048876505,,48.0,pca_mlp,38,,
7,0.3,ml_only,32,0.42487605846806836,0.3176720467378895,0.6322407754105956,,,none,38,,
7,0.3,mlp_concat_ub,32,0.28478594203786156,0.2123985483676958,0.4237783730842684,,,direct_ub,38,,
7,0.3,pca_regression_ub,32,0.2676517680781719,0.19723029334536776,0.3982817059636184,,48.0,pca_mlp,38,,
7,0.3,ml_only,33,0.4474433333319469,0.3361332343808056,0.7196443552123113,,,none,38,,
7,0.3,mlp_concat_ub,33,0.3408636263651186,0.2639810340642711,0.5482271526635387,,,direct_ub,38,,
7,0.3,pca_regression_ub,33,0.3376246055633995,0.264724209608738,0.5430176817367631,,48.0,pca_mlp,38,,
7,0.3,ml_only,34,0.36138627558469627,0.2784341630741353,0.5460196191450749,,,none,38,,
7,0.3,mlp_concat_ub,34,0.2560665676568198,0.19196465244515948,0.386891753212125,,,direct_ub,38,,
7,0.3,pca_regression_ub,34,0.28397251251587624,0.21004707390870872,0.4290549298827742,,48.0,pca_mlp,38,,
7,0.3,ml_only,35,0.41497850828583804,0.32846624465181967,0.5430295193716004,,,none,38,,
7,0.3,mlp_concat_ub,35,0.2888562410164629,0.21991936115897032,0.3779893719667363,,,direct_ub,38,,
7,0.3,pca_regression_ub,35,0.3003996710490827,0.23272234749546006,0.39309478860242275,,48.0,pca_mlp,38,,
7,0.3,ml_only,36,0.38215713482275643,0.2973705385626289,0.5551893079162842,,,none,38,,
7,0.3,mlp_concat_ub,36,0.23623436679385265,0.1830289418116202,0.3431959857746735,,,direct_ub,38,,
7,0.3,pca_regression_ub,36,0.2486287107159034,0.1926542179287519,0.36120221043236883,,48.0,pca_mlp,38,,
7,0.3,ml_only,37,0.6178747175782217,0.47069920948345756,0.7735454632386533,,,none,38,,
7,0.3,mlp_concat_ub,37,0.4319607544971203,0.34476418687965404,0.5407913164792852,,,direct_ub,38,,
