basis,residual,orth_err,k95_mean,k95_median,k95_p90,k99_mean,k99_median,k99_p90,gini_mean,alpha_energy_top1_mean,alpha_energy_top4_mean,alpha_energy_top8_mean,alpha_energy_top16_mean
dct,A,3.270960833703652e-15,3.8181818181818183,3.0,9.0,9.91948051948052,9.0,21.0,0.7739165656300964,0.7898034833028755,0.9442956309973504,0.9804445083709465,0.9940416722885005
dct,B,3.270960833703652e-15,29.644155844155843,30.0,35.0,43.43896103896104,44.0,47.60000000000002,0.4806463540560675,0.2887213218124853,0.5273102528453024,0.674390357354,0.8315558460628235
haar,A,6.661338147750939e-16,5.103896103896104,3.0,13.600000000000023,13.34025974025974,12.0,28.0,0.7408145534376153,0.7783450670805289,0.925191649945317,0.9660820678366858,0.9879603591451273
haar,B,6.661338147750939e-16,30.851948051948053,32.0,36.0,44.33766233766234,45.0,49.0,0.4673370619250735,0.28988337788730706,0.51632925503587,0.659333899005365,0.8162910074741728
db4,A,4.440892098500626e-16,8.506493506493506,8.0,11.0,13.654545454545454,12.0,24.0,0.7630151096205695,0.2368727034338597,0.6960317375394618,0.9657542250547144,0.9910655230819516
db4,B,4.440892098500626e-16,31.06233766233766,32.0,36.0,44.407792207792205,45.0,49.0,0.47109196238324724,0.19733468697645648,0.4782242439438244,0.6469599269796898,0.8131481189598444
sym4,A,1.560751528018045e-12,8.623376623376624,8.0,12.0,14.35064935064935,13.0,26.0,0.7581887564473002,0.23868140162282397,0.6894694985226654,0.961908574314488,0.990705408358868
sym4,B,1.560751528018045e-12,31.179220779220778,32.0,37.0,44.45194805194805,45.0,49.0,0.469917902151847,0.19370123474578724,0.4730593712831161,0.6426972420174593,0.8121199967914675
fd1,A,1.3322676295501878e-15,14.867532467532467,10.0,34.60000000000002,28.197402597402597,29.0,47.0,0.5688798777478882,0.7473803311154776,0.7976291111421498,0.8473141124044228,0.9123262379099286
fd1,B,1.3322676295501878e-15,33.36623376623377,34.0,38.0,45.994805194805195,47.0,50.0,0.43676157898004864,0.2650618035176735,0.4446096362639675,0.5927114135400126,0.7732301668860918
