basis,residual,orth_err,k95_mean,k95_median,k95_p90,k99_mean,k99_median,k99_p90,gini_mean,alpha_energy_top1_mean,alpha_energy_top4_mean,alpha_energy_top8_mean,alpha_energy_top16_mean
dct,A,3.270960833703652e-15,3.8181818181818183,3.0,9.0,9.91948051948052,9.0,21.0,0.7739165656300964,0.7898034833028755,0.9442956309973504,0.9804445083709465,0.9940416722885005
dct,B,3.270960833703652e-15,28.706493506493505,29.0,35.0,42.81038961038961,43.0,48.0,0.4933563837484408,0.26545041230534794,0.5492311504678962,0.7024281871824912,0.8461671308268546
haar,A,6.661338147750939e-16,5.103896103896104,3.0,13.600000000000023,13.34025974025974,12.0,28.0,0.7408145534376153,0.7783450670805289,0.925191649945317,0.9660820678366858,0.9879603591451273
haar,B,6.661338147750939e-16,29.67012987012987,30.0,34.0,43.516883116883115,44.0,48.0,0.48366018277409006,0.24711331616626575,0.5185859043243772,0.6756037304632209,0.833659044834003
db4,A,4.440892098500626e-16,8.506493506493506,8.0,11.0,13.654545454545454,12.0,24.0,0.7630151096205695,0.2368727034338597,0.6960317375394618,0.9657542250547144,0.9910655230819516
db4,B,4.440892098500626e-16,29.16103896103896,29.0,35.0,43.07272727272727,43.0,47.0,0.4915929037428575,0.23219491949787913,0.5242265511282798,0.6904441171720935,0.8422096018013787
sym4,A,1.560751528018045e-12,8.623376623376624,8.0,12.0,14.35064935064935,13.0,26.0,0.7581887564473002,0.23868140162282397,0.6894694985226654,0.961908574314488,0.990705408358868
sym4,B,1.560751528018045e-12,29.558441558441558,30.0,35.0,43.394805194805194,43.0,48.0,0.48683877375514795,0.22809669580309883,0.5169821734748953,0.6814076324640378,0.8366911832070129
fd1,A,1.3322676295501878e-15,14.867532467532467,10.0,34.60000000000002,28.197402597402597,29.0,47.0,0.5688798777478882,0.7473803311154776,0.7976291111421498,0.8473141124044228,0.9123262379099286
fd1,B,1.3322676295501878e-15,35.11168831168831,35.0,39.0,47.077922077922075,47.0,50.0,0.4192145893153354,0.1816842116233217,0.3725951965507714,0.5351677926178262,0.7383018626750003
