basis,residual,orth_err,k95_mean,k95_median,k95_p90,k99_mean,k99_median,k99_p90,gini_mean,alpha_energy_top1_mean,alpha_energy_top4_mean,alpha_energy_top8_mean,alpha_energy_top16_mean
dct,A,3.270960833703652e-15,3.8181818181818183,3.0,9.0,9.91948051948052,9.0,21.0,0.7739165656300964,0.7898034833028755,0.9442956309973504,0.9804445083709465,0.9940416722885005
dct,B,3.270960833703652e-15,31.12987012987013,31.0,36.0,44.44675324675325,44.0,49.0,0.4702159137408401,0.21580958828934693,0.4832726571311582,0.6453862552239799,0.8135395248076663
haar,A,6.661338147750939e-16,5.103896103896104,3.0,13.600000000000023,13.34025974025974,12.0,28.0,0.7408145534376153,0.7783450670805289,0.925191649945317,0.9660820678366858,0.9879603591451273
haar,B,6.661338147750939e-16,32.654545454545456,33.0,37.0,45.51428571428571,46.0,49.0,0.4527030100870981,0.20510658063795803,0.45238632018377534,0.614380799623215,0.7917690659185062
db4,A,4.440892098500626e-16,8.506493506493506,8.0,11.0,13.654545454545454,12.0,24.0,0.7630151096205695,0.2368727034338597,0.6960317375394618,0.9657542250547144,0.9910655230819516
db4,B,4.440892098500626e-16,31.864935064935064,32.0,36.0,44.88051948051948,45.0,48.0,0.46276045692204765,0.19876852810201695,0.46401977248403353,0.6313287301672277,0.80414630772544
sym4,A,1.560751528018045e-12,8.623376623376624,8.0,12.0,14.35064935064935,13.0,26.0,0.7581887564473002,0.23868140162282397,0.6894694985226654,0.961908574314488,0.990705408358868
sym4,B,1.560751528018045e-12,31.955844155844154,33.0,36.0,45.0987012987013,45.0,49.0,0.4616523511818089,0.20152747869907864,0.46963901440233374,0.6318872497106321,0.8048651844162058
fd1,A,1.3322676295501878e-15,14.867532467532467,10.0,34.60000000000002,28.197402597402597,29.0,47.0,0.5688798777478882,0.7473803311154776,0.7976291111421498,0.8473141124044228,0.9123262379099286
fd1,B,1.3322676295501878e-15,35.506493506493506,36.0,39.0,47.23376623376623,47.0,50.0,0.4169973661795831,0.14074493294769555,0.3431660275731467,0.5157787772376278,0.7307741354969529
