basis,residual,orth_err,k95_mean,k95_median,k95_p90,k99_mean,k99_median,k99_p90,gini_mean,alpha_energy_top1_mean,alpha_energy_top4_mean,alpha_energy_top8_mean,alpha_energy_top16_mean
dct,A,3.270960833703652e-15,3.8341968911917097,3.0,9.0,10.046632124352332,9.0,21.0,0.7708119422979403,0.7897848885600462,0.9439736098025315,0.9801494312029594,0.9938480073158527
dct,B,3.270960833703652e-15,19.424870466321245,19.0,33.80000000000001,36.37823834196891,36.0,46.0,0.5414198237950907,0.6104750841984314,0.7626717012644579,0.8341604634779181,0.9103625197723155
haar,A,6.661338147750939e-16,5.16580310880829,3.0,14.0,13.492227979274611,12.0,28.80000000000001,0.7395970508284181,0.778212663431171,0.9239593801478687,0.9653872659723964,0.9873506143540034
haar,B,6.661338147750939e-16,20.326424870466322,20.0,34.0,37.04145077720207,38.0,46.80000000000001,0.5353191895287807,0.6018021561777948,0.7536841457467528,0.827876574419961,0.9071525824262747
db4,A,4.440892098500626e-16,8.300518134715025,8.0,11.0,13.367875647668393,12.0,22.0,0.7648508244625088,0.23653979287220636,0.6956761311042392,0.9667243665286793,0.9917345666311793
db4,B,4.440892098500626e-16,21.854922279792746,21.0,35.0,37.740932642487046,38.0,46.0,0.5567799274327706,0.20939270507071497,0.5891968529128011,0.798883979525448,0.8973923812987681
sym4,A,1.560751528018045e-12,8.67357512953368,8.0,12.0,14.466321243523316,13.0,25.80000000000001,0.7551895246798472,0.2372819729833049,0.6904369705996101,0.961588963339178,0.9904982296463585
sym4,B,1.560751528018045e-12,22.191709844559586,22.0,35.0,38.0,38.0,47.0,0.5541585428430029,0.21410852085235577,0.5903138527588979,0.7983200343990892,0.8974824217556503
fd1,A,1.3322676295501878e-15,14.911917098445596,10.0,34.80000000000001,28.310880829015545,29.0,47.0,0.5690058463704623,0.7475830655683391,0.7979483254620813,0.8475384298086,0.912244757346345
fd1,B,1.3322676295501878e-15,24.787564766839377,26.0,37.0,40.476683937823836,42.0,49.0,0.4887166003641681,0.5747612526910902,0.6754404832389723,0.7603192663952737,0.8656928106522681
