step,n_train_approx,seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples,lambda,val_rmse_selected,ae_recon_train_rmse
8,104,7,0.05,ridge_prior_csgm,0.0161047198334935,0.012301048529749,0.2156838337995067,,97,0.001,0.016672313854912,0.0085397417019093
8,104,7,0.05,ae_regression_ub,0.0170224255547295,0.0140636398561355,0.2200320511035049,,97,,,
8,104,7,0.05,ml_only,0.0224518371144662,0.0181878540703305,0.3063759159149585,,97,,,
8,104,7,0.05,mlp_concat_ub,0.1508008083217096,0.1212597835964769,2.064602839097341,,97,,,
8,104,7,0.05,pca_regression_ub,0.1253148237420491,0.1012943779016079,1.719964512288925,,97,,,
8,104,7,0.1,ridge_prior_csgm,0.0147802260080618,0.0112386645476892,0.1977978257178599,,97,0.001,0.016589247421532,0.0085397417019093
8,104,7,0.1,ae_regression_ub,0.0161840860486425,0.0133505550126003,0.2065202202160448,,97,,,
8,104,7,0.1,ml_only,0.0224518371144662,0.0181878540703305,0.3063759159149585,,97,,,
8,104,7,0.1,mlp_concat_ub,0.1671872589830373,0.1351143743413209,2.3093858633173063,,97,,,
8,104,7,0.1,pca_regression_ub,0.1285209321033584,0.1021469091402883,1.78471083583278,,97,,,
8,104,7,0.2,ridge_prior_csgm,0.0119931053276361,0.0088572637281152,0.1527838978187814,,97,0.0003,0.0154429125446445,0.0085397417019093
8,104,7,0.2,ae_regression_ub,0.016611285286651,0.0138713689577793,0.2128515689533066,,97,,,
8,104,7,0.2,ml_only,0.0224518371144662,0.0181878540703305,0.3063759159149585,,97,,,
8,104,7,0.2,mlp_concat_ub,0.1697536698888668,0.1370991491850695,2.363527570662589,,97,,,
8,104,7,0.2,pca_regression_ub,0.1189328449836985,0.0960171701050003,1.658540452942015,,97,,,
8,104,23,0.05,ridge_prior_csgm,0.0171504277146788,0.0131716073989118,0.2244627588848226,,97,0.001,0.0172290926009257,0.0085290163273183
8,104,23,0.05,ae_regression_ub,0.0171240663676535,0.0141781931252542,0.2234340042243232,,97,,,
8,104,23,0.05,ml_only,0.0211335920118076,0.0170682737886258,0.2826496732898563,,97,,,
8,104,23,0.05,mlp_concat_ub,0.1345170144679038,0.109074612349034,1.8062304938420464,,97,,,
8,104,23,0.05,pca_regression_ub,0.1235097779360829,0.0987379599183394,1.734687365446561,,97,,,
8,104,23,0.1,ridge_prior_csgm,0.0154606852764151,0.0116593086041974,0.1988631426849177,,97,0.001,0.0159338595180097,0.0085290163273183
8,104,23,0.1,ae_regression_ub,0.0165308729327934,0.0136234436607721,0.2120994394595982,,97,,,
8,104,23,0.1,ml_only,0.0211335920118076,0.0170682737886258,0.2826496732898563,,97,,,
8,104,23,0.1,mlp_concat_ub,0.1187363997185956,0.0967366971812808,1.5448878557786283,,97,,,
8,104,23,0.1,pca_regression_ub,0.1109790150239525,0.0898619545619709,1.5630235358749702,,97,,,
8,104,23,0.2,ridge_prior_csgm,0.0113865242298318,0.0085923116832004,0.1470173091987054,,97,0.0003,0.0148180367722826,0.0085290163273183
8,104,23,0.2,ae_regression_ub,0.0165177184340678,0.0136286141854459,0.2112456774387539,,97,,,
8,104,23,0.2,ml_only,0.0211335920118076,0.0170682737886258,0.2826496732898563,,97,,,
8,104,23,0.2,mlp_concat_ub,0.1540081218482259,0.1238164549776019,2.0624705437926143,,97,,,
8,104,23,0.2,pca_regression_ub,0.1031012294167196,0.0837497639104222,1.4374862397518575,,97,,,
8,104,41,0.05,ridge_prior_csgm,0.0129760917596823,0.0100090943711435,0.1730305270604535,,97,0.0003,0.0151569513136435,0.0088486040194024
8,104,41,0.05,ae_regression_ub,0.0171319111445228,0.0139899686532543,0.2190080565398509,,97,,,
8,104,41,0.05,ml_only,0.0228582840765099,0.0184150975108568,0.3122426467239046,,97,,,
8,104,41,0.05,mlp_concat_ub,0.1558383240614738,0.1252489167889502,2.1086045939110134,,97,,,
8,104,41,0.05,pca_regression_ub,0.1259626616665947,0.1002984821301845,1.7998237470314495,,97,,,
8,104,41,0.1,ridge_prior_csgm,0.0127129293039355,0.0098786996708884,0.166713173649953,,97,0.001,0.014785139612372,0.0088486040194024
8,104,41,0.1,ae_regression_ub,0.0163227515064592,0.0133402381869664,0.208289143135251,,97,,,
8,104,41,0.1,ml_only,0.0228582840765099,0.0184150975108568,0.3122426467239046,,97,,,
8,104,41,0.1,mlp_concat_ub,0.1784986797088261,0.1443955175897544,2.474562040395989,,97,,,
8,104,41,0.1,pca_regression_ub,0.1257206521605134,0.1018450074330294,1.767182335743908,,97,,,
8,104,41,0.2,ridge_prior_csgm,0.0116291451796689,0.0088635364133642,0.1524159660439468,,97,0.001,0.0143162072019587,0.0088486040194024
8,104,41,0.2,ae_regression_ub,0.0158514891557677,0.0129941075719323,0.2026933489038176,,97,,,
8,104,41,0.2,ml_only,0.0228582840765099,0.0184150975108568,0.3122426467239046,,97,,,
8,104,41,0.2,mlp_concat_ub,0.1550063022587616,0.1252190239342528,2.071092456016709,,97,,,
8,104,41,0.2,pca_regression_ub,0.1143598330131612,0.0925405630712263,1.6309838673901045,,97,,,
16,52,7,0.05,ridge_prior_csgm,0.0155318199920586,0.0119100315513749,0.2056801868249955,,49,0.003,0.0154836913321523,0.0101478693122603
16,52,7,0.05,ae_regression_ub,0.0186932069672688,0.0157103123598974,0.2465886247627306,,49,,,
16,52,7,0.05,ml_only,0.0258239816198631,0.0208898103444434,0.3563044124500496,,49,,,
16,52,7,0.05,mlp_concat_ub,0.205912113498844,0.1656539106765786,2.8778810934086736,,49,,,
16,52,7,0.05,pca_regression_ub,0.1367256664181614,0.1094134107087341,1.8655155371504275,,49,,,
16,52,7,0.1,ridge_prior_csgm,0.0154749031457318,0.0119266200637612,0.2058210803254441,,49,0.01,0.0155395542648014,0.0101478693122603
16,52,7,0.1,ae_regression_ub,0.0173953206749209,0.01433673855386,0.2250713512508473,,49,,,
16,52,7,0.1,ml_only,0.0258239816198631,0.0208898103444434,0.3563044124500496,,49,,,
16,52,7,0.1,mlp_concat_ub,0.2103826181574808,0.1691962467792129,2.923072940706348,,49,,,
16,52,7,0.1,pca_regression_ub,0.158091249369682,0.1270693777089294,2.210162165980138,,49,,,
16,52,7,0.2,ridge_prior_csgm,0.0126619537882656,0.0098656795328591,0.163782281807321,,49,0.001,0.0143137491189956,0.0101478693122603
16,52,7,0.2,ae_regression_ub,0.0177615524754319,0.0147320043265408,0.2277319433306803,,49,,,
16,52,7,0.2,ml_only,0.0258239816198631,0.0208898103444434,0.3563044124500496,,49,,,
16,52,7,0.2,mlp_concat_ub,0.2303077159872188,0.1846253469159504,3.207128233456293,,49,,,
16,52,7,0.2,pca_regression_ub,0.1318256964723961,0.1077629475351099,1.8858950779269472,,49,,,
16,52,23,0.05,ridge_prior_csgm,0.0151508478670648,0.0115414634541728,0.1947475115905295,,49,0.001,0.0155594243192164,0.009687752709203
16,52,23,0.05,ae_regression_ub,0.0189928893700996,0.0158788080152675,0.2489594984291019,,49,,,
16,52,23,0.05,ml_only,0.0231997728692317,0.0189369375470105,0.3170377113759048,,49,,,
16,52,23,0.05,mlp_concat_ub,0.1824776626388966,0.1472185288643218,2.548076640499344,,49,,,
