method,lambda,split,rmse,mae,rel_l2
ridge_prior_decode_only,,test,0.015854810736969285,0.012209212964781333,0.2111385023996772
ridge_prior_csgm,0.0001,val,0.017719029917074452,0.013826410770359288,0.1296797310156096
ridge_prior_csgm,0.0003,val,0.016512290910511037,0.013075114844005684,0.12146529229137719
ridge_prior_csgm,0.001,val,0.015785931358553582,0.012562532011874338,0.11686229825239129
ridge_prior_csgm,0.003,val,0.015569249467696536,0.012407575444500024,0.11585608032679544
ridge_prior_csgm,0.01,val,0.015539554264801456,0.012364094711602954,0.11593244008509433
ridge_prior_csgm,0.03,val,0.015560199523585378,0.012360536804217464,0.11615595661844479
ridge_prior_csgm,0.1,val,0.015576720071512734,0.012363043745738869,0.11630038346916889
ridge_prior_csgm,0.01,test,0.01547490314573182,0.011926620063761242,0.20582108032544413
mlp_prior_decode_only,,test,0.023447955307961066,0.018647174510736397,0.30642967638713525
mlp_prior_csgm,0.0001,val,0.01935747830979115,0.01525787601230351,0.14434321044797951
mlp_prior_csgm,0.0003,val,0.019333773389274632,0.015403049845358688,0.1447973420892989
mlp_prior_csgm,0.001,val,0.019951173066644814,0.01574741845476457,0.1493876665100047
mlp_prior_csgm,0.003,val,0.021512453627968244,0.016857079558906075,0.15895805638902835
mlp_prior_csgm,0.01,val,0.0231704948272686,0.017972885303830993,0.16855976163823716
mlp_prior_csgm,0.03,val,0.023781386044859302,0.018381389312321424,0.1720971000397157
mlp_prior_csgm,0.1,val,0.024040093712201904,0.018557888948593292,0.17359051214448776
mlp_prior_csgm,0.0003,test,0.018367979069932507,0.01411240954068176,0.23606882121514822
