seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples,method_label
7,0.05,ae_regression_ub,0.018715001010246902,0.01569491980454269,0.24675293453434693,,49,"AE [u,b]"
7,0.05,measurement_only_csgm,0.039796811347039635,0.03177269180681443,0.6216732730166837,,49,Measurement-only CSGM
7,0.05,ml_only,0.025823981619863164,0.020889810344443482,0.35630441245004973,,49,ML only
7,0.05,mlp_concat_ub,0.20586946320540525,0.1653799856718479,2.8689548027861385,,49,"MLP [u,b]"
7,0.05,pca_regression_ub,0.13885235121520242,0.11121680905051706,1.8794110232470347,,49,"PCA [u,b]"
7,0.05,ridge_prior_csgm,0.014699450319638306,0.011814154323229726,0.20240491694031892,,49,CLP-CSGM Ridge
7,0.05,ridge_prior_only_decoder,0.015161562699408817,0.012209212964781333,0.21113850239923523,,49,Prior-only Ridge
7,0.1,ae_regression_ub,0.017360509096165405,0.014302314768899602,0.22463259958381554,,49,"AE [u,b]"
7,0.1,measurement_only_csgm,0.030367715875871365,0.023142218664336918,0.45177881269398573,,49,Measurement-only CSGM
7,0.1,ml_only,0.025823981619863164,0.020889810344443482,0.35630441245004973,,49,ML only
7,0.1,mlp_concat_ub,0.21144332231365714,0.17010944711925716,2.929307085706862,,49,"MLP [u,b]"
7,0.1,pca_regression_ub,0.15295900829679673,0.12342939286944395,2.132442330231166,,49,"PCA [u,b]"
7,0.1,ridge_prior_csgm,0.015030413181022531,0.012102068903065632,0.2092444790779936,,49,CLP-CSGM Ridge
7,0.1,ridge_prior_only_decoder,0.015161562699408817,0.012209212964781333,0.21113850239923523,,49,Prior-only Ridge
7,0.2,ae_regression_ub,0.01799308625226492,0.014907310700599672,0.23047202448694942,,49,"AE [u,b]"
7,0.2,measurement_only_csgm,0.022359132411687306,0.01719485313241969,0.30074617541676746,,49,Measurement-only CSGM
7,0.2,ml_only,0.025823981619863164,0.020889810344443482,0.35630441245004973,,49,ML only
7,0.2,mlp_concat_ub,0.22560664281970835,0.18155398845855322,3.1844554569126924,,49,"MLP [u,b]"
7,0.2,pca_regression_ub,0.14018198787117775,0.11298111339660065,1.9882171937575615,,49,"PCA [u,b]"
7,0.2,ridge_prior_csgm,0.013464664593180613,0.010856773293134893,0.18453124740343105,,49,CLP-CSGM Ridge
7,0.2,ridge_prior_only_decoder,0.015161562699408817,0.012209212964781333,0.21113850239923523,,49,Prior-only Ridge
23,0.05,ae_regression_ub,0.01892882461311622,0.01579682155033977,0.24849025117343734,,49,"AE [u,b]"
23,0.05,measurement_only_csgm,0.03614919895183138,0.028770086345447362,0.5703141484564208,,49,Measurement-only CSGM
23,0.05,ml_only,0.023199772869231743,0.018936937547010507,0.31703771137590486,,49,ML only
23,0.05,mlp_concat_ub,0.18100238109115285,0.14607936861939355,2.533031056837267,,49,"MLP [u,b]"
23,0.05,pca_regression_ub,0.15242002244753655,0.12295380942314907,2.1750054176547415,,49,"PCA [u,b]"
23,0.05,ridge_prior_csgm,0.013955170131727609,0.01119061832284303,0.17875859512760053,,49,CLP-CSGM Ridge
23,0.05,ridge_prior_only_decoder,0.015776855189517627,0.012636669221721285,0.2174178082415717,,49,Prior-only Ridge
