measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
0.05,ae_regression_ub,0.021335144735479195,0.0010159529748733143,0.0005865607235271092,0.017738792458922476,0.0008310394063453371,0.294471815273934,0.01936430896126131,,,3,25,0.001149659018113134,"AE [u,b]"
0.05,ml_only,0.02570630818692019,0.0014407253940716936,0.000831803194095622,0.02089791385472894,0.001135894916960774,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274192,ML only
0.05,mlp_concat_ub,0.2593209321687523,0.031753206727562065,0.018332722451791794,0.20623288203894227,0.02586791605646168,3.7005048358602917,0.5288158487124813,,,3,25,0.035932136005511914,"MLP [u,b]"
0.05,mlp_prior_csgm,0.02210928606765583,0.0017241595695613521,0.000995443991612116,0.017978097483716426,0.0014383042862472033,0.3089153093704909,0.03594880708749022,,,3,25,0.0019510702235597472,CLP-CSGM MLP
0.05,pca_regression_ub,0.1703402910798054,0.02384954191779477,0.013769539446288075,0.13868949439249625,0.020579316504738925,2.4628178363924644,0.31611691522426405,,,3,25,0.026988297314724626,"PCA [u,b]"
0.1,ae_regression_ub,0.02833337622542265,0.007074750630914211,0.004084609181207795,0.02487644097847957,0.007096610340718257,0.4191107163878193,0.12723605405487262,,,3,25,0.008005833995167277,"AE [u,b]"
0.1,ml_only,0.02570630818692019,0.0014407253940716936,0.000831803194095622,0.02089791385472894,0.001135894916960774,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274192,ML only
0.1,mlp_concat_ub,0.24363639129646206,0.03318590065713311,0.01915988867769598,0.19654945417104752,0.024025789598340005,3.4592108591276456,0.5022689756446164,,,3,25,0.03755338180828412,"MLP [u,b]"
0.1,mlp_prior_csgm,0.02119995032533396,0.001633056908966383,0.0009428458459937194,0.017143764359348865,0.0015428752897843688,0.2929690839899968,0.029421745315615,,,3,25,0.00184797785814769,CLP-CSGM MLP
0.1,pca_regression_ub,0.2014434682823324,0.021634446592769415,0.012490653564104004,0.1621385233075138,0.01675371274614528,2.8692148986500103,0.27957755745671775,,,3,25,0.024481680985643847,"PCA [u,b]"
0.2,ae_regression_ub,0.020493399747108176,0.0011459862105482803,0.0006616354471476488,0.017260037385214123,0.001028862752079789,0.28402274174953757,0.018800570172185213,,,3,25,0.0012968054764093916,"AE [u,b]"
0.2,ml_only,0.02570630818692019,0.0014407253940716936,0.000831803194095622,0.02089791385472894,0.001135894916960774,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274192,ML only
0.2,mlp_concat_ub,0.2518943481200411,0.028408658334586917,0.016401746536789864,0.20289647944303946,0.02385395616124955,3.5028351245379326,0.42322496020320394,,,3,25,0.03214742321210813,"MLP [u,b]"
0.2,mlp_prior_csgm,0.015817818830495017,0.000854095555052635,0.0004931122986233016,0.01252492237506575,0.0004772097437078369,0.21538160509034554,0.01815093272638369,,,3,25,0.0009665001053016712,CLP-CSGM MLP
0.2,pca_regression_ub,0.17983619423335803,0.03886214751107708,0.0224370713268073,0.144261942252834,0.03158428469065776,2.601603301036864,0.5350244635154938,,,3,25,0.04397665980054231,"PCA [u,b]"
