seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m
7,0.1,ml_only,0,0.0683487127739789,0.06479714119427898,1.2331635974473751,,,none,6
7,0.1,mlp_concat_ub,0,0.21980137073116937,0.1776764736138668,3.965708175822517,,,direct_ub,6
7,0.1,pca_regression_ub,0,0.13730816911740484,0.11558281833077899,2.477346374432304,,8.0,pca_mlp,6
7,0.1,ml_only,1,0.060988771034358395,0.05845694488735153,1.1674399957736694,,,none,6
7,0.1,mlp_concat_ub,1,0.17418808438171876,0.13799248372547962,3.3342881492046548,,,direct_ub,6
7,0.1,pca_regression_ub,1,0.13670778582326362,0.1169780811901551,2.616844612491503,,8.0,pca_mlp,6
7,0.1,ml_only,2,0.06969493315118486,0.06719731970842174,1.4183571125839054,,,none,6
7,0.1,mlp_concat_ub,2,0.1979172783576303,0.16155075188986529,4.027801832492628,,,direct_ub,6
7,0.1,pca_regression_ub,2,0.10834745571962802,0.09169972573277548,2.20497211923492,,8.0,pca_mlp,6
7,0.1,ml_only,3,0.06965737399882581,0.06550144150578924,1.4982536331401246,,,none,6
7,0.1,mlp_concat_ub,3,0.2381486835903767,0.18476965636392023,5.122316704371233,,,direct_ub,6
7,0.1,pca_regression_ub,3,0.11116829159710051,0.08526986568807071,2.391107893015666,,8.0,pca_mlp,6
7,0.1,ml_only,4,0.06597679044762148,0.06274114979679254,1.5102427620756878,,,none,6
7,0.1,mlp_concat_ub,4,0.16869429571015554,0.13818514441277582,3.8614994359566155,,,direct_ub,6
7,0.1,pca_regression_ub,4,0.12438125830635641,0.0995212127113207,2.8471511545286647,,8.0,pca_mlp,6
7,0.1,ml_only,5,0.07827490751550069,0.0749911748551832,1.8980770192312346,,,none,6
7,0.1,mlp_concat_ub,5,0.14044578471206465,0.116609532395089,3.4056497142085727,,,direct_ub,6
7,0.1,pca_regression_ub,5,0.11844958296941241,0.08510266771924455,2.8722669691719918,,8.0,pca_mlp,6
7,0.1,ml_only,6,0.07291396394954361,0.0699667795428349,1.841362489966138,,,none,6
7,0.1,mlp_concat_ub,6,0.19889869134217325,0.16817687804177908,5.022969122818112,,,direct_ub,6
7,0.1,pca_regression_ub,6,0.12219639754241106,0.09691722036981495,3.085936501810426,,8.0,pca_mlp,6
