seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m
7,0.05,ml_only,0,0.027479493734111415,0.02286099448084008,0.4957915076067164,,,none,4
7,0.05,mlp_concat_ub,0,0.3097801306232004,0.2478938250311315,5.589126185306284,,,direct_ub,4
7,0.05,pca_regression_ub,0,0.14753176870111231,0.11993421652318008,2.661802969587172,,8.0,pca_mlp,4
7,0.05,ae_regression_ub,0,0.020006635690076414,0.017355002376725673,0.36096444013480194,,32.0,ae_mlp,4
7,0.05,ml_only,1,0.030677004615299115,0.024827917478536906,0.8529677128232475,,,none,4
7,0.05,mlp_concat_ub,1,0.37232751637237493,0.3041846719937015,10.352488909654527,,,direct_ub,4
7,0.05,pca_regression_ub,1,0.273868340148002,0.23416748822533778,7.614852057434574,,8.0,pca_mlp,4
7,0.05,ae_regression_ub,1,0.02305716341487997,0.019875223339269908,0.6410996180628981,,32.0,ae_mlp,4
7,0.05,ml_only,2,0.03143657942675247,0.02475385174210716,0.8415135275708494,,,none,4
7,0.05,mlp_concat_ub,2,0.3817752903822347,0.30664219472747967,10.21959377283714,,,direct_ub,4
7,0.05,pca_regression_ub,2,0.11217553049503937,0.0933962901319404,3.0027830029650144,,8.0,pca_mlp,4
7,0.05,ae_regression_ub,2,0.023390497865907488,0.021022652877402605,0.6261311099905379,,32.0,ae_mlp,4
7,0.05,ml_only,3,0.029101307792669753,0.022463725731296014,0.5775710159604457,,,none,4
7,0.05,mlp_concat_ub,3,0.3314336508057055,0.25501383238713055,6.577933602954738,,,direct_ub,4
7,0.05,pca_regression_ub,3,0.2145828468688447,0.1817599531210095,4.258806296840773,,8.0,pca_mlp,4
7,0.05,ae_regression_ub,3,0.01567621173107257,0.012084259396815449,0.31112435222609686,,32.0,ae_mlp,4
7,0.05,ml_only,4,0.027783811057055362,0.0216847180117287,0.5118224954138989,,,none,4
7,0.05,mlp_concat_ub,4,0.2966337054093733,0.2349116939175184,5.464470047493466,,,direct_ub,4
7,0.05,pca_regression_ub,4,0.2865037550149324,0.24429713199429445,5.277860065203613,,8.0,pca_mlp,4
7,0.05,ae_regression_ub,4,0.017052890701755447,0.01399827301751584,0.3141416796662445,,32.0,ae_mlp,4
7,0.05,ml_only,5,0.023544169546853136,0.019277265998786756,0.420622285935514,,,none,4
7,0.05,mlp_concat_ub,5,0.23442754443954453,0.17935341549694803,4.188104805828239,,,direct_ub,4
7,0.05,pca_regression_ub,5,0.29709143659276205,0.23949647999723375,5.3076104019228705,,8.0,pca_mlp,4
7,0.05,ae_regression_ub,5,0.015182988398347322,0.012614711692582966,0.27124776156306685,,32.0,ae_mlp,4
7,0.05,ml_only,6,0.022232707353981092,0.01818931674054655,0.37876735179125365,,,none,4
7,0.05,mlp_concat_ub,6,0.30707238023649625,0.24481592965719665,5.231436298719047,,,direct_ub,4
7,0.05,pca_regression_ub,6,0.19856032379800725,0.1558500727788913,3.3827714645071296,,8.0,pca_mlp,4
7,0.05,ae_regression_ub,6,0.010717756654055586,0.008610287685211895,0.18259298070924332,,32.0,ae_mlp,4
