seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.05,ae_regression_ub,0.020305279449211285,0.01695308133370677,0.2729344360715453,,25
7,0.05,hybrid_lfista_joint,0.05647832887931562,0.0460696580128658,0.8021981812587682,0.2866160530484171,25
7,0.05,ml_only,0.0267338393226332,0.021741003096511644,0.37094479811696024,,25
7,0.05,mlp_concat_ub,0.2850565329499741,0.22716204931168843,4.067218199395483,,25
7,0.05,pca_regression_ub,0.18574511927194226,0.15468627761314177,2.6776970858432043,,25
7,0.1,ae_regression_ub,0.018956999579810063,0.01603961757725391,0.2617223660312049,,25
7,0.1,hybrid_lfista_joint,0.056308573716734214,0.045409305934639876,0.8014425907120768,0.4202660328897091,25
7,0.1,ml_only,0.0267338393226332,0.021741003096511644,0.37094479811696024,,25
7,0.1,mlp_concat_ub,0.28018646401505626,0.22366098320407946,4.007991574111115,,25
7,0.1,pca_regression_ub,0.20669531155659054,0.16654198214217136,2.9015558154209007,,25
7,0.2,ae_regression_ub,0.02141076676211942,0.01801196325728263,0.2968834131036826,,25
7,0.2,hybrid_lfista_joint,0.050940923611089955,0.03919945473010261,0.7250361261079018,0.4917692985222994,25
7,0.2,ml_only,0.0267338393226332,0.021741003096511644,0.37094479811696024,,25
7,0.2,mlp_concat_ub,0.27880450187798717,0.22454545019273608,3.8829567615500356,,25
7,0.2,pca_regression_ub,0.1649629041119888,0.13181674444655378,2.3343218272794237,,25
23,0.05,ae_regression_ub,0.02214091997379213,0.018450176495479014,0.3064887797586208,,25
23,0.05,hybrid_lfista_joint,0.05764993486856855,0.04680809143227069,0.8373082867229468,0.33813027050209354,25
23,0.05,ml_only,0.024059482830271282,0.019606221165880174,0.32703852664579947,,25
23,0.05,mlp_concat_ub,0.2190618901525167,0.17411964037157351,3.0322010658626333,,25
23,0.05,pca_regression_ub,0.14435723912849113,0.11635030298763141,2.122777516280091,,25
23,0.1,ae_regression_ub,0.021054766725128623,0.017567447758596758,0.28557111663985996,,25
23,0.1,hybrid_lfista_joint,0.057801101838369104,0.046618677057418935,0.8458869354976812,0.40005570682555613,25
23,0.1,ml_only,0.024059482830271282,0.019606221165880174,0.32703852664579947,,25
23,0.1,mlp_concat_ub,0.20819792220412606,0.16919745840760528,2.922195649553666,,25
23,0.1,pca_regression_ub,0.22060951189682296,0.1773027572374025,3.1420475473767744,,25
23,0.2,ae_regression_ub,0.020309312512675162,0.01704085421716978,0.28294895660207314,,25
23,0.2,hybrid_lfista_joint,0.05441591216354797,0.042308714152491725,0.8024882279436896,0.48170980549479414,25
23,0.2,ml_only,0.024059482830271282,0.019606221165880174,0.32703852664579947,,25
23,0.2,mlp_concat_ub,0.25558800556477873,0.20529830635981242,3.6059040462789835,,25
23,0.2,pca_regression_ub,0.12959640265298883,0.10544184121887296,1.8957603060641879,,25
41,0.05,ae_regression_ub,0.021511328074034095,0.017785451396971824,0.30229152157150674,,25
41,0.05,hybrid_lfista_joint,0.06026613521255042,0.04865001997697031,0.8758730960551966,0.3435022499398935,25
41,0.05,ml_only,0.026325602407856086,0.021346517301795,0.3726421831012622,,25
41,0.05,mlp_concat_ub,0.2746467249585496,0.2187633603255451,4.011139898971838,,25
41,0.05,pca_regression_ub,0.18032575253121144,0.14518796331666725,2.5724925067362556,,25
41,0.1,ae_regression_ub,0.035011179285148526,0.031585935237302014,0.5348688603215122,,25
41,0.1,hybrid_lfista_joint,0.05840507896693061,0.04670452963053553,0.8461922955779682,0.3777708395002797,25
41,0.1,ml_only,0.026325602407856086,0.021346517301795,0.3726421831012622,,25
41,0.1,mlp_concat_ub,0.23256959359560603,0.18929280017289607,3.318203267275722,,25
41,0.1,pca_regression_ub,0.17729497106972678,0.14411818125364084,2.6130604312767884,,25
41,0.2,ae_regression_ub,0.01932949977868004,0.016253329873708835,0.2644901945032375,,25
41,0.2,hybrid_lfista_joint,0.052118170003408404,0.03994026985319731,0.7424235949186798,0.5083927045159338,25
41,0.2,ml_only,0.026325602407856086,0.021346517301795,0.3726421831012622,,25
41,0.2,mlp_concat_ub,0.22067929542189024,0.17696475472414133,3.035690545155526,,25
41,0.2,pca_regression_ub,0.21151908276733322,0.17089698554513624,3.0942470408552714,,25
