measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half
0.05,ae_regression_ub,0.021319175832345837,0.0009327839497226706,0.0005385430644681463,0.017729569742052535,0.000750110358792528,0.29390491246722433,0.018281818954048873,,,3,25,0.0010555444063575666
0.05,hybrid_lfista_joint,0.05813146632014487,0.0019392714118107105,0.0011196388716406594,0.047175923140702264,0.001328925163711297,0.8384598546789706,0.03685095452133162,0.32274952449680133,0.03140756851386999,3,25,0.0021944921884156925
0.05,ml_only,0.02570630818692019,0.0014407253940716927,0.0008318031940956215,0.02089791385472894,0.0011358949169607729,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274181
0.05,mlp_concat_ub,0.25958838268701345,0.03548081838777182,0.020484860047248286,0.20668168333626902,0.02851051517769362,3.7035197214099846,0.582054762809333,,,3,25,0.04015032569260664
0.05,pca_regression_ub,0.17014270364388162,0.02249466646059641,0.012987301736356186,0.13874151463914683,0.019964449980800183,2.4576557029531836,0.2947448910470911,,,3,25,0.025455111403258124
0.1,ae_regression_ub,0.02500764853002907,0.008726575927903229,0.005038290961078638,0.021731000191050894,0.008568744064337955,0.3607207809975257,0.1512873288665431,,,3,25,0.00987505028371413
0.1,hybrid_lfista_joint,0.057504918174011314,0.0010791789185763277,0.0006230642391438121,0.04624417087419811,0.0007242874198516558,0.8311739405959088,0.025748556962105332,0.3993641930718483,0.02125603464324724,3,25,0.0012212059087218716
0.1,ml_only,0.02570630818692019,0.0014407253940716927,0.0008318031940956215,0.02089791385472894,0.0011358949169607729,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274181
0.1,mlp_concat_ub,0.24031799327159611,0.03661442080888586,0.021139345710232488,0.19405041392819358,0.02754169656715952,3.416130163646834,0.549481988076998,,,3,25,0.041433117592055674
0.1,pca_regression_ub,0.20153326484104675,0.02211385100984534,0.012767437833353485,0.16265430687773821,0.016930432216183275,2.885554598024821,0.2648563223118573,,,3,25,0.02502417815337283
0.2,ae_regression_ub,0.02034985968449154,0.0010412257771230237,0.000601151982709155,0.017102049116053748,0.00088091228632147,0.2814408547363311,0.01624918247950174,,,3,25,0.0011782578861099437
0.2,hybrid_lfista_joint,0.05249166859268211,0.001767346105625791,0.0010203777498342874,0.040482812911930545,0.001624080745179741,0.7566493163234238,0.04063847169628001,0.4939572695110091,0.013475336278871115,3,25,0.001999940389675203
0.2,ml_only,0.02570630818692019,0.0014407253940716927,0.0008318031940956215,0.02089791385472894,0.0011358949169607729,0.3568751692880073,0.0258532244036473,,,3,25,0.0016303342604274181
0.2,mlp_concat_ub,0.2516906009548854,0.029257942996917714,0.01689208126520517,0.20226950375889663,0.02393451230368553,3.508183784328182,0.4320034115116072,,,3,25,0.033108479279802136
0.2,pca_regression_ub,0.1686927965107703,0.04108850754480096,0.023722460891590802,0.13605185707018766,0.03293244773614826,2.4414430580662945,0.606381754286455,,,3,25,0.04649602334751797
