seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.05,ae_regression_ub,0.018693206967268828,0.01571031235989748,0.24658862476273063,,49
7,0.05,hybrid_lfista_joint,0.050505482631875306,0.04069333548203035,0.7227165640809503,0.2339742538751812,49
7,0.05,ml_only,0.025823981619863164,0.020889810344443482,0.3563044124500496,,49
7,0.05,mlp_concat_ub,0.20591211349884403,0.16565391067657864,2.8778810934086736,,49
7,0.05,pca_regression_ub,0.13672566641816142,0.10941341070873419,1.8655155371504273,,49
7,0.2,ae_regression_ub,0.017761552475431965,0.014732004326540819,0.2277319433306803,,49
7,0.2,hybrid_lfista_joint,0.04546942972434395,0.034911517579540155,0.6379457677705682,0.4690546937073208,49
7,0.2,ml_only,0.025823981619863164,0.020889810344443482,0.3563044124500496,,49
7,0.2,mlp_concat_ub,0.23030771598721886,0.1846253469159504,3.207128233456293,,49
7,0.2,pca_regression_ub,0.1318256964723961,0.1077629475351099,1.8858950779269472,,49
