step,method,model_family,target_space,rmse_mean,rmse_std,mae_mean,rel_l2_mean
8,mlp_alpha,mlp,alpha,0.03271461205380353,0.003260359419958044,0.02730078822819564,0.4486234812000871
8,mlp_y,mlp,y,0.022535552614717683,0.0008985167819055143,0.01789040845660442,0.3004227453101737
8,ridge_alpha,ridge,alpha,0.014817035357796049,0.0,0.011780637017454626,0.2060540950373123
8,ridge_y,ridge,y,0.014817035357796049,0.0,0.011780637017454623,0.20605409503731228
16,mlp_alpha,mlp,alpha,0.041385875080187866,0.005053261973211895,0.0349971470318009,0.5672330079143879
16,mlp_y,mlp,y,0.024671035148879545,0.0013350014567932074,0.019599322445556545,0.3306554837487758
16,ridge_alpha,ridge,alpha,0.014359659785030293,0.0,0.011390227611105955,0.19494865236494152
16,ridge_y,ridge,y,0.014359659785030296,0.0,0.011390227611105955,0.1949486523649416
32,mlp_alpha,mlp,alpha,0.03810880523324039,0.010203778742924115,0.03171075141216104,0.5102896009440294
32,mlp_y,mlp,y,0.02609550675203041,0.001386314427442317,0.02089791385472894,0.3568751692887328
32,ridge_alpha,ridge,alpha,0.014432784634033349,0.0,0.011448020424993217,0.18917588324471982
32,ridge_y,ridge,y,0.014432784634033352,0.0,0.011448020424993212,0.1891758832447199
