step,n_train,n_test,seed,method,target_space,model_family,rmse,mae,rel_l2
8,104,97,7,ridge_y,y,ridge,0.014817035357796049,0.011780637017454623,0.20605409503731228
8,104,97,7,ridge_alpha,alpha,ridge,0.014817035357796049,0.011780637017454628,0.2060540950373123
8,104,97,7,mlp_y,y,mlp,0.022807771560326935,0.018187854070330557,0.3063759159155744
8,104,97,7,mlp_alpha,alpha,mlp,0.02976935728876655,0.024495304841661448,0.41030905244562615
8,104,97,23,ridge_y,y,ridge,0.014817035357796049,0.011780637017454623,0.20605409503731228
8,104,97,23,ridge_alpha,alpha,ridge,0.014817035357796049,0.011780637017454628,0.2060540950373123
8,104,97,23,mlp_y,y,mlp,0.02153240505647253,0.017068273788625826,0.28264967329041246
8,104,97,23,mlp_alpha,alpha,mlp,0.03215646388888223,0.026829540536441966,0.44060206366866617
8,104,97,41,ridge_y,y,ridge,0.014817035357796049,0.011780637017454623,0.20605409503731228
8,104,97,41,ridge_alpha,alpha,ridge,0.014817035357796049,0.011780637017454628,0.2060540950373123
8,104,97,41,mlp_y,y,mlp,0.023266481227353593,0.01841509751085688,0.31224264672453417
8,104,97,41,mlp_alpha,alpha,mlp,0.03621801498376181,0.0305775193064835,0.494959327485969
16,52,49,7,ridge_y,y,ridge,0.014359659785030298,0.011390227611105957,0.19494865236494158
16,52,49,7,ridge_alpha,alpha,ridge,0.014359659785030293,0.011390227611105957,0.19494865236494152
16,52,49,7,mlp_y,y,mlp,0.026200513047482523,0.020889810344443482,0.356304412450766
16,52,49,7,mlp_alpha,alpha,mlp,0.036389695229565595,0.03030264547323342,0.49617523149334
16,52,49,23,ridge_y,y,ridge,0.014359659785030298,0.011390227611105957,0.19494865236494158
16,52,49,23,ridge_alpha,alpha,ridge,0.014359659785030293,0.011390227611105957,0.19494865236494152
16,52,49,23,mlp_y,y,mlp,0.02373970716061166,0.018936937547010504,0.31703771137654024
16,52,49,23,mlp_alpha,alpha,mlp,0.041273582515309805,0.035230949724916916,0.5663835133818861
16,52,49,41,ridge_y,y,ridge,0.014359659785030298,0.011390227611105957,0.19494865236494158
16,52,49,41,ridge_alpha,alpha,ridge,0.014359659785030293,0.011390227611105957,0.19494865236494152
16,52,49,41,mlp_y,y,mlp,0.02407288523854445,0.01897121944521565,0.3186243274190211
16,52,49,41,mlp_alpha,alpha,mlp,0.046494347495688204,0.039457845897252375,0.6391402788679377
32,27,25,7,ridge_y,y,ridge,0.014432784634033354,0.011448020424993212,0.1891758832447199
32,27,25,7,ridge_alpha,alpha,ridge,0.014432784634033349,0.011448020424993217,0.18917588324471982
32,27,25,7,mlp_y,y,mlp,0.026979961247846546,0.021741003096511644,0.37094479811771264
32,27,25,7,mlp_alpha,alpha,mlp,0.037645457146851066,0.03133007004988549,0.4917005967742572
32,27,25,23,ridge_y,y,ridge,0.014432784634033354,0.011448020424993212,0.1891758832447199
32,27,25,23,ridge_alpha,alpha,ridge,0.014432784634033349,0.011448020424993217,0.18917588324471982
32,27,25,23,mlp_y,y,mlp,0.024497782695231167,0.019606221165880174,0.3270385266464524
32,27,25,23,mlp_alpha,alpha,mlp,0.028144593731388966,0.022687039741314457,0.36501589833906023
32,27,25,41,ridge_y,y,ridge,0.014432784634033354,0.011448020424993212,0.1891758832447199
32,27,25,41,ridge_alpha,alpha,ridge,0.014432784634033349,0.011448020424993217,0.18917588324471982
32,27,25,41,mlp_y,y,mlp,0.026808776313013517,0.021346517301794998,0.3726421831020334
32,27,25,41,mlp_alpha,alpha,mlp,0.04853636482148112,0.041115144445283164,0.6741523077187708
