seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m
7,0.3,ml_only,0,0.47913727840430803,0.3799487271236394,0.6894095057567137,,,none,38
7,0.3,hybrid,0,0.412501595301029,0.3312539847018715,0.5935303591643504,0.10619469026538428,0.001,fista,38
7,0.3,weighted_hybrid,0,0.41577815156114994,0.33099958098536864,0.5982448515106712,0.10526315789463528,0.001,fista,38
7,0.3,cs_only,0,0.626967310366164,0.48375883648370244,0.90211562123626,0.10169491525413904,0.001,fista,38
7,0.3,ml_only,1,0.3659714288317464,0.2887386032503486,0.534850730372302,,,none,38
7,0.3,hybrid,1,0.3063685228554785,0.25202521909240805,0.44774377260928333,0.08849557522113682,0.001,fista,38
7,0.3,weighted_hybrid,1,0.3196265987334017,0.2616544439305184,0.46711985229199193,0.08403361344528099,0.001,fista,38
7,0.3,cs_only,1,0.5768234562337877,0.46726955035823414,0.8430014546418457,0.08333333333323696,0.001,fista,38
7,0.3,ml_only,2,0.538004806540469,0.4368279026473767,0.7375021289547001,,,none,38
7,0.3,hybrid,2,0.42903719327406015,0.3528388393796012,0.5881282836021793,0.09090909090898612,0.001,fista,38
7,0.3,weighted_hybrid,2,0.4349675303418613,0.3589919646039012,0.5962576463137247,0.07079646017688934,0.001,fista,38
7,0.3,cs_only,2,0.5951321736471724,0.46846568134899125,0.8158128695848608,0.09999999999990332,0.001,fista,38
7,0.3,ml_only,3,0.4712595418220741,0.39368654421641985,0.6417160313028085,,,none,38
7,0.3,hybrid,3,0.4229380690101885,0.34455763618329444,0.5759164856009684,0.09999999999990332,0.001,fista,38
7,0.3,weighted_hybrid,3,0.41498627217923545,0.3432153803825321,0.5650884915738215,0.07812499999990942,0.001,fista,38
7,0.3,cs_only,3,0.633512065555137,0.5018037615972002,0.862655951577477,0.09999999999990332,0.001,fista,38
7,0.3,ml_only,4,0.4572255265908862,0.3497300864606077,0.6570154042750959,,,none,38
7,0.3,hybrid,4,0.3919737241402425,0.3026716900797496,0.5632510869447805,0.09009009008998621,0.001,fista,38
7,0.3,weighted_hybrid,4,0.41414861212910076,0.32202964075256996,0.5951155436503898,0.08333333333323696,0.001,fista,38
7,0.3,cs_only,4,0.5887207239031466,0.4799839143011293,0.8459689188929524,0.10434782608685579,0.001,fista,38
7,0.3,ml_only,5,0.4789781000921938,0.3805200611005346,0.6619976506807811,,,none,38
7,0.3,hybrid,5,0.4282135170241216,0.348458223643776,0.5918357064867048,0.08771929824551279,0.001,fista,38
7,0.3,weighted_hybrid,5,0.43869614782391686,0.35538640410919314,0.6063237946917454,0.08547008546998672,0.001,fista,38
7,0.3,cs_only,5,0.6276209603013978,0.5026061184115442,0.8674375741971683,0.09677419354829345,0.001,fista,38
7,0.3,ml_only,6,0.5237646862782891,0.42942452860874875,0.6964344649908676,,,none,38
7,0.3,hybrid,6,0.45205777847185563,0.34954329171232307,0.6010879032950509,0.06779661016939387,0.001,fista,38
7,0.3,weighted_hybrid,6,0.44632689697122074,0.35677995831550346,0.5934677190856479,0.08130081300803597,0.001,fista,38
7,0.3,cs_only,6,0.6400423677039503,0.5105425266467399,0.8510454706114953,0.08474576271176645,0.001,fista,38
7,0.3,ml_only,7,0.3317189524758182,0.25199230172513565,0.5189123520925015,,,none,38
7,0.3,hybrid,7,0.2957307551272269,0.23860134909639616,0.46261553819523704,0.07619047619036699,0.001,fista,38
7,0.3,weighted_hybrid,7,0.3080234999335535,0.24417566989922374,0.48184524175457416,0.0990099009899853,0.001,fista,38
7,0.3,cs_only,7,0.5745733330718528,0.45566797494852795,0.8988126770829541,0.09999999999990332,0.001,fista,38
7,0.3,ml_only,8,0.507859961460438,0.4231980291927423,0.615149297912155,,,none,38
7,0.3,hybrid,8,0.45658957697996505,0.378455836015023,0.5530476490124198,0.11650485436882003,0.001,fista,38
7,0.3,weighted_hybrid,8,0.4740770670945315,0.3902844900145007,0.5742295063797275,0.10619469026538428,0.001,fista,38
7,0.3,cs_only,8,0.734477903635746,0.594763276327345,0.8896420293780467,0.08333333333323696,0.001,fista,38
7,0.3,ml_only,9,0.38529741634203823,0.3109857389847124,0.6517060913123205,,,none,38
7,0.3,hybrid,9,0.3676060950222726,0.30089157016154533,0.6217823457110271,0.10909090909080396,0.001,fista,38
7,0.3,weighted_hybrid,9,0.36106800069686323,0.29309080048424907,0.6107235747026555,0.08771929824551279,0.001,fista,38
7,0.3,cs_only,9,0.4577249058304497,0.3734342031872382,0.7742125864925399,0.08620689655162456,0.001,fista,38
7,0.3,ml_only,10,0.3556416198839044,0.28865863186319807,0.4697805362117613,,,none,38
7,0.3,hybrid,10,0.30567356422785813,0.25749504408846846,0.4037758318489272,0.10909090909080396,0.001,fista,38
7,0.3,weighted_hybrid,10,0.3120813757032649,0.2627725377868651,0.41224015363399585,0.10169491525413904,0.001,fista,38
7,0.3,cs_only,10,0.6266044971160576,0.5168077105790007,0.8277057020041005,0.09917355371891236,0.001,fista,38
7,0.3,ml_only,11,0.4263843265760326,0.3318612040978858,0.6599614006363699,,,none,38
7,0.3,hybrid,11,0.3717185614261489,0.2953433050937762,0.5753492498453563,0.11428571428560434,0.001,fista,38
7,0.3,weighted_hybrid,11,0.38236173010714847,0.30830678151500446,0.5918228396846609,0.09090909090898612,0.001,fista,38
7,0.3,cs_only,11,0.5506070988773539,0.44888479359240696,0.8522344972045524,0.09999999999990332,0.001,fista,38
7,0.3,ml_only,12,0.587969886192795,0.4561109317371612,0.8086066517946139,,,none,38
7,0.3,hybrid,12,0.5589682062639418,0.43509448811767215,0.7687220389013619,0.08771929824551279,0.001,fista,38
7,0.3,weighted_hybrid,12,0.576569028773475,0.446911710108007,0.7929276019624577,0.08333333333323696,0.001,fista,38
7,0.3,cs_only,12,0.6260167185119743,0.5007746167482796,0.8609306269087319,0.10084033613435633,0.001,fista,38
7,0.3,ml_only,13,0.32810787368910477,0.2586649184346997,0.4775106428189737,,,none,38
7,0.3,hybrid,13,0.29973961399340365,0.24435147856994854,0.4362249955998358,0.09803921568616186,0.001,fista,38
7,0.3,weighted_hybrid,13,0.311892782882097,0.2492037229053783,0.45391206730304745,0.09259259259248594,0.001,fista,38
7,0.3,cs_only,13,0.5674481448156318,0.45497023235243467,0.8258336666863842,0.10619469026538428,0.001,fista,38
7,0.3,ml_only,14,0.45233980425520076,0.3643377075492535,0.6286768287022939,,,none,38
7,0.3,hybrid,14,0.42430916326212104,0.3484817830342817,0.5897189162651213,0.055045871559528,0.001,fista,38
7,0.3,weighted_hybrid,14,0.4385319499466211,0.35429903264492413,0.6094862158571689,0.10619469026538428,0.001,fista,38
7,0.3,cs_only,14,0.6250917906581791,0.5264392819998351,0.868773256083187,0.10619469026538428,0.001,fista,38
7,0.3,ml_only,15,0.45642672255040684,0.3638131985351024,0.6803697898584653,,,none,38
7,0.3,hybrid,15,0.4196453442724435,0.33481498405564997,0.6255418462405957,0.10344827586196907,0.001,fista,38
7,0.3,weighted_hybrid,15,0.4226527820348428,0.3419388995931341,0.6300248655234777,0.08695652173903001,0.001,fista,38
7,0.3,cs_only,15,0.5871930205312235,0.46882927537404606,0.8752957972154338,0.08695652173903001,0.001,fista,38
7,0.3,ml_only,16,0.3980563803880544,0.30058833537755936,0.5538501429479051,,,none,38
7,0.3,hybrid,16,0.3650112368201189,0.2809240422506006,0.5078715871689652,0.07692307692296672,0.001,fista,38
7,0.3,weighted_hybrid,16,0.3641767947171153,0.2871409904707187,0.5067105559663507,0.07407407407396777,0.001,fista,38
7,0.3,cs_only,16,0.6133384039873389,0.4742975911735737,0.8533905734475747,0.06504065040641022,0.001,fista,38
7,0.3,ml_only,17,0.39598976698469496,0.32533565764110656,0.6476898396739479,,,none,38
7,0.3,hybrid,17,0.33304481061465446,0.27277461877483167,0.5447356421197195,0.08547008546998672,0.001,fista,38
7,0.3,weighted_hybrid,17,0.3344636810873189,0.266872354409703,0.5470563788295487,0.1025641025640035,0.001,fista,38
7,0.3,cs_only,17,0.5181215513755398,0.436499719572546,0.8474513548604171,0.08264462809907794,0.001,fista,38
7,0.3,ml_only,18,0.5689524419588834,0.4581700008365599,0.6545947418990343,,,none,38
7,0.3,hybrid,18,0.5167621039085395,0.41037097807018286,0.5945483859187973,0.06779661016939387,0.001,fista,38
7,0.3,weighted_hybrid,18,0.5327551544437301,0.4216373105179375,0.6129488110074339,0.08196721311465924,0.001,fista,38
7,0.3,cs_only,18,0.766859552111333,0.6291306206420796,0.882292074991048,0.07999999999990734,0.001,fista,38
7,0.3,ml_only,19,0.38456343241808105,0.3052014377166369,0.5552436335621309,,,none,38
7,0.3,hybrid,19,0.31980974920471356,0.2652213096746535,0.46175042197972144,0.05454545454535042,0.001,fista,38
7,0.3,weighted_hybrid,19,0.33139621114367007,0.2740373062151927,0.4784792856334074,0.06837606837596992,0.001,fista,38
7,0.3,cs_only,19,0.614203571031172,0.4978260034777214,0.8868046043322917,0.08196721311465924,0.001,fista,38
7,0.3,ml_only,20,0.6714798559606376,0.5668097344638252,0.839436527334627,,,none,38
7,0.3,hybrid,20,0.5798183338118426,0.47504573817195794,0.7248477885068445,0.09917355371891236,0.001,fista,38
7,0.3,weighted_hybrid,20,0.5758108090701691,0.472697224805516,0.719837865092917,0.09917355371891236,0.001,fista,38
7,0.3,cs_only,20,0.6885154468774498,0.5397124540856661,0.8607332157659482,0.10084033613435633,0.001,fista,38
7,0.3,ml_only,21,0.45340935252896697,0.3514329991101371,0.7428889223484516,,,none,38
7,0.3,hybrid,21,0.37070315316720576,0.28694374518495047,0.6073788827502505,0.10169491525413904,0.001,fista,38
7,0.3,weighted_hybrid,21,0.3686847544621381,0.2887570657442906,0.6040718357506379,0.09999999999990332,0.001,fista,38
7,0.3,cs_only,21,0.5465838051856027,0.4252998786318253,0.8955506800700741,0.09836065573760977,0.001,fista,38
7,0.3,ml_only,22,0.45879270185589266,0.3526799367215797,0.6951887150541445,,,none,38
7,0.3,hybrid,22,0.38474794915085564,0.29353534492642774,0.5829919074735282,0.09917355371891236,0.001,fista,38
7,0.3,weighted_hybrid,22,0.4005647741168881,0.2964392381288892,0.6069584574641734,0.10084033613435633,0.001,fista,38
7,0.3,cs_only,22,0.6043968410630786,0.48942033659212164,0.915816362426361,0.08130081300803597,0.001,fista,38
7,0.3,ml_only,23,0.40768072772701486,0.339990523830657,0.6639342735780364,,,none,38
7,0.3,hybrid,23,0.3478516876977821,0.2879945793178057,0.5664988356750744,0.1111111111110041,0.001,fista,38
7,0.3,weighted_hybrid,23,0.3431483561911701,0.2776745939657809,0.5588391579545958,0.10434782608685579,0.001,fista,38
7,0.3,cs_only,23,0.5233853553085929,0.4095086943685764,0.8523666978706842,0.08333333333323696,0.001,fista,38
7,0.3,ml_only,24,0.4276708776935034,0.344185319549819,0.6678766404147229,,,none,38
7,0.3,hybrid,24,0.3863742642537176,0.31276106262351744,0.6033853577877212,0.11009174311916001,0.001,fista,38
7,0.3,weighted_hybrid,24,0.3947077839296743,0.3252789399830097,0.6163994848052655,0.06779661016939387,0.001,fista,38
7,0.3,cs_only,24,0.5576798279083598,0.45266495441497556,0.8709064594232813,0.09999999999990332,0.001,fista,38
7,0.3,ml_only,25,0.3646677377197245,0.2942373134895446,0.5029859645523305,,,none,38
7,0.3,hybrid,25,0.3083538636285649,0.25397864765178807,0.4253122760200303,0.09615384615373558,0.001,fista,38
7,0.3,weighted_hybrid,25,0.31086060280961514,0.25521786024611537,0.4287698196808593,0.1111111111110041,0.001,fista,38
7,0.3,cs_only,25,0.5756952149882099,0.4638187493426251,0.7940560215435358,0.09448818897628644,0.001,fista,38
7,0.3,ml_only,26,0.3947877435463958,0.30077176043100495,0.6749749180501514,,,none,38
7,0.3,hybrid,26,0.3640906603830586,0.27790194106927096,0.6224916240997729,0.0970873786406651,0.001,fista,38
7,0.3,weighted_hybrid,26,0.3738958100344697,0.2843579136076913,0.6392556452494136,0.10619469026538428,0.001,fista,38
7,0.3,cs_only,26,0.515209017433844,0.4157923935233212,0.8808610956288202,0.10169491525413904,0.001,fista,38
7,0.3,ml_only,27,0.3818976084209736,0.29654286950298275,0.5424655960355149,,,none,38
7,0.3,hybrid,27,0.3457781693895473,0.26906548303981237,0.49115982037573985,0.10810810810800389,0.001,fista,38
7,0.3,weighted_hybrid,27,0.3494110533161536,0.2690418989414656,0.49632014215079,0.10810810810800389,0.001,fista,38
7,0.3,cs_only,27,0.6367400636309556,0.5063805165527157,0.9044559864237376,0.0975609756096617,0.001,fista,38
7,0.3,ml_only,28,0.4381974081946227,0.33693083390861,0.5841120007819309,,,none,38
7,0.3,hybrid,28,0.347328262957693,0.27383487019165276,0.4629844969649463,0.08264462809907794,0.001,fista,38
7,0.3,weighted_hybrid,28,0.37017715653296474,0.2923271612774424,0.49344180385978237,0.08547008546998672,0.001,fista,38
7,0.3,cs_only,28,0.5659409250987707,0.4496143549960628,0.7543926091342783,0.0975609756096617,0.001,fista,38
7,0.3,ml_only,29,0.4013118758191937,0.32579133780107583,0.5553384150310677,,,none,38
7,0.3,hybrid,29,0.3628381326774896,0.2987852805570818,0.5020981577049862,0.1111111111110041,0.001,fista,38
7,0.3,weighted_hybrid,29,0.3674102547607492,0.29627484306714313,0.5084250948928352,0.07476635514007966,0.001,fista,38
7,0.3,cs_only,29,0.5902822771087746,0.471529439587921,0.8168370884150105,0.09599999999990708,0.001,fista,38
7,0.3,ml_only,30,0.5604086624790189,0.4606246357077942,0.7029727066758279,,,none,38
7,0.3,hybrid,30,0.48159158470159247,0.3814710530359426,0.6041051155640452,0.10619469026538428,0.001,fista,38
7,0.3,weighted_hybrid,30,0.4986165011554419,0.39535427748670077,0.6254610516902831,0.08130081300803597,0.001,fista,38
7,0.3,cs_only,30,0.678631247956848,0.5312162463722867,0.8512702910420857,0.10434782608685579,0.001,fista,38
7,0.3,ml_only,31,0.37115481738608763,0.2952027348585518,0.5815364599723707,,,none,38
7,0.3,hybrid,31,0.3122256418523526,0.25127156443284177,0.48920446662704253,0.09174311926594934,0.001,fista,38
7,0.3,weighted_hybrid,31,0.3144419385109002,0.24923891796128037,0.4926770264664576,0.11009174311916001,0.001,fista,38
7,0.3,cs_only,31,0.5562059625411258,0.4235807850493004,0.8714801245196383,0.0975609756096617,0.001,fista,38
7,0.3,ml_only,32,0.4248760584680684,0.31767204673788957,0.6322407754105956,,,none,38
7,0.3,hybrid,32,0.32884318836595955,0.26390539350044795,0.48933816876060143,0.10526315789463528,0.001,fista,38
7,0.3,weighted_hybrid,32,0.335770798674526,0.2718818994079874,0.49964686379280154,0.10526315789463528,0.001,fista,38
7,0.3,cs_only,32,0.538728021581246,0.4371420041763935,0.801659249353871,0.08333333333323696,0.001,fista,38
7,0.3,ml_only,33,0.4474433333319469,0.33613323438080567,0.7196443552123113,,,none,38
7,0.3,hybrid,33,0.39001658622589175,0.3010246760094557,0.6272821915270649,0.08333333333323696,0.001,fista,38
7,0.3,weighted_hybrid,33,0.4023131345930169,0.31986811928922165,0.6470593140402118,0.08771929824551279,0.001,fista,38
7,0.3,cs_only,33,0.4961578064880622,0.39374779290304907,0.7979941550917342,0.08474576271176645,0.001,fista,38
7,0.3,ml_only,34,0.3613862755846962,0.27843416307413527,0.5460196191450748,,,none,38
7,0.3,hybrid,34,0.2912117259547971,0.22931425577874182,0.4399926794097429,0.11538461538450445,0.001,fista,38
7,0.3,weighted_hybrid,34,0.3119011798319228,0.2455833434241133,0.4712524379825617,0.08403361344528099,0.001,fista,38
7,0.3,cs_only,34,0.6020397623012961,0.48769063529179796,0.9096237016474729,0.08547008546998672,0.001,fista,38
7,0.3,ml_only,35,0.41497850828583804,0.3284662446518196,0.5430295193716004,,,none,38
