measurement_ratio,method,rmse_mean,rmse_std_across_seeds,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run
0.2,hybrid_lfista_frozen,0.31592838841602794,0.007532803809267923,0.24520543297503,0.006240305000080168,0.4578997597645003,0.014447300906498,0.08981796739084555,0.00014676314494765596,10,300
0.2,hybrid_lfista_joint,0.31602533698199287,0.007532056778721882,0.24525762653918387,0.006237619538787298,0.4580409752775971,0.014453667717339254,0.09108239251042106,0.0005786577983334297,10,300
0.2,ml_only_torch,0.3604556168263557,0.00742582910772544,0.27587561427993335,0.006400583775687593,0.5225300150678179,0.016893166000373643,,,10,300
0.3,hybrid_lfista_frozen,0.29985481411428283,0.00803529923837102,0.2342349086289052,0.0068607017680288014,0.43447809552045474,0.010863393644499364,0.09013796987812707,0.00023951281756635405,10,300
0.3,hybrid_lfista_joint,0.300004447245776,0.008008995555952851,0.23441210097593324,0.0068287312515154025,0.43469701914069914,0.010870537658075146,0.09049527653480444,0.0006083162043506775,10,300
0.3,ml_only_torch,0.3654758185730381,0.006961204959428404,0.2798526476501296,0.006158811680493989,0.5296909088705781,0.012193346591865073,,,10,300
0.4,hybrid_lfista_frozen,0.2806201581855465,0.01055339129290493,0.22070717476701854,0.00888379538436143,0.4063843487828964,0.01121150495999972,0.08992713404797621,0.0001723145052576207,10,300
0.4,hybrid_lfista_joint,0.2805601568018698,0.010619290996950893,0.2207326205833565,0.008909551376955122,0.4062885723939238,0.01136112918705103,0.09007958084421107,0.00016511867550356515,10,300
0.4,ml_only_torch,0.3726429009237044,0.008705162966636867,0.286049954247644,0.008009584266960468,0.5399096538910417,0.010376321220120104,,,10,300
0.5,hybrid_lfista_frozen,0.25488639975148314,0.006374471484777462,0.20098185409967603,0.005187839198760988,0.36921620101576635,0.005426566340770549,0.08991807309043842,0.00012551988042150373,10,300
0.5,hybrid_lfista_joint,0.2541632277358205,0.006369265258343537,0.20052639347349807,0.005191129718736329,0.36816627405258034,0.005448644210068396,0.08997876528127682,0.00010566290275137031,10,300
0.5,ml_only_torch,0.37400794631246537,0.006382016679364725,0.2870057736824846,0.0059769839664550435,0.5418985293697307,0.00853551853000201,,,10,300
0.6,hybrid_lfista_frozen,0.22723498708231493,0.0058279330261742585,0.17971855444963075,0.004451317838651779,0.3293248241714621,0.006711690176695542,0.08991458339414002,8.944015905399695e-05,10,300
0.6,hybrid_lfista_joint,0.2253312548152858,0.005876018690414609,0.17835606294952636,0.0045195043311284655,0.32655263378321775,0.006750657830959376,0.08984457408868954,0.0001241802457455283,10,300
0.6,ml_only_torch,0.37074309275916534,0.005873859897226759,0.2839956686634193,0.005282847346920059,0.537545817501375,0.012539804300649058,,,10,300
