seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,lambda,cs_engine,m
7,0.3,ml_only,0,0.47913727840430803,0.3799487271236394,0.6894095057567137,,,none,38
7,0.3,hybrid_fista,0,0.41250159536340353,0.33125398457627825,0.5935303592540985,0.10619469026538428,0.001,fista,38
7,0.3,hybrid_spgl1,0,0.4784043095855448,0.3791674771236394,0.6883548692384249,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,0,0.6269673102452253,0.4837588381994187,0.9021156210622467,0.10169491525413904,0.001,fista,38
7,0.3,cs_only_spgl1,0,0.6946730679822509,0.5423986183815077,0.9995344508678026,0.0,0.1,spgl1,38
7,0.3,ml_only,1,0.3659714288317464,0.2887386032503486,0.534850730372302,,,none,38
7,0.3,hybrid_fista,1,0.30636854164229027,0.25202522202443794,0.4477438000653611,0.08849557522113682,0.001,fista,38
7,0.3,hybrid_spgl1,1,0.3648231427608629,0.2879573532503486,0.5331725620911089,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,1,0.5768234554717202,0.46726954982581304,0.8430014535281184,0.08333333333323696,0.001,fista,38
7,0.3,cs_only_spgl1,1,0.6836430148377719,0.5455550016403501,0.9991134197746602,0.0,0.1,spgl1,38
7,0.3,ml_only,2,0.538004806540469,0.4368279026473767,0.7375021289547001,,,none,38
7,0.3,hybrid_fista,2,0.42903719644718946,0.3528388463124216,0.5881282879519352,0.09090909090898612,0.001,fista,38
7,0.3,hybrid_spgl1,2,0.5354983551575735,0.43604665264737663,0.7340662614521524,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,2,0.5951321706999041,0.4684656786072595,0.8158128655447172,0.09999999999990332,0.001,fista,38
7,0.3,cs_only_spgl1,2,0.7285861603125439,0.5811782939893061,0.9987528695378172,0.0,0.1,spgl1,38
7,0.3,ml_only,3,0.4712595418220741,0.39368654421641985,0.6417160313028085,,,none,38
7,0.3,hybrid_fista,3,0.4229380733285614,0.3445576396370451,0.5759164914813144,0.09999999999990332,0.001,fista,38
7,0.3,hybrid_spgl1,3,0.4710101996273455,0.39290529421641984,0.6413765010239756,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,3,0.6335120651585274,0.5018037613045891,0.8626559510374122,0.09999999999990332,0.001,fista,38
7,0.3,cs_only_spgl1,3,0.7335724156623848,0.5771207460043164,0.9989085365401715,0.0,0.1,spgl1,38
7,0.3,ml_only,4,0.4572255265908862,0.3497300864606077,0.6570154042750959,,,none,38
7,0.3,hybrid_fista,4,0.3919737303015075,0.30267170382690756,0.5632510957982801,0.09009009008998621,0.001,fista,38
7,0.3,hybrid_spgl1,4,0.4548470253870399,0.3489488364606077,0.6535975900037326,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,4,0.5887207219008915,0.4799839112970111,0.8459689160157893,0.10434782608685579,0.001,fista,38
7,0.3,cs_only_spgl1,4,0.6946677500057521,0.5554014860924386,0.9982106992361389,0.0,0.1,spgl1,38
7,0.3,ml_only,5,0.4789781000921938,0.3805200611005346,0.6619976506807811,,,none,38
7,0.3,hybrid_fista,5,0.42821351793069384,0.3484582228029133,0.5918357077396821,0.08771929824551279,0.001,fista,38
7,0.3,hybrid_spgl1,5,0.4784382048538985,0.3797388111005346,0.6612514591966683,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,5,0.627620954548799,0.5026061129361209,0.8674375662464772,0.09677419354829345,0.001,fista,38
7,0.3,cs_only_spgl1,5,0.7226566832623705,0.5487532746467979,0.9987868474077889,0.0,0.1,spgl1,38
7,0.3,ml_only,6,0.5237646862782891,0.42942452860874875,0.6964344649908676,,,none,38
7,0.3,hybrid_fista,6,0.4520577795240367,0.34954329379786747,0.6010879046941049,0.06779661016939387,0.001,fista,38
7,0.3,hybrid_spgl1,6,0.5218071604926181,0.42864327860874873,0.6938316006531882,0.2857142857139591,0.1,spgl1,38
7,0.3,cs_only_fista,6,0.6400423676178169,0.5105425264800454,0.8510454704969661,0.08474576271176645,0.001,fista,38
7,0.3,cs_only_spgl1,6,0.7511224003768652,0.621161266605861,0.9987453158901559,0.0,0.1,spgl1,38
7,0.3,ml_only,7,0.3317189524758182,0.25199230172513565,0.5189123520925015,,,none,38
7,0.3,hybrid_fista,7,0.29573075566893453,0.23860134954868287,0.46261553904263747,0.07619047619036699,0.001,fista,38
7,0.3,hybrid_spgl1,7,0.33137169714223463,0.25121105172513564,0.5183691359736105,0.0,0.1,spgl1,38
7,0.3,cs_only_fista,7,0.574573333054652,0.45566797515092106,0.8988126770560467,0.09999999999990332,0.001,fista,38
7,0.3,cs_only_spgl1,7,0.639005345538348,0.4876719993682873,0.9996045278032707,0.0,0.1,spgl1,38
