seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.2,cs_only,0.5909317630827811,0.4718403396415679,0.8904712967842069,0.08959020558013094,300
7,0.2,hybrid,0.3207327973661727,0.24988704916760593,0.484184394907445,0.0937697133914644,300
7,0.2,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.2,weighted_hybrid,0.3257687481992604,0.25401433994570927,0.4918974247800945,0.09337447896396034,300
7,0.3,cs_only,0.5612622248482312,0.447639394347561,0.8458626779906362,0.08993985217768896,300
7,0.3,hybrid,0.3025423201663213,0.2367367540728677,0.4565817502321725,0.09367087727499414,300
7,0.3,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.3,weighted_hybrid,0.3100776026906837,0.24302581796961084,0.4681321089185324,0.0929665380859218,300
7,0.4,cs_only,0.5230443807221774,0.4177962012456929,0.788048454650007,0.09012871955577106,300
7,0.4,hybrid,0.2798546364411557,0.22060310399177585,0.42233707510530294,0.09425187503567731,300
7,0.4,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.4,weighted_hybrid,0.2905398679500911,0.2292192288418914,0.4384684397845752,0.0935876860146553,300
7,0.5,cs_only,0.48196433058747906,0.38569247231441284,0.7262424316522534,0.09091337253514965,300
7,0.5,hybrid,0.2591216218789148,0.20552882579529688,0.39084395230441166,0.09305121189625369,300
7,0.5,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.5,weighted_hybrid,0.2708950558087635,0.21498875822462268,0.4086973553040329,0.09279659766908745,300
7,0.6,cs_only,0.4273347110757207,0.342157687549396,0.6442622426893415,0.08990898548930834,300
7,0.6,hybrid,0.22964396287898325,0.18302721168826347,0.3465299826714914,0.09152236558563236,300
7,0.6,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.6,weighted_hybrid,0.2441116350874724,0.1943262007435846,0.3684233727798476,0.09225151354954128,300
13,0.2,cs_only,0.6347125645837263,0.5087422527845411,0.9155975813196183,0.0895057826755074,300
13,0.2,hybrid,0.33078364103376096,0.2577339794047184,0.4782736984683325,0.09487526592466464,300
13,0.2,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.2,weighted_hybrid,0.3339129060382558,0.26035790777116014,0.4828555074706361,0.09393011493747656,300
13,0.3,cs_only,0.59923549975446,0.48060403560814297,0.8644206716007106,0.0906324438372974,300
13,0.3,hybrid,0.31198939519588176,0.24447937192747432,0.451059768646304,0.09451031292605296,300
13,0.3,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
