measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half
0.2,cs_only_fista,0.625254690328102,0.015294631256074552,0.004836587074159759,0.5002223881051353,0.012312914511045412,0.9053122086332532,0.008613354398946348,0.08993140768701445,0.0006178942065467029,10,300,0.009479710665353127
0.2,cs_only_spgl1,0.6897771751041524,0.01345893358610637,0.004256088500903406,0.5519565884423316,0.011554615811934213,0.9987703613055354,9.754495852397758e-05,0.025175661375629745,0.003607089839983675,10,300,0.008341933461770677
0.2,hybrid_fista,0.33583150647195553,0.010829382494064609,0.003424551433439904,0.2623106561382589,0.009763733161226116,0.48698572486283787,0.016867682489724506,0.09378768168838822,0.0012822683728921612,10,300,0.006712120809542211
0.2,hybrid_spgl1,0.3677152498637767,0.011113977034296977,0.0035145481291181746,0.28253939247735305,0.010600866946176206,0.533179713904202,0.018414159990178865,0.06569314574305787,0.008079623906884515,10,300,0.0068885143330716225
0.2,ml_only,0.3686906184284165,0.011083471209817165,0.0035049013403924217,0.28310422753185477,0.010616811193270036,0.5346104646829394,0.018403647022266403,,,10,300,0.006869606627169146
0.3,cs_only_fista,0.5932683372473072,0.015707927991030924,0.004967282977357066,0.4750115028541953,0.01271852383167242,0.8589921383868202,0.010069280173423588,0.0904680330650038,0.0004300029802436731,10,300,0.009735874635619849
0.3,cs_only_spgl1,0.6896371571664306,0.013459177737131034,0.004256165708236507,0.5518951199524922,0.011557069128045836,0.9985649375668302,9.595017056286681e-05,0.027156084656051016,0.005203610229327317,10,300,0.008342084788143554
0.3,hybrid_fista,0.31891234672164,0.010914189715270793,0.0034513698315440313,0.25076526498204255,0.009617083443644424,0.4624234502478828,0.01627721124695009,0.09420521207922866,0.0006453689596577034,10,300,0.006764684869826301
0.3,hybrid_spgl1,0.36746997518795366,0.011120425647978806,0.003516587359816685,0.2824536135115957,0.010604795071614426,0.5328236184759616,0.01844756577074412,0.0905836459835257,0.011020371049160317,10,300,0.006892511225240702
0.3,ml_only,0.3686906184284165,0.011083471209817165,0.0035049013403924217,0.28310422753185477,0.010616811193270036,0.5346104646829394,0.018403647022266403,,,10,300,0.006869606627169146
0.4,cs_only_fista,0.5532526936249254,0.014790950620520367,0.004677309271992518,0.44290948316436696,0.01197602984172752,0.8010877232223772,0.009652310422967289,0.09022440760993358,0.0003063335917097918,10,300,0.009167526173105336
0.4,cs_only_spgl1,0.6894785618439286,0.013463050376561174,0.004257390344352088,0.5518289083763233,0.011558748997379993,0.9983330758070524,0.00011904194117450011,0.030473280423241732,0.0054062564495556955,10,300,0.008344485074930092
0.4,hybrid_fista,0.2957186996192779,0.010880733178868616,0.0034407899457789097,0.23355980954108008,0.00900326769857834,0.4288097965219856,0.015718345766224807,0.09348690508697413,0.0005420090861173659,10,300,0.006743948293726663
0.4,hybrid_spgl1,0.3672318782276247,0.011132038122923784,0.003520259546826462,0.28239571914727835,0.010605939434374963,0.5324725625893605,0.0184453484478647,0.1128948292446816,0.007962396769351373,10,300,0.006899708711779866
0.4,ml_only,0.3686906184284165,0.011083471209817165,0.0035049013403924217,0.28310422753185477,0.010616811193270036,0.5346104646829394,0.018403647022266403,,,10,300,0.006869606627169146
0.5,cs_only_fista,0.5078574902148771,0.013493282503263744,0.00426695058224118,0.4065083741369023,0.010774201815174318,0.735508019000757,0.008984214512016486,0.0901952154482098,0.0003415349519804546,10,300,0.008363223141192713
0.5,cs_only_spgl1,0.6893957520825584,0.013477012378160557,0.004261805516926985,0.5518141078157963,0.01155536067328529,0.9982098832026521,0.00011221039175401803,0.036415079365033166,0.007744828311246558,10,300,0.00835313881317689
0.5,hybrid_fista,0.27193849752866794,0.010512701675715507,0.0033244081657129833,0.21542764143486548,0.008931196753115999,0.3942758464847246,0.015185011114113876,0.09263560674261204,0.00031597623724901046,10,300,0.006515840004797447
0.5,hybrid_spgl1,0.36705741639344125,0.01115694633127289,0.003528136213908182,0.28236195779000617,0.010614395642781528,0.5322155655282653,0.018457032706737427,0.13090240500223546,0.011919443193987278,10,300,0.006915146979260036
0.5,ml_only,0.3686906184284165,0.011083471209817165,0.0035049013403924217,0.28310422753185477,0.010616811193270036,0.5346104646829394,0.018403647022266403,,,10,300,0.006869606627169146
0.6,cs_only_fista,0.4551475812730589,0.014569590297223779,0.004607308991471673,0.36429726675674107,0.011629998900274276,0.6593214278182906,0.011407385950953523,0.09021123249236676,0.00020659202210531193,10,300,0.009030325623284478
0.6,cs_only_spgl1,0.689299436522488,0.013483455425094928,0.004263842987265383,0.5517971904157767,0.011560570811818542,0.9980685595612842,0.00013060711241017248,0.04134047619042334,0.009814707461001175,10,300,0.00835713225504015
0.6,hybrid_fista,0.2445609271712605,0.009676119148843112,0.0030598575421514045,0.19443622922629222,0.008096352847720176,0.35457955538464503,0.012728948196359825,0.09186605882179229,0.00032394753503792243,10,300,0.005997320782616753
0.6,hybrid_spgl1,0.36695238354531934,0.01117107985435742,0.00353260562633915,0.28235121469695645,0.010618688670136787,0.5320620246795246,0.01848535346877784,0.15026957671938407,0.01181999085016557,10,300,0.006923907027624734
0.6,ml_only,0.3686906184284165,0.011083471209817165,0.0035049013403924217,0.28310422753185477,0.010616811193270036,0.5346104646829394,0.018403647022266403,,,10,300,0.006869606627169146
