seed,measurement_ratio,method,rmse_mean,mae_mean,relative_l2_mean,support_f1_mean,n_test_samples
7,0.2,cs_only_fista,0.5909311040478114,0.4718397590888516,0.8904702240576362,0.08969897818518845,300
7,0.2,cs_only_spgl1,0.6626057246881877,0.5277329436631923,0.9986264269034937,0.029833333333296744,300
7,0.2,hybrid_fista,0.3207330381367748,0.24988663308570988,0.4841846137108532,0.093930459954571,300
7,0.2,hybrid_spgl1,0.35595029482167323,0.2724536382828863,0.5372439076788389,0.06809259259250239,300
7,0.2,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.3,cs_only_fista,0.5612622138395666,0.4476394584086609,0.84586267845873,0.08989927338774474,300
7,0.3,cs_only_spgl1,0.662454798975889,0.5277025140595403,0.9983944847849447,0.031693121693082645,300
7,0.3,hybrid_fista,0.30254256804189344,0.23673685171369485,0.4565821561203254,0.09361335991748065,300
7,0.3,hybrid_spgl1,0.3557874407844012,0.272396117163816,0.5370089267435194,0.08900264550252807,300
7,0.3,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.4,cs_only_fista,0.5230443529581682,0.4177961788769233,0.7880484026759221,0.09007693993809837,300
7,0.4,cs_only_spgl1,0.662297992907427,0.5276246793392996,0.9981558349916313,0.0382407407406937,300
7,0.4,hybrid_fista,0.2798544613580744,0.2206028843944779,0.4223367728141041,0.0943240253748019,300
7,0.4,hybrid_spgl1,0.3555124262373206,0.272311354052725,0.5365922231618705,0.11321957671942921,300
7,0.4,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.5,cs_only_fista,0.4819643306633928,0.38569247234417064,0.7262424317736017,0.09091337253514965,300
7,0.5,cs_only_spgl1,0.6621722193933373,0.5276085413642281,0.9979615704612157,0.05219576719570415,300
7,0.5,hybrid_fista,0.2591216213077513,0.20552882531240174,0.3908439511994729,0.09305379254141496,300
7,0.5,hybrid_spgl1,0.35528705076857686,0.2722792131766181,0.5362446000399748,0.13827777777760375,300
7,0.5,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
7,0.6,cs_only_fista,0.4273345225514124,0.3421574694868595,0.6442619027827805,0.0898470586570982,300
7,0.6,cs_only_spgl1,0.6620887544376207,0.5275835515071658,0.9978310541360931,0.0605291005290229,300
7,0.6,hybrid_fista,0.22964355902576783,0.18302704308524384,0.3465292608950023,0.09155322762117839,300
7,0.6,hybrid_spgl1,0.35517967522957844,0.27227934104836066,0.5360700337150209,0.15601851851832424,300
7,0.6,ml_only,0.35704189630211386,0.27303626966471095,0.5389168724246216,,300
13,0.2,cs_only_fista,0.6345509549594532,0.5086157998902134,0.9153632624158162,0.08911775773128575,300
13,0.2,cs_only_spgl1,0.6924997347364926,0.5554828536426424,0.998871166032106,0.020476190476165047,300
13,0.2,hybrid_fista,0.33066424342320405,0.25763971704819955,0.4780995261499239,0.09484909249493208,300
13,0.2,hybrid_spgl1,0.36041123648445517,0.275512019280433,0.5209749737343009,0.07607671957661317,300
13,0.2,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.3,cs_only_fista,0.5992354722313062,0.4806040229726694,0.8644206302487879,0.09068069854052045,300
13,0.3,cs_only_spgl1,0.6923177466720936,0.5554111874764811,0.9986136089470589,0.02047619047616505,300
13,0.3,hybrid_fista,0.31198950838844736,0.24447941871996312,0.45105992947173085,0.0944694075021207,300
13,0.3,hybrid_spgl1,0.36011172365564487,0.27537965974269296,0.5205321114663514,0.0916190476189258,300
13,0.3,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.4,cs_only_fista,0.5579695038959364,0.4462215865278022,0.8051165943647413,0.0903483082771043,300
13,0.4,cs_only_spgl1,0.6922182115296736,0.5553522426509968,0.998469236625161,0.02124338624335935,300
13,0.4,hybrid_fista,0.28898933444701497,0.2275982263420014,0.4177336350447214,0.09354557293668865,300
13,0.4,hybrid_spgl1,0.3598962186263659,0.2753482860121107,0.5202171854470383,0.11867219817204143,300
13,0.4,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.5,cs_only_fista,0.5145407499527035,0.41206623947662346,0.7424826450681784,0.09024714053327472,300
13,0.5,cs_only_spgl1,0.6921296921147339,0.555322303026558,0.9983364149097927,0.028359788359751097,300
13,0.5,hybrid_fista,0.2664425568489621,0.21067676742212493,0.38524261853823333,0.09273712316259858,300
13,0.5,hybrid_spgl1,0.35973797798975166,0.27533420901213046,0.5199856202328602,0.13679365079347736,300
13,0.5,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
13,0.6,cs_only_fista,0.45675124563222413,0.3651292513278246,0.6595973404129611,0.09002088248336876,300
13,0.6,cs_only_spgl1,0.6920793492832633,0.5553199794066386,0.9982630067018632,0.02955026455022694,300
13,0.6,hybrid_fista,0.23733455127250258,0.18802090807608873,0.3433965560301358,0.09201534987346778,300
13,0.6,hybrid_spgl1,0.3595898451274466,0.27531427146092247,0.5197816870686404,0.16792592592570263,300
13,0.6,ml_only,0.3614168266353519,0.2760499808695263,0.5224375098634608,,300
23,0.2,cs_only_fista,0.6123631616456937,0.4915703966817702,0.9070278865058458,0.09074572960009895,300
23,0.2,cs_only_spgl1,0.6742876094603848,0.5404527925023762,0.9987549070956819,0.02964285714282097,300
23,0.2,hybrid_fista,0.3535297903777047,0.2792480909050376,0.5227194467332846,0.09288325136998549,300
23,0.2,hybrid_spgl1,0.38666146983533195,0.3018222195321537,0.5716114898095463,0.06472222222213748,300
23,0.2,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.3,cs_only_fista,0.5748921813037626,0.4614595449289209,0.8518050094982277,0.08986774143095726,300
23,0.3,cs_only_spgl1,0.6741525356404954,0.5403291190392767,0.998552681296412,0.029576719576682144,300
23,0.3,hybrid_fista,0.3346357599222211,0.2654495167667495,0.49487146367787566,0.09274998921118932,300
23,0.3,hybrid_spgl1,0.3864433503859057,0.30175650284581046,0.5712745580388315,0.09061111111099199,300
23,0.3,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.4,cs_only_fista,0.5368283887931381,0.42998031725432906,0.7954703813708983,0.09039968898513573,300
23,0.4,cs_only_spgl1,0.6739740899999812,0.5402827401459133,0.998291408517768,0.028835978835943053,300
23,0.4,hybrid_fista,0.311013238544424,0.24665169757811342,0.4600298806433084,0.09229288189943542,300
23,0.4,hybrid_spgl1,0.3861780993243929,0.3016606806632842,0.5708801139268335,0.11027296777282579,300
23,0.4,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.5,cs_only_fista,0.49558178987632534,0.3969800890782761,0.734309732476051,0.08993895663488775,300
23,0.5,cs_only_spgl1,0.6738818241434827,0.5403040753412341,0.9981529302524799,0.043074074074018004,300
23,0.5,hybrid_fista,0.2853022339630941,0.22740813819855973,0.42197220550613823,0.09239324379256225,300
23,0.5,hybrid_spgl1,0.38602605466446516,0.3016384298458047,0.5706562775180282,0.13453439153421357,300
23,0.5,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
23,0.6,cs_only_fista,0.441621932879679,0.35470215539855215,0.6545586929632944,0.0901701789178977,300
23,0.6,cs_only_spgl1,0.6737608025669892,0.5402726531219461,0.9979747933452137,0.04574074074068308,300
23,0.6,hybrid_fista,0.25409665063926007,0.20266576049049356,0.3759770458644145,0.09159529854868742,300
23,0.6,hybrid_spgl1,0.38599004718938595,0.3016381516885707,0.570604507915688,0.1365343915342172,300
23,0.6,ml_only,0.38757400471138637,0.3023955135652609,0.5729759721004801,,300
29,0.2,cs_only_fista,0.6179748863084908,0.4951367269059071,0.8931167628030918,0.09092660786972068,300
29,0.2,cs_only_spgl1,0.6915034592685931,0.5543695928341172,0.9988402683736834,0.023928571428540536,300
29,0.2,hybrid_fista,0.33850656902513093,0.264124083537808,0.49017180531995613,0.09308070087777864,300
29,0.2,hybrid_spgl1,0.36916795369618766,0.2834044431597213,0.5345488598576033,0.05822751322743707,300
29,0.2,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.3,cs_only_fista,0.5826498014439444,0.4675996311701337,0.8420095374516077,0.09047046408662227,300
29,0.3,cs_only_spgl1,0.6913893737151302,0.5543232797202835,0.9986756368901252,0.028835978835943053,300
29,0.3,hybrid_fista,0.3219949467037449,0.2529322312056571,0.46611436673073153,0.09389238627045944,300
29,0.3,hybrid_spgl1,0.36892537168825495,0.2833280003816642,0.5341954752033081,0.08645502645491188,300
29,0.3,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.4,cs_only_fista,0.5442114691262663,0.4358447640985301,0.7862063902511867,0.08998578145481773,300
29,0.4,cs_only_spgl1,0.6911701719276833,0.5542418965771327,0.9983555661542837,0.028714285714249936,300
29,0.4,hybrid_fista,0.2989000672663132,0.2362952334503056,0.43299301922828176,0.09372571852930904,300
29,0.4,hybrid_spgl1,0.3687055365618601,0.2832684296997095,0.5338798217187231,0.10847883597869348,300
29,0.4,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.5,cs_only_fista,0.4959682795009714,0.39664173715739953,0.7172323605503138,0.0902072773142204,300
29,0.5,cs_only_spgl1,0.6910788014658896,0.5542359676008918,0.99822268877005,0.041666666666615226,300
29,0.5,hybrid_fista,0.27579120108803695,0.21814199291986108,0.3995364027729315,0.09245354180186338,300
29,0.5,hybrid_spgl1,0.36844200401092747,0.28321744771970364,0.5334942093790382,0.13856349206331287,300
29,0.5,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
29,0.6,cs_only_fista,0.4433280682261679,0.35454046350492024,0.6412934391602485,0.09033969203747631,300
29,0.6,cs_only_spgl1,0.6909844264447884,0.554205006473434,0.9980839637969171,0.040846560846508846,300
29,0.6,hybrid_fista,0.24928348430373096,0.19709537065775276,0.3609293011415938,0.09183952443358245,300
29,0.6,hybrid_spgl1,0.36833955022342385,0.2831999130154036,0.5333411479064748,0.15516402116382136,300
29,0.6,ml_only,0.3700448349668855,0.2839647429103187,0.5358384975841384,,300
31,0.2,cs_only_fista,0.6250476870473857,0.5003291888229833,0.9153249810283703,0.08925559198415932,300
31,0.2,cs_only_spgl1,0.6821345985650298,0.5463437550490532,0.9987533243190758,0.025714285714252275,300
31,0.2,hybrid_fista,0.3291717027488118,0.2551931626542164,0.4824736380709414,0.0956081349185146,300
31,0.2,hybrid_spgl1,0.3595861566124059,0.27309145111810584,0.5271118420898864,0.07923039923029511,300
31,0.2,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.3,cs_only_fista,0.5943122755900908,0.4762203808987391,0.8700371411288301,0.09090870339455179,300
31,0.3,cs_only_spgl1,0.681943312339839,0.5462634254873036,0.998466323065297,0.036785714285667924,300
31,0.3,hybrid_fista,0.31281428167196895,0.2457385401464832,0.45842027195208157,0.09444870484473455,300
31,0.3,hybrid_spgl1,0.3593967907001509,0.27302406497241327,0.5268290220296306,0.1132328042326587,300
31,0.3,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.4,cs_only_fista,0.5507572563980986,0.44217106641459336,0.8066999392602824,0.09007914024686298,300
31,0.4,cs_only_spgl1,0.6817163396142629,0.5461930886465847,0.9981348553695584,0.030410052910011226,300
31,0.4,hybrid_fista,0.28716930308991623,0.22721567715849247,0.42105809286287094,0.09365858002285346,300
31,0.4,hybrid_spgl1,0.3591251348975066,0.27292921283761834,0.5264425274122645,0.12568831168814165,300
31,0.4,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.5,cs_only_fista,0.503263732757875,0.4034238187911559,0.7370791794153393,0.0902257197141868,300
31,0.5,cs_only_spgl1,0.6817086512546543,0.5461794189516804,0.9981189265512778,0.03107142857139279,300
31,0.5,hybrid_fista,0.2590206550576746,0.20472687507437642,0.379756087608636,0.09283262124541046,300
31,0.5,hybrid_spgl1,0.3588978519213665,0.2728716716279329,0.526108988471569,0.14020370370352023,300
31,0.5,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
31,0.6,cs_only_fista,0.4559052608527024,0.3647708055780841,0.6678266521393098,0.09024361652039044,300
31,0.6,cs_only_spgl1,0.6815814144839561,0.5461810748113665,0.9979325991560511,0.04026455026449737,300
31,0.6,hybrid_fista,0.234504089768409,0.18583449764580187,0.34372497467979357,0.0924300403906448,300
31,0.6,hybrid_spgl1,0.35882725032325946,0.2728556797391074,0.5260029435869487,0.15016137566118457,300
31,0.6,ml_only,0.36059884006840953,0.273615315467344,0.5286224576824661,,300
