step,measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,method_label
8,0.05,ae_regression_ub,0.0171149496008797,0.000150106683638,8.666413420557201e-05,0.0140755486809966,0.0001364947293183,0.221239827460243,0.0033239886965538,,,3,97,0.0001698617030429,"AE [u,b]"
8,0.05,measurement_only_csgm,0.036830437530188,0.0066765716824072,0.0038547204581016,0.0299682643647166,0.0058122349119728,0.5663789620714706,0.1172031275406206,,,3,97,0.0075552520978792,Measurement-only CSGM
8,0.05,ml_only,0.0221479044009279,0.0009016218721176,0.0005205516305743,0.0178904084566044,0.0007209985815067,0.3004227453095732,0.0156689565498054,,,3,97,0.0010202811959257,ML only
8,0.05,mlp_concat_ub,0.1465598451698717,0.0107559920535693,0.0062099749075297,0.1182464315892748,0.0082462360711244,1.9923980519928308,0.1579434526757431,,,3,97,0.0121715508187583,"MLP [u,b]"
8,0.05,pca_regression_ub,0.1236187668956022,0.0063046127654771,0.0036399698772846,0.0990933103040265,0.0043537249440239,1.7335287747298171,0.1185336831570038,,,3,97,0.0071343409594778,"PCA [u,b]"
8,0.05,ridge_prior_csgm,0.0144859710590121,0.0017627159533434,0.0010177045301676,0.0117840852838427,0.0014312153891658,0.2021046914292036,0.0272222256480199,,,3,97,0.0019947008791286,CLP-CSGM Ridge
8,0.05,ridge_prior_only_decoder,0.0160472653073161,0.0013277311185209,0.0007665659186894,0.0131460248966255,0.0012284013901298,0.2274630745974013,0.01966426273744,,,3,97,0.0015024692006314,Prior-only Ridge
8,0.1,ae_regression_ub,0.0164002479859651,0.0002245666339235,0.0001296536065467,0.0134800128780175,0.0002212368648256,0.2092383459014022,0.0028965987660094,,,3,97,0.0002541210688316,"AE [u,b]"
8,0.1,measurement_only_csgm,0.0297092240784914,0.0023575345664457,0.0013611232165613,0.0228948881975897,0.0014475086161973,0.4498158744759481,0.0497581234647344,,,3,97,0.0026678015044601,Measurement-only CSGM
8,0.1,ml_only,0.0221479044009279,0.0009016218721176,0.0005205516305743,0.0178904084566044,0.0007209985815067,0.3004227453095732,0.0156689565498054,,,3,97,0.0010202811959257,ML only
8,0.1,mlp_concat_ub,0.1513877085224657,0.028048861734167,0.0161940178726839,0.1226578822138397,0.0222868308592366,2.0711336599740746,0.4557176389068783,,,3,97,0.0317402750304604,"MLP [u,b]"
8,0.1,pca_regression_ub,0.121455545813641,0.0086503153665225,0.0049942619054369,0.0975759386012346,0.0062665225590959,1.7027599310340118,0.1101509182237076,,,3,97,0.0097887533346564,"PCA [u,b]"
8,0.1,ridge_prior_csgm,0.0140755522785291,0.0012817674897492,0.0007400288052452,0.0114010748342944,0.0010306455574523,0.1954107369013152,0.0208627026472859,,,3,97,0.0014504564582806,CLP-CSGM Ridge
8,0.1,ridge_prior_only_decoder,0.0160472653073161,0.0013277311185209,0.0007665659186894,0.0131460248966255,0.0012284013901298,0.2274630745974013,0.01966426273744,,,3,97,0.0015024692006314,Prior-only Ridge
8,0.2,ae_regression_ub,0.0164111926021526,0.0004478096094387,0.0002585429985551,0.013568874391962,0.0004804127329738,0.2099270671065135,0.0061251973540467,,,3,97,0.0005067442771681,"AE [u,b]"
8,0.2,measurement_only_csgm,0.0250621808584373,0.0046948717077773,0.0027105854442959,0.0187200043781091,0.0033261079414395,0.3557867713967255,0.090643168676916,,,3,97,0.0053127474708201,Measurement-only CSGM
