rho,method,rmse,mae,relative_l2
0.2,CLP-CSGM Ridge,0.0157517379338745,0.0136480547893383,0.0590943575367214
0.2,"AE [u,b]",0.0179731165318189,0.0155980372453525,0.0673731034340532
0.2,"PCA [u,b]",0.0207937962671415,0.0171165712855373,0.0779117494815812
0.2,ML only,0.0254582900886628,0.0221870740414731,0.0954950165717642
0.2,"MLP [u,b]",0.0318902894929048,0.0273121687335535,0.119488428989043
0.3,CLP-CSGM Ridge,0.0144939857600148,0.012446518347848,0.0543716380305311
0.3,"AE [u,b]",0.0153631987690875,0.0133005396258062,0.0575964967177601
0.3,"PCA [u,b]",0.0224070202743823,0.0183395197599977,0.08397507449974
0.3,ML only,0.0254582900886628,0.0221870740414731,0.0954950165717642
0.3,"MLP [u,b]",0.0318433245695821,0.0271571433113588,0.1192401828287568
0.4,"AE [u,b]",0.0129554862416707,0.0110697581161866,0.0485567162917126
0.4,CLP-CSGM Ridge,0.0134204106277987,0.0114103590924861,0.0503415403310287
0.4,"PCA [u,b]",0.0220553138296679,0.0178960996914743,0.0826277581568188
0.4,ML only,0.0254582900886628,0.0221870740414731,0.0954950165717642
0.4,"MLP [u,b]",0.0372848101211265,0.0324494962019097,0.1396620246552052
0.5,"AE [u,b]",0.0123403815404763,0.0106463694826574,0.0462527793572025
0.5,CLP-CSGM Ridge,0.0124555184845471,0.0106132150412942,0.046726277678934
0.5,"PCA [u,b]",0.0235798359365772,0.0190862165226534,0.088343120920508
0.5,ML only,0.0254582900886628,0.0221870740414731,0.0954950165717642
0.5,"MLP [u,b]",0.0446565029387262,0.0396482190174612,0.167168421117969
0.6,"AE [u,b]",0.0112552378150943,0.0095452896112573,0.0421760684103601
0.6,CLP-CSGM Ridge,0.0118575651989707,0.0100606173589935,0.0444697528833106
0.6,"PCA [u,b]",0.024173703188936,0.0195957379911456,0.0905623228062966
0.6,ML only,0.0254582900886628,0.0221870740414731,0.0954950165717642
0.6,"MLP [u,b]",0.04423018604125,0.0387278497495687,0.1656828379080021
